Elapsed Time: 40.03 seconds | Position: x=-5.06, y=18.12
Elapsed Time: 40.31 seconds | Position: x=-4.95, y=18.08
Elapsed Time: 40.84 seconds | Position: x=-4.85, y=18.03
Elapsed Time: 40.85 seconds | Position: x=-4.73, y=17.98
Elapsed Time: 41.01 seconds | Position: x=-4.61, y=17.92
Elapsed Time: 41.22 seconds | Position: x=-4.53, y=17.86
Elapsed Time: 41.50 seconds | Position: x=-4.44, y=17.78
Elapsed Time: 41.71 seconds | Position: x=-4.36, y=17.71
Elapsed Time: 41.91 seconds | Position: x=-4.30, y=17.64
Elapsed Time: 42.20 seconds | Position: x=-4.21, y=17.54
Elapsed Time: 42.41 seconds | Position: x=-4.14, y=17.44
Elapsed Time: 42.96 seconds | Position: x=-4.07, y=17.35
Elapsed Time: 42.97 seconds | Position: x=-4.00, y=17.24
Elapsed Time: 43.11 seconds | Position: x=-3.93, y=17.12
Elapsed Time: 43.34 seconds | Position: x=-3.86, y=17.01
Elapsed Time: 43.61 seconds | Position: x=-3.80, y=16.91
Elapsed Time: 43.81 seconds | Position: x=-3.73, y=16.80
Elapsed Time: 44.11 seconds | Position: x=-3.68, y=16.69
Elapsed Time: 44.31 seconds | Position: x=-3.62, y=16.59
Elapsed Time: 44.52 seconds | Position: x=-3.56, y=16.47
Elapsed Time: 45.06 seconds | Position: x=-3.51, y=16.37
Elapsed Time: 45.06 seconds | Position: x=-3.43, y=16.24
Elapsed Time: 45.22 seconds | Position: x=-3.38, y=16.13
Elapsed Time: 45.50 seconds | Position: x=-3.32, y=16.03
Elapsed Time: 45.71 seconds | Position: x=-3.27, y=15.94
Elapsed Time: 45.95 seconds | Position: x=-3.20, y=15.81
Elapsed Time: 46.21 seconds | Position: x=-3.14, y=15.70
Elapsed Time: 46.41 seconds | Position: x=-3.09, y=15.60
Elapsed Time: 46.71 seconds | Position: x=-3.05, y=15.52
Elapsed Time: 47.22 seconds | Position: x=-2.99, y=15.42
Elapsed Time: 47.22 seconds | Position: x=-2.94, y=15.31
Elapsed Time: 47.41 seconds | Position: x=-2.87, y=15.20
Elapsed Time: 47.61 seconds | Position: x=-2.82, y=15.10
Elapsed Time: 47.82 seconds | Position: x=-2.77, y=14.99
Elapsed Time: 48.11 seconds | Position: x=-2.72, y=14.89
Elapsed Time: 48.31 seconds | Position: x=-2.67, y=14.79
Elapsed Time: 48.53 seconds | Position: x=-2.63, y=14.70
Elapsed Time: 48.81 seconds | Position: x=-2.57, y=14.59
Elapsed Time: 49.34 seconds | Position: x=-2.51, y=14.48
Elapsed Time: 49.34 seconds | Position: x=-2.46, y=14.37
Elapsed Time: 49.51 seconds | Position: x=-2.40, y=14.26
Elapsed Time: 49.72 seconds | Position: x=-2.34, y=14.14
Elapsed Time: 50.01 seconds | Position: x=-2.28, y=14.03
Elapsed Time: 50.21 seconds | Position: x=-2.22, y=13.93
Elapsed Time: 50.54 seconds | Position: x=-2.17, y=13.82
Elapsed Time: 51.33 seconds | Position: x=-2.10, y=13.69
Elapsed Time: 51.41 seconds | Position: x=-2.04, y=13.56
Elapsed Time: 51.61 seconds | Position: x=-1.99, y=13.45
Elapsed Time: 52.01 seconds | Position: x=-1.93, y=13.30
Elapsed Time: 52.32 seconds | Position: x=-1.87, y=13.14
Elapsed Time: 52.71 seconds | Position: x=-1.81, y=12.97
Elapsed Time: 52.92 seconds | Position: x=-1.77, y=12.85
Elapsed Time: 53.51 seconds | Position: x=-1.70, y=12.68
Elapsed Time: 53.61 seconds | Position: x=-1.64, y=12.52
Elapsed Time: 53.84 seconds | Position: x=-1.59, y=12.42
Elapsed Time: 54.11 seconds | Position: x=-1.53, y=12.30
Elapsed Time: 54.33 seconds | Position: x=-1.46, y=12.17
Elapsed Time: 54.61 seconds | Position: x=-1.41, y=12.06
Elapsed Time: 54.81 seconds | Position: x=-1.33, y=11.96
Elapsed Time: 55.43 seconds | Position: x=-1.24, y=11.87
Elapsed Time: 55.52 seconds | Position: x=-1.14, y=11.78
Elapsed Time: 56.02 seconds | Position: x=-1.04, y=11.72
Elapsed Time: 56.44 seconds | Position: x=-0.95, y=11.69
Elapsed Time: 56.94 seconds | Position: x=-0.93, y=11.68
Elapsed Time: 57.51 seconds | Position: x=-0.92, y=11.68
Elapsed Time: 57.92 seconds | Position: x=-0.89, y=11.69
Elapsed Time: 58.35 seconds | Position: x=-0.90, y=11.68
Elapsed Time: 58.82 seconds | Position: x=-0.90, y=11.69
Elapsed Time: 59.47 seconds | Position: x=-0.90, y=11.67
Elapsed Time: 59.75 seconds | Position: x=-0.91, y=11.64
Elapsed Time: 60.22 seconds | Position: x=-0.90, y=11.62
Elapsed Time: 60.82 seconds | Position: x=-0.90, y=11.61
Elapsed Time: 62.34 seconds | Position: x=-0.97, y=11.72
