Elapsed Time: 0.00 seconds | Position: x=-7.67, y=9.56
Elapsed Time: 9.72 seconds | Position: x=-7.60, y=9.58
Elapsed Time: 11.79 seconds | Position: x=-7.73, y=9.52
Elapsed Time: 12.21 seconds | Position: x=-7.81, y=9.49
Elapsed Time: 12.68 seconds | Position: x=-7.94, y=9.50
Elapsed Time: 13.09 seconds | Position: x=-8.07, y=9.52
Elapsed Time: 13.58 seconds | Position: x=-8.20, y=9.58
Elapsed Time: 13.62 seconds | Position: x=-8.28, y=9.64
Elapsed Time: 13.89 seconds | Position: x=-8.37, y=9.71
Elapsed Time: 14.10 seconds | Position: x=-8.46, y=9.80
Elapsed Time: 14.49 seconds | Position: x=-8.55, y=9.94
Elapsed Time: 14.80 seconds | Position: x=-8.63, y=10.13
Elapsed Time: 15.09 seconds | Position: x=-8.69, y=10.23
Elapsed Time: 15.29 seconds | Position: x=-8.72, y=10.33
Elapsed Time: 15.85 seconds | Position: x=-8.77, y=10.44
Elapsed Time: 15.87 seconds | Position: x=-8.80, y=10.56
Elapsed Time: 15.99 seconds | Position: x=-8.83, y=10.66
Elapsed Time: 16.22 seconds | Position: x=-8.86, y=10.79
Elapsed Time: 16.48 seconds | Position: x=-8.90, y=10.90
Elapsed Time: 16.70 seconds | Position: x=-8.92, y=11.02
Elapsed Time: 16.99 seconds | Position: x=-8.95, y=11.14
Elapsed Time: 17.18 seconds | Position: x=-8.99, y=11.26
Elapsed Time: 17.40 seconds | Position: x=-9.03, y=11.39
Elapsed Time: 17.92 seconds | Position: x=-9.06, y=11.49
Elapsed Time: 17.94 seconds | Position: x=-9.10, y=11.60
Elapsed Time: 18.12 seconds | Position: x=-9.14, y=11.72
Elapsed Time: 18.38 seconds | Position: x=-9.17, y=11.84
Elapsed Time: 18.58 seconds | Position: x=-9.22, y=11.97
Elapsed Time: 18.87 seconds | Position: x=-9.27, y=12.08
Elapsed Time: 19.07 seconds | Position: x=-9.31, y=12.16
Elapsed Time: 19.29 seconds | Position: x=-9.35, y=12.26
Elapsed Time: 19.58 seconds | Position: x=-9.38, y=12.39
Elapsed Time: 20.09 seconds | Position: x=-9.42, y=12.48
Elapsed Time: 20.10 seconds | Position: x=-9.45, y=12.59
Elapsed Time: 20.29 seconds | Position: x=-9.49, y=12.69
Elapsed Time: 20.49 seconds | Position: x=-9.53, y=12.81
Elapsed Time: 20.71 seconds | Position: x=-9.58, y=12.95
Elapsed Time: 20.98 seconds | Position: x=-9.62, y=13.06
