Elapsed Time: 0.00 seconds | Position: x=-7.64, y=9.55
Elapsed Time: 4.37 seconds | Position: x=-7.67, y=9.54
Elapsed Time: 4.88 seconds | Position: x=-7.76, y=9.53
Elapsed Time: 5.19 seconds | Position: x=-7.84, y=9.55
Elapsed Time: 5.79 seconds | Position: x=-7.97, y=9.60
Elapsed Time: 5.89 seconds | Position: x=-8.09, y=9.67
Elapsed Time: 6.28 seconds | Position: x=-8.23, y=9.78
Elapsed Time: 6.68 seconds | Position: x=-8.35, y=9.94
Elapsed Time: 6.96 seconds | Position: x=-8.44, y=10.11
Elapsed Time: 7.37 seconds | Position: x=-8.53, y=10.27
Elapsed Time: 7.88 seconds | Position: x=-8.59, y=10.35
Elapsed Time: 7.90 seconds | Position: x=-8.65, y=10.49
Elapsed Time: 8.07 seconds | Position: x=-8.67, y=10.60
Elapsed Time: 8.27 seconds | Position: x=-8.71, y=10.71
Elapsed Time: 8.49 seconds | Position: x=-8.74, y=10.83
Elapsed Time: 8.77 seconds | Position: x=-8.76, y=10.94
Elapsed Time: 8.97 seconds | Position: x=-8.80, y=11.06
Elapsed Time: 9.27 seconds | Position: x=-8.81, y=11.18
Elapsed Time: 9.46 seconds | Position: x=-8.84, y=11.29
Elapsed Time: 9.99 seconds | Position: x=-8.88, y=11.40
Elapsed Time: 10.01 seconds | Position: x=-8.91, y=11.52
Elapsed Time: 10.16 seconds | Position: x=-8.96, y=11.63
Elapsed Time: 10.39 seconds | Position: x=-9.01, y=11.73
Elapsed Time: 10.67 seconds | Position: x=-9.05, y=11.84
Elapsed Time: 10.87 seconds | Position: x=-9.10, y=11.96
Elapsed Time: 11.10 seconds | Position: x=-9.14, y=12.06
Elapsed Time: 11.36 seconds | Position: x=-9.18, y=12.19
Elapsed Time: 11.56 seconds | Position: x=-9.23, y=12.31
Elapsed Time: 12.07 seconds | Position: x=-9.28, y=12.41
Elapsed Time: 12.09 seconds | Position: x=-9.33, y=12.52
Elapsed Time: 12.28 seconds | Position: x=-9.38, y=12.64
Elapsed Time: 12.57 seconds | Position: x=-9.42, y=12.73
Elapsed Time: 12.76 seconds | Position: x=-9.47, y=12.83
Elapsed Time: 13.00 seconds | Position: x=-9.51, y=12.94
Elapsed Time: 13.27 seconds | Position: x=-9.55, y=13.04
Elapsed Time: 13.47 seconds | Position: x=-9.59, y=13.15
Elapsed Time: 13.70 seconds | Position: x=-9.63, y=13.26
Elapsed Time: 14.28 seconds | Position: x=-9.67, y=13.37
Elapsed Time: 14.29 seconds | Position: x=-9.73, y=13.50
Elapsed Time: 14.46 seconds | Position: x=-9.77, y=13.61
Elapsed Time: 14.67 seconds | Position: x=-9.81, y=13.72
Elapsed Time: 14.87 seconds | Position: x=-9.86, y=13.83
Elapsed Time: 15.17 seconds | Position: x=-9.91, y=13.93
Elapsed Time: 15.37 seconds | Position: x=-9.97, y=14.03
Elapsed Time: 15.77 seconds | Position: x=-10.06, y=14.18
Elapsed Time: 16.28 seconds | Position: x=-10.11, y=14.29
