Elapsed Time: 0.00 seconds | Position: x=-7.62, y=9.53
Elapsed Time: 4.93 seconds | Position: x=-7.63, y=9.52
Elapsed Time: 5.60 seconds | Position: x=-7.70, y=9.45
Elapsed Time: 5.94 seconds | Position: x=-7.78, y=9.35
Elapsed Time: 6.14 seconds | Position: x=-7.82, y=9.27
Elapsed Time: 6.34 seconds | Position: x=-7.87, y=9.17
Elapsed Time: 6.64 seconds | Position: x=-7.91, y=9.05
Elapsed Time: 6.84 seconds | Position: x=-7.95, y=8.94
Elapsed Time: 7.23 seconds | Position: x=-8.00, y=8.78
Elapsed Time: 7.78 seconds | Position: x=-8.04, y=8.61
Elapsed Time: 7.95 seconds | Position: x=-8.07, y=8.43
Elapsed Time: 8.24 seconds | Position: x=-8.09, y=8.26
Elapsed Time: 8.64 seconds | Position: x=-8.12, y=8.09
Elapsed Time: 8.95 seconds | Position: x=-8.14, y=7.92
Elapsed Time: 9.34 seconds | Position: x=-8.18, y=7.71
Elapsed Time: 9.87 seconds | Position: x=-8.22, y=7.53
Elapsed Time: 10.05 seconds | Position: x=-8.25, y=7.34
Elapsed Time: 10.25 seconds | Position: x=-8.28, y=7.23
Elapsed Time: 10.54 seconds | Position: x=-8.30, y=7.11
Elapsed Time: 10.75 seconds | Position: x=-8.34, y=7.00
Elapsed Time: 10.96 seconds | Position: x=-8.39, y=6.86
Elapsed Time: 11.25 seconds | Position: x=-8.44, y=6.74
Elapsed Time: 11.44 seconds | Position: x=-8.47, y=6.63
Elapsed Time: 11.98 seconds | Position: x=-8.52, y=6.51
Elapsed Time: 11.99 seconds | Position: x=-8.56, y=6.39
Elapsed Time: 12.15 seconds | Position: x=-8.59, y=6.28
Elapsed Time: 12.44 seconds | Position: x=-8.63, y=6.15
Elapsed Time: 12.74 seconds | Position: x=-8.68, y=5.97
Elapsed Time: 13.13 seconds | Position: x=-8.70, y=5.79
Elapsed Time: 13.45 seconds | Position: x=-8.72, y=5.62
Elapsed Time: 13.98 seconds | Position: x=-8.74, y=5.44
Elapsed Time: 14.16 seconds | Position: x=-8.75, y=5.25
Elapsed Time: 14.54 seconds | Position: x=-8.76, y=5.09
Elapsed Time: 14.88 seconds | Position: x=-8.77, y=4.90
Elapsed Time: 15.24 seconds | Position: x=-8.75, y=4.71
Elapsed Time: 15.65 seconds | Position: x=-8.76, y=4.53
Elapsed Time: 16.14 seconds | Position: x=-8.76, y=4.34
Elapsed Time: 16.33 seconds | Position: x=-8.76, y=4.16
Elapsed Time: 16.65 seconds | Position: x=-8.76, y=3.99
Elapsed Time: 17.04 seconds | Position: x=-8.75, y=3.82
Elapsed Time: 17.36 seconds | Position: x=-8.72, y=3.63
Elapsed Time: 17.65 seconds | Position: x=-8.70, y=3.49
Elapsed Time: 17.84 seconds | Position: x=-8.67, y=3.37
Elapsed Time: 18.37 seconds | Position: x=-8.63, y=3.25
Elapsed Time: 18.39 seconds | Position: x=-8.59, y=3.14
Elapsed Time: 18.54 seconds | Position: x=-8.54, y=3.02
Elapsed Time: 18.85 seconds | Position: x=-8.48, y=2.91
Elapsed Time: 19.03 seconds | Position: x=-8.43, y=2.78
Elapsed Time: 19.24 seconds | Position: x=-8.37, y=2.68
Elapsed Time: 19.53 seconds | Position: x=-8.32, y=2.58
Elapsed Time: 19.73 seconds | Position: x=-8.25, y=2.48
Elapsed Time: 19.95 seconds | Position: x=-8.20, y=2.39
Elapsed Time: 20.54 seconds | Position: x=-8.13, y=2.27
Elapsed Time: 20.56 seconds | Position: x=-8.07, y=2.15
Elapsed Time: 20.68 seconds | Position: x=-8.01, y=2.03
Elapsed Time: 20.94 seconds | Position: x=-7.96, y=1.94
Elapsed Time: 21.13 seconds | Position: x=-7.90, y=1.84
Elapsed Time: 21.43 seconds | Position: x=-7.85, y=1.74
Elapsed Time: 21.63 seconds | Position: x=-7.79, y=1.63
Elapsed Time: 21.83 seconds | Position: x=-7.74, y=1.53
Elapsed Time: 22.13 seconds | Position: x=-7.68, y=1.42
Elapsed Time: 22.65 seconds | Position: x=-7.63, y=1.31
Elapsed Time: 22.66 seconds | Position: x=-7.57, y=1.19
Elapsed Time: 22.84 seconds | Position: x=-7.52, y=1.09
Elapsed Time: 23.04 seconds | Position: x=-7.46, y=0.99
Elapsed Time: 23.27 seconds | Position: x=-7.40, y=0.85
Elapsed Time: 23.54 seconds | Position: x=-7.36, y=0.75
Elapsed Time: 23.74 seconds | Position: x=-7.30, y=0.64
Elapsed Time: 24.03 seconds | Position: x=-7.25, y=0.53
Elapsed Time: 24.24 seconds | Position: x=-7.20, y=0.42
Elapsed Time: 24.77 seconds | Position: x=-7.15, y=0.32
Elapsed Time: 24.78 seconds | Position: x=-7.10, y=0.22
Elapsed Time: 24.93 seconds | Position: x=-7.05, y=0.12
Elapsed Time: 25.16 seconds | Position: x=-7.00, y=0.02
Elapsed Time: 25.43 seconds | Position: x=-6.94, y=-0.07
Elapsed Time: 25.64 seconds | Position: x=-6.89, y=-0.14
Elapsed Time: 25.93 seconds | Position: x=-6.82, y=-0.23
Elapsed Time: 26.14 seconds | Position: x=-6.76, y=-0.32
Elapsed Time: 26.34 seconds | Position: x=-6.70, y=-0.40
Elapsed Time: 26.88 seconds | Position: x=-6.64, y=-0.48
Elapsed Time: 26.88 seconds | Position: x=-6.57, y=-0.56
Elapsed Time: 27.05 seconds | Position: x=-6.51, y=-0.65
Elapsed Time: 27.35 seconds | Position: x=-6.43, y=-0.74
Elapsed Time: 27.54 seconds | Position: x=-6.36, y=-0.81
Elapsed Time: 27.75 seconds | Position: x=-6.29, y=-0.88
Elapsed Time: 28.03 seconds | Position: x=-6.21, y=-0.96
Elapsed Time: 28.24 seconds | Position: x=-6.12, y=-1.02
Elapsed Time: 28.54 seconds | Position: x=-6.02, y=-1.11
Elapsed Time: 29.00 seconds | Position: x=-5.92, y=-1.18
