Elapsed Time: 0.00 seconds | Position: x=-7.63, y=9.60
Elapsed Time: 22.49 seconds | Position: x=-7.63, y=9.60
Elapsed Time: 22.98 seconds | Position: x=-7.64, y=9.60
Elapsed Time: 23.48 seconds | Position: x=-7.69, y=9.61
Elapsed Time: 23.96 seconds | Position: x=-7.78, y=9.65
Elapsed Time: 24.28 seconds | Position: x=-7.89, y=9.71
Elapsed Time: 24.61 seconds | Position: x=-8.00, y=9.81
Elapsed Time: 24.87 seconds | Position: x=-8.07, y=9.91
Elapsed Time: 25.08 seconds | Position: x=-8.13, y=10.00
Elapsed Time: 25.38 seconds | Position: x=-8.20, y=10.11
Elapsed Time: 25.57 seconds | Position: x=-8.26, y=10.20
Elapsed Time: 26.10 seconds | Position: x=-8.32, y=10.35
Elapsed Time: 26.17 seconds | Position: x=-8.38, y=10.45
Elapsed Time: 26.48 seconds | Position: x=-8.44, y=10.61
Elapsed Time: 26.87 seconds | Position: x=-8.51, y=10.77
Elapsed Time: 27.20 seconds | Position: x=-8.56, y=10.94
Elapsed Time: 27.57 seconds | Position: x=-8.63, y=11.10
Elapsed Time: 28.13 seconds | Position: x=-8.68, y=11.27
Elapsed Time: 28.28 seconds | Position: x=-8.75, y=11.43
Elapsed Time: 28.67 seconds | Position: x=-8.83, y=11.61
Elapsed Time: 28.98 seconds | Position: x=-8.92, y=11.77
Elapsed Time: 29.37 seconds | Position: x=-8.99, y=11.93
Elapsed Time: 29.69 seconds | Position: x=-9.07, y=12.09
Elapsed Time: 30.19 seconds | Position: x=-9.11, y=12.20
Elapsed Time: 30.28 seconds | Position: x=-9.18, y=12.37
Elapsed Time: 30.68 seconds | Position: x=-9.26, y=12.52
Elapsed Time: 30.98 seconds | Position: x=-9.34, y=12.68
Elapsed Time: 31.38 seconds | Position: x=-9.42, y=12.84
Elapsed Time: 31.69 seconds | Position: x=-9.48, y=13.00
Elapsed Time: 32.24 seconds | Position: x=-9.55, y=13.16
Elapsed Time: 32.40 seconds | Position: x=-9.63, y=13.31
Elapsed Time: 32.78 seconds | Position: x=-9.72, y=13.49
Elapsed Time: 33.11 seconds | Position: x=-9.79, y=13.64
Elapsed Time: 33.48 seconds | Position: x=-9.87, y=13.80
Elapsed Time: 33.89 seconds | Position: x=-9.93, y=13.96
Elapsed Time: 34.40 seconds | Position: x=-9.99, y=14.13
Elapsed Time: 34.58 seconds | Position: x=-10.04, y=14.30
Elapsed Time: 34.89 seconds | Position: x=-10.09, y=14.47
Elapsed Time: 35.29 seconds | Position: x=-10.15, y=14.64
Elapsed Time: 35.59 seconds | Position: x=-10.20, y=14.79
Elapsed Time: 35.98 seconds | Position: x=-10.26, y=14.92
Elapsed Time: 36.49 seconds | Position: x=-10.32, y=15.05
Elapsed Time: 36.67 seconds | Position: x=-10.39, y=15.17
Elapsed Time: 36.99 seconds | Position: x=-10.44, y=15.27
Elapsed Time: 37.48 seconds | Position: x=-10.49, y=15.35
