Elapsed Time: 0.00 seconds | Position: x=-7.63, y=9.60
Elapsed Time: 12.51 seconds | Position: x=-7.67, y=9.61
Elapsed Time: 13.22 seconds | Position: x=-7.77, y=9.58
Elapsed Time: 13.29 seconds | Position: x=-7.90, y=9.55
Elapsed Time: 13.50 seconds | Position: x=-8.00, y=9.53
Elapsed Time: 13.70 seconds | Position: x=-8.17, y=9.49
Elapsed Time: 14.00 seconds | Position: x=-8.29, y=9.48
Elapsed Time: 14.19 seconds | Position: x=-8.40, y=9.47
Elapsed Time: 14.41 seconds | Position: x=-8.56, y=9.53
Elapsed Time: 14.71 seconds | Position: x=-8.66, y=9.53
Elapsed Time: 15.27 seconds | Position: x=-8.74, y=9.54
Elapsed Time: 15.29 seconds | Position: x=-8.85, y=9.54
Elapsed Time: 15.39 seconds | Position: x=-8.97, y=9.55
Elapsed Time: 15.59 seconds | Position: x=-9.08, y=9.55
Elapsed Time: 15.90 seconds | Position: x=-9.19, y=9.55
Elapsed Time: 16.10 seconds | Position: x=-9.31, y=9.51
Elapsed Time: 16.30 seconds | Position: x=-9.41, y=9.51
Elapsed Time: 16.60 seconds | Position: x=-9.53, y=9.50
Elapsed Time: 16.79 seconds | Position: x=-9.66, y=9.51
Elapsed Time: 17.31 seconds | Position: x=-9.78, y=9.48
Elapsed Time: 17.32 seconds | Position: x=-9.89, y=9.50
Elapsed Time: 17.49 seconds | Position: x=-10.00, y=9.50
Elapsed Time: 17.71 seconds | Position: x=-10.14, y=9.50
Elapsed Time: 18.00 seconds | Position: x=-10.26, y=9.52
Elapsed Time: 18.19 seconds | Position: x=-10.37, y=9.51
Elapsed Time: 18.50 seconds | Position: x=-10.49, y=9.49
Elapsed Time: 18.69 seconds | Position: x=-10.61, y=9.50
Elapsed Time: 18.89 seconds | Position: x=-10.73, y=9.50
Elapsed Time: 19.41 seconds | Position: x=-10.86, y=9.50
Elapsed Time: 19.43 seconds | Position: x=-10.98, y=9.48
Elapsed Time: 19.60 seconds | Position: x=-11.07, y=9.49
Elapsed Time: 19.89 seconds | Position: x=-11.19, y=9.49
Elapsed Time: 20.09 seconds | Position: x=-11.30, y=9.49
Elapsed Time: 20.31 seconds | Position: x=-11.41, y=9.49
Elapsed Time: 20.59 seconds | Position: x=-11.54, y=9.49
Elapsed Time: 20.80 seconds | Position: x=-11.64, y=9.50
Elapsed Time: 21.02 seconds | Position: x=-11.76, y=9.50
Elapsed Time: 21.60 seconds | Position: x=-11.88, y=9.51
Elapsed Time: 21.61 seconds | Position: x=-12.01, y=9.50
Elapsed Time: 21.79 seconds | Position: x=-12.15, y=9.50
Elapsed Time: 21.99 seconds | Position: x=-12.27, y=9.50
Elapsed Time: 22.19 seconds | Position: x=-12.39, y=9.51
Elapsed Time: 22.49 seconds | Position: x=-12.53, y=9.50
Elapsed Time: 22.70 seconds | Position: x=-12.64, y=9.50
Elapsed Time: 22.91 seconds | Position: x=-12.76, y=9.51
Elapsed Time: 23.20 seconds | Position: x=-12.89, y=9.51
Elapsed Time: 23.71 seconds | Position: x=-13.00, y=9.52
Elapsed Time: 23.73 seconds | Position: x=-13.10, y=9.52
Elapsed Time: 23.89 seconds | Position: x=-13.22, y=9.52
Elapsed Time: 24.10 seconds | Position: x=-13.34, y=9.52
Elapsed Time: 24.40 seconds | Position: x=-13.46, y=9.51
Elapsed Time: 24.60 seconds | Position: x=-13.59, y=9.50
Elapsed Time: 24.80 seconds | Position: x=-13.70, y=9.50
Elapsed Time: 25.09 seconds | Position: x=-13.83, y=9.48
Elapsed Time: 25.29 seconds | Position: x=-13.93, y=9.46
Elapsed Time: 25.81 seconds | Position: x=-14.05, y=9.44
Elapsed Time: 25.83 seconds | Position: x=-14.15, y=9.42
Elapsed Time: 25.98 seconds | Position: x=-14.26, y=9.39
Elapsed Time: 26.39 seconds | Position: x=-14.42, y=9.33
Elapsed Time: 26.69 seconds | Position: x=-14.51, y=9.29
