Elapsed Time: 0.00 seconds | Position: x=-7.56, y=9.77
Elapsed Time: 31.77 seconds | Position: x=-7.66, y=9.71
Elapsed Time: 31.96 seconds | Position: x=-7.72, y=9.64
Elapsed Time: 32.18 seconds | Position: x=-7.82, y=9.59
Elapsed Time: 32.46 seconds | Position: x=-7.92, y=9.54
Elapsed Time: 37.96 seconds | Position: x=-8.00, y=9.52
Elapsed Time: 38.56 seconds | Position: x=-8.05, y=9.45
Elapsed Time: 39.36 seconds | Position: x=-8.14, y=9.32
Elapsed Time: 39.45 seconds | Position: x=-8.21, y=9.19
Elapsed Time: 39.75 seconds | Position: x=-8.27, y=9.00
Elapsed Time: 40.16 seconds | Position: x=-8.33, y=8.83
Elapsed Time: 40.44 seconds | Position: x=-8.35, y=8.62
Elapsed Time: 40.75 seconds | Position: x=-8.36, y=8.48
Elapsed Time: 41.37 seconds | Position: x=-8.37, y=8.29
Elapsed Time: 41.37 seconds | Position: x=-8.37, y=8.15
Elapsed Time: 41.54 seconds | Position: x=-8.37, y=8.02
Elapsed Time: 41.75 seconds | Position: x=-8.36, y=7.89
Elapsed Time: 42.15 seconds | Position: x=-8.35, y=7.68
Elapsed Time: 42.46 seconds | Position: x=-8.37, y=7.51
Elapsed Time: 42.84 seconds | Position: x=-8.38, y=7.31
Elapsed Time: 43.38 seconds | Position: x=-8.40, y=7.12
Elapsed Time: 43.54 seconds | Position: x=-8.44, y=6.97
Elapsed Time: 43.87 seconds | Position: x=-8.47, y=6.75
Elapsed Time: 44.25 seconds | Position: x=-8.51, y=6.56
Elapsed Time: 44.65 seconds | Position: x=-8.53, y=6.38
Elapsed Time: 44.95 seconds | Position: x=-8.56, y=6.20
Elapsed Time: 45.47 seconds | Position: x=-8.58, y=6.01
Elapsed Time: 45.65 seconds | Position: x=-8.59, y=5.83
Elapsed Time: 46.05 seconds | Position: x=-8.62, y=5.67
Elapsed Time: 46.35 seconds | Position: x=-8.65, y=5.49
Elapsed Time: 46.75 seconds | Position: x=-8.68, y=5.30
Elapsed Time: 47.07 seconds | Position: x=-8.71, y=5.12
Elapsed Time: 47.59 seconds | Position: x=-8.76, y=4.99
Elapsed Time: 47.59 seconds | Position: x=-8.78, y=4.88
Elapsed Time: 47.76 seconds | Position: x=-8.78, y=4.75
Elapsed Time: 48.05 seconds | Position: x=-8.79, y=4.63
Elapsed Time: 48.24 seconds | Position: x=-8.79, y=4.51
Elapsed Time: 48.55 seconds | Position: x=-8.79, y=4.37
Elapsed Time: 48.76 seconds | Position: x=-8.79, y=4.24
Elapsed Time: 48.95 seconds | Position: x=-8.78, y=4.09
Elapsed Time: 49.25 seconds | Position: x=-8.77, y=3.94
Elapsed Time: 49.74 seconds | Position: x=-8.76, y=3.82
Elapsed Time: 49.74 seconds | Position: x=-8.74, y=3.71
Elapsed Time: 49.95 seconds | Position: x=-8.73, y=3.59
Elapsed Time: 50.17 seconds | Position: x=-8.72, y=3.48
Elapsed Time: 50.37 seconds | Position: x=-8.69, y=3.35
Elapsed Time: 50.65 seconds | Position: x=-8.67, y=3.23
Elapsed Time: 50.85 seconds | Position: x=-8.66, y=3.11
Elapsed Time: 51.15 seconds | Position: x=-8.65, y=2.98
Elapsed Time: 51.35 seconds | Position: x=-8.64, y=2.87
Elapsed Time: 51.87 seconds | Position: x=-8.64, y=2.77
Elapsed Time: 51.87 seconds | Position: x=-8.63, y=2.65
Elapsed Time: 52.05 seconds | Position: x=-8.62, y=2.51
Elapsed Time: 52.26 seconds | Position: x=-8.61, y=2.39
Elapsed Time: 52.55 seconds | Position: x=-8.60, y=2.27
Elapsed Time: 52.75 seconds | Position: x=-8.60, y=2.16
Elapsed Time: 52.96 seconds | Position: x=-8.60, y=2.04
Elapsed Time: 53.26 seconds | Position: x=-8.58, y=1.90
Elapsed Time: 53.46 seconds | Position: x=-8.56, y=1.76
Elapsed Time: 53.96 seconds | Position: x=-8.55, y=1.65
Elapsed Time: 53.97 seconds | Position: x=-8.54, y=1.56
Elapsed Time: 54.16 seconds | Position: x=-8.53, y=1.45
Elapsed Time: 54.46 seconds | Position: x=-8.52, y=1.33
Elapsed Time: 54.66 seconds | Position: x=-8.50, y=1.22
Elapsed Time: 54.86 seconds | Position: x=-8.48, y=1.13
Elapsed Time: 55.16 seconds | Position: x=-8.45, y=1.02
Elapsed Time: 55.36 seconds | Position: x=-8.43, y=0.92
Elapsed Time: 55.58 seconds | Position: x=-8.39, y=0.82
Elapsed Time: 56.18 seconds | Position: x=-8.36, y=0.70
Elapsed Time: 56.18 seconds | Position: x=-8.31, y=0.58
Elapsed Time: 56.28 seconds | Position: x=-8.28, y=0.48
Elapsed Time: 56.56 seconds | Position: x=-8.25, y=0.39
Elapsed Time: 56.75 seconds | Position: x=-8.22, y=0.27
Elapsed Time: 57.06 seconds | Position: x=-8.19, y=0.17
Elapsed Time: 57.26 seconds | Position: x=-8.16, y=0.07
Elapsed Time: 57.47 seconds | Position: x=-8.13, y=-0.03
Elapsed Time: 57.87 seconds | Position: x=-8.10, y=-0.16
Elapsed Time: 58.46 seconds | Position: x=-8.07, y=-0.25
