Elapsed Time: 0.00 seconds | Position: x=-7.62, y=9.66
Elapsed Time: 13.73 seconds | Position: x=-7.73, y=9.58
Elapsed Time: 13.75 seconds | Position: x=-7.83, y=9.48
Elapsed Time: 13.77 seconds | Position: x=-7.93, y=9.37
Elapsed Time: 13.96 seconds | Position: x=-7.97, y=9.27
Elapsed Time: 14.16 seconds | Position: x=-8.00, y=9.18
Elapsed Time: 14.38 seconds | Position: x=-8.04, y=9.07
Elapsed Time: 14.94 seconds | Position: x=-8.05, y=8.95
Elapsed Time: 14.97 seconds | Position: x=-8.07, y=8.83
Elapsed Time: 15.09 seconds | Position: x=-8.09, y=8.72
Elapsed Time: 15.36 seconds | Position: x=-8.10, y=8.60
Elapsed Time: 15.56 seconds | Position: x=-8.12, y=8.46
Elapsed Time: 15.79 seconds | Position: x=-8.13, y=8.34
Elapsed Time: 16.07 seconds | Position: x=-8.15, y=8.20
Elapsed Time: 16.28 seconds | Position: x=-8.16, y=8.08
Elapsed Time: 16.57 seconds | Position: x=-8.18, y=7.97
Elapsed Time: 17.09 seconds | Position: x=-8.19, y=7.85
Elapsed Time: 17.10 seconds | Position: x=-8.23, y=7.73
Elapsed Time: 17.27 seconds | Position: x=-8.26, y=7.61
Elapsed Time: 17.46 seconds | Position: x=-8.29, y=7.48
Elapsed Time: 17.68 seconds | Position: x=-8.32, y=7.36
Elapsed Time: 17.96 seconds | Position: x=-8.36, y=7.25
Elapsed Time: 18.17 seconds | Position: x=-8.39, y=7.11
Elapsed Time: 18.39 seconds | Position: x=-8.43, y=6.99
Elapsed Time: 18.67 seconds | Position: x=-8.47, y=6.89
Elapsed Time: 19.21 seconds | Position: x=-8.50, y=6.76
Elapsed Time: 19.23 seconds | Position: x=-8.51, y=6.62
Elapsed Time: 19.38 seconds | Position: x=-8.54, y=6.51
Elapsed Time: 19.57 seconds | Position: x=-8.56, y=6.39
Elapsed Time: 19.88 seconds | Position: x=-8.57, y=6.27
Elapsed Time: 20.07 seconds | Position: x=-8.58, y=6.14
Elapsed Time: 20.28 seconds | Position: x=-8.60, y=6.04
Elapsed Time: 20.57 seconds | Position: x=-8.60, y=5.92
Elapsed Time: 20.77 seconds | Position: x=-8.62, y=5.81
Elapsed Time: 21.33 seconds | Position: x=-8.63, y=5.70
Elapsed Time: 21.35 seconds | Position: x=-8.64, y=5.58
Elapsed Time: 21.47 seconds | Position: x=-8.65, y=5.48
Elapsed Time: 21.77 seconds | Position: x=-8.66, y=5.35
Elapsed Time: 21.97 seconds | Position: x=-8.67, y=5.23
Elapsed Time: 22.17 seconds | Position: x=-8.68, y=5.10
Elapsed Time: 22.46 seconds | Position: x=-8.67, y=4.97
Elapsed Time: 22.67 seconds | Position: x=-8.68, y=4.85
Elapsed Time: 22.88 seconds | Position: x=-8.68, y=4.74
Elapsed Time: 23.40 seconds | Position: x=-8.67, y=4.62
Elapsed Time: 23.41 seconds | Position: x=-8.66, y=4.50
Elapsed Time: 23.59 seconds | Position: x=-8.64, y=4.40
Elapsed Time: 23.87 seconds | Position: x=-8.63, y=4.26
Elapsed Time: 24.06 seconds | Position: x=-8.60, y=4.13
Elapsed Time: 24.29 seconds | Position: x=-8.56, y=3.98
Elapsed Time: 24.67 seconds | Position: x=-8.51, y=3.81
Elapsed Time: 25.07 seconds | Position: x=-8.45, y=3.63
