Elapsed Time: 0.00 seconds | Position: x=-7.59, y=9.64
Elapsed Time: 8.16 seconds | Position: x=-7.64, y=9.62
Elapsed Time: 10.35 seconds | Position: x=-7.66, y=9.62
Elapsed Time: 10.91 seconds | Position: x=-7.71, y=9.60
Elapsed Time: 11.25 seconds | Position: x=-7.83, y=9.60
Elapsed Time: 11.67 seconds | Position: x=-7.95, y=9.62
Elapsed Time: 11.95 seconds | Position: x=-8.08, y=9.69
Elapsed Time: 12.34 seconds | Position: x=-8.24, y=9.79
Elapsed Time: 13.00 seconds | Position: x=-8.36, y=9.90
Elapsed Time: 13.05 seconds | Position: x=-8.45, y=10.03
Elapsed Time: 13.37 seconds | Position: x=-8.56, y=10.19
Elapsed Time: 13.65 seconds | Position: x=-8.63, y=10.28
Elapsed Time: 13.84 seconds | Position: x=-8.68, y=10.38
Elapsed Time: 14.07 seconds | Position: x=-8.73, y=10.49
Elapsed Time: 14.36 seconds | Position: x=-8.76, y=10.60
Elapsed Time: 14.56 seconds | Position: x=-8.82, y=10.70
Elapsed Time: 15.12 seconds | Position: x=-8.86, y=10.83
Elapsed Time: 15.13 seconds | Position: x=-8.90, y=10.94
Elapsed Time: 15.26 seconds | Position: x=-8.93, y=11.05
Elapsed Time: 15.56 seconds | Position: x=-8.97, y=11.16
Elapsed Time: 15.75 seconds | Position: x=-9.01, y=11.26
Elapsed Time: 15.96 seconds | Position: x=-9.06, y=11.37
Elapsed Time: 16.25 seconds | Position: x=-9.10, y=11.49
Elapsed Time: 16.45 seconds | Position: x=-9.16, y=11.61
Elapsed Time: 16.67 seconds | Position: x=-9.22, y=11.74
Elapsed Time: 17.28 seconds | Position: x=-9.27, y=11.86
Elapsed Time: 17.28 seconds | Position: x=-9.33, y=11.97
Elapsed Time: 17.45 seconds | Position: x=-9.38, y=12.08
Elapsed Time: 17.64 seconds | Position: x=-9.43, y=12.17
Elapsed Time: 17.85 seconds | Position: x=-9.47, y=12.27
Elapsed Time: 18.15 seconds | Position: x=-9.51, y=12.38
Elapsed Time: 18.35 seconds | Position: x=-9.55, y=12.48
Elapsed Time: 18.56 seconds | Position: x=-9.61, y=12.60
Elapsed Time: 18.84 seconds | Position: x=-9.64, y=12.70
Elapsed Time: 19.40 seconds | Position: x=-9.70, y=12.80
Elapsed Time: 19.40 seconds | Position: x=-9.74, y=12.89
Elapsed Time: 19.54 seconds | Position: x=-9.80, y=13.01
Elapsed Time: 19.74 seconds | Position: x=-9.85, y=13.11
Elapsed Time: 20.04 seconds | Position: x=-9.89, y=13.22
Elapsed Time: 20.25 seconds | Position: x=-9.95, y=13.32
Elapsed Time: 20.45 seconds | Position: x=-10.00, y=13.43
Elapsed Time: 20.75 seconds | Position: x=-10.04, y=13.53
Elapsed Time: 20.96 seconds | Position: x=-10.09, y=13.64
Elapsed Time: 21.47 seconds | Position: x=-10.14, y=13.74
Elapsed Time: 21.49 seconds | Position: x=-10.16, y=13.85
Elapsed Time: 21.64 seconds | Position: x=-10.19, y=13.96
Elapsed Time: 21.87 seconds | Position: x=-10.23, y=14.10
Elapsed Time: 22.14 seconds | Position: x=-10.27, y=14.22
Elapsed Time: 22.35 seconds | Position: x=-10.32, y=14.34
Elapsed Time: 22.64 seconds | Position: x=-10.36, y=14.43
Elapsed Time: 22.84 seconds | Position: x=-10.41, y=14.55
Elapsed Time: 23.05 seconds | Position: x=-10.47, y=14.67
Elapsed Time: 23.60 seconds | Position: x=-10.58, y=14.82
Elapsed Time: 23.76 seconds | Position: x=-10.70, y=14.95
Elapsed Time: 24.15 seconds | Position: x=-10.82, y=15.04
Elapsed Time: 24.50 seconds | Position: x=-10.96, y=15.14
