Elapsed Time: 0.00 seconds | Position: x=-7.56, y=9.72
Elapsed Time: 8.35 seconds | Position: x=-7.63, y=9.69
Elapsed Time: 8.85 seconds | Position: x=-7.67, y=9.64
Elapsed Time: 9.15 seconds | Position: x=-7.74, y=9.56
Elapsed Time: 9.67 seconds | Position: x=-7.81, y=9.45
Elapsed Time: 9.75 seconds | Position: x=-7.86, y=9.35
Elapsed Time: 9.96 seconds | Position: x=-7.91, y=9.22
Elapsed Time: 10.25 seconds | Position: x=-7.96, y=9.11
Elapsed Time: 10.44 seconds | Position: x=-7.93, y=8.99
Elapsed Time: 10.67 seconds | Position: x=-7.95, y=8.87
Elapsed Time: 10.94 seconds | Position: x=-7.96, y=8.75
Elapsed Time: 11.15 seconds | Position: x=-7.99, y=8.63
Elapsed Time: 11.68 seconds | Position: x=-8.00, y=8.50
Elapsed Time: 11.70 seconds | Position: x=-8.02, y=8.37
Elapsed Time: 11.85 seconds | Position: x=-8.04, y=8.26
Elapsed Time: 12.15 seconds | Position: x=-8.07, y=8.15
Elapsed Time: 12.35 seconds | Position: x=-8.09, y=8.03
Elapsed Time: 12.56 seconds | Position: x=-8.11, y=7.92
Elapsed Time: 12.84 seconds | Position: x=-8.13, y=7.79
Elapsed Time: 13.05 seconds | Position: x=-8.17, y=7.68
Elapsed Time: 13.26 seconds | Position: x=-8.21, y=7.56
Elapsed Time: 13.87 seconds | Position: x=-8.24, y=7.45
Elapsed Time: 13.88 seconds | Position: x=-8.27, y=7.33
Elapsed Time: 14.05 seconds | Position: x=-8.31, y=7.22
Elapsed Time: 14.25 seconds | Position: x=-8.35, y=7.08
Elapsed Time: 14.44 seconds | Position: x=-8.41, y=6.96
Elapsed Time: 14.74 seconds | Position: x=-8.44, y=6.85
Elapsed Time: 14.94 seconds | Position: x=-8.47, y=6.73
Elapsed Time: 15.16 seconds | Position: x=-8.51, y=6.61
Elapsed Time: 15.45 seconds | Position: x=-8.56, y=6.50
Elapsed Time: 15.99 seconds | Position: x=-8.59, y=6.38
Elapsed Time: 16.00 seconds | Position: x=-8.62, y=6.26
Elapsed Time: 16.15 seconds | Position: x=-8.65, y=6.14
Elapsed Time: 16.34 seconds | Position: x=-8.66, y=6.02
Elapsed Time: 16.64 seconds | Position: x=-8.68, y=5.90
Elapsed Time: 16.84 seconds | Position: x=-8.69, y=5.79
Elapsed Time: 17.04 seconds | Position: x=-8.70, y=5.66
Elapsed Time: 17.34 seconds | Position: x=-8.70, y=5.54
Elapsed Time: 17.54 seconds | Position: x=-8.70, y=5.41
Elapsed Time: 18.07 seconds | Position: x=-8.69, y=5.30
Elapsed Time: 18.08 seconds | Position: x=-8.68, y=5.18
Elapsed Time: 18.23 seconds | Position: x=-8.68, y=5.09
Elapsed Time: 18.45 seconds | Position: x=-8.67, y=4.97
Elapsed Time: 18.74 seconds | Position: x=-8.65, y=4.84
Elapsed Time: 18.94 seconds | Position: x=-8.64, y=4.73
Elapsed Time: 19.34 seconds | Position: x=-8.61, y=4.56
Elapsed Time: 19.65 seconds | Position: x=-8.59, y=4.37
Elapsed Time: 20.18 seconds | Position: x=-8.56, y=4.20
Elapsed Time: 20.35 seconds | Position: x=-8.54, y=4.02
Elapsed Time: 20.75 seconds | Position: x=-8.51, y=3.86
Elapsed Time: 21.08 seconds | Position: x=-8.47, y=3.67
Elapsed Time: 21.45 seconds | Position: x=-8.42, y=3.50
Elapsed Time: 21.78 seconds | Position: x=-8.39, y=3.32
Elapsed Time: 22.34 seconds | Position: x=-8.34, y=3.14
Elapsed Time: 22.55 seconds | Position: x=-8.30, y=2.97
Elapsed Time: 22.85 seconds | Position: x=-8.24, y=2.79
Elapsed Time: 23.07 seconds | Position: x=-8.19, y=2.63
