# robot.pose.x robot.pose.y robot.pose.theta 
-10.345 -7.59307 -3.02367 
-10.3597 -7.50395 -3.00119 
-10.3824 -7.53821 -3.00138 
-10.3761 -7.56093 -3.01362 
-10.3636 -7.53596 -3.00081 
-10.4073 -7.5347 -3.00069 
-10.3994 -7.55145 -3.00517 
-10.3775 -7.55202 -3.00932 
-10.3594 -7.56586 -3.01322 
-10.3818 -7.55896 -3.01115 
-10.3744 -7.5508 -3.00819 
-10.4118 -7.52429 -2.9975 
-10.4117 -7.52496 -2.99755 
-10.3515 -7.56793 -3.01516 
-10.399 -7.60943 -3.02874 
-10.3739 -7.56281 -3.01245 
-10.3789 -7.57932 -3.01416 
-10.4418 -7.54209 -3.00423 
-10.401 -7.53315 -2.99841 
-10.3889 -7.55718 -3.0057 
-10.3887 -7.55819 -3.00583 
-10.3936 -7.57636 -3.01577 
-10.3626 -7.56424 -3.01309 
-10.3675 -7.58431 -3.01631 
-10.3838 -7.56905 -3.01689 
-10.6338 -7.59928 -2.98879 
-10.6361 -7.60641 -2.99052 
-10.398 -7.58453 -3.01291 
-10.389 -7.56235 -3.00664 
-10.4047 -7.55955 -3.01146 
-10.4209 -7.53815 -2.99454 
-10.4058 -7.54882 -3.00349 
-10.3859 -7.56508 -3.00981 
-10.4007 -7.54867 -3.00378 
-10.3802 -7.56279 -3.01017 
-10.4484 -7.56226 -3.00746 
-10.3937 -7.59688 -3.02935 
-10.4196 -7.53455 -2.99803 
-10.4219 -7.51546 -2.99123 
-10.3526 -7.56369 -3.01297 
-10.3751 -7.57266 -3.01652 
-10.4357 -7.59312 -3.02952 
-10.4984 -7.56289 -2.99533 
-10.4247 -7.56326 -3.0027 
-10.3769 -7.56843 -3.01352 
-10.355 -7.56991 -3.01601 
-10.4009 -7.54327 -3.00321 
-10.3545 -7.58134 -3.01891 
-10.3856 -7.59936 -3.02808 
-10.4233 -7.60953 -3.03321 
-10.417 -7.5812 -3.01241 
-10.3954 -7.58166 -3.01161 
-10.4249 -7.5802 -3.01278 
-10.4171 -7.54346 -3.0017 
-10.4047 -7.58291 -3.01623 
-10.3886 -7.60006 -3.02292 
-10.3762 -7.60848 -3.02112 
-10.4037 -7.57668 -3.01489 
-10.4041 -7.57684 -3.01492 
-10.3813 -7.59047 -3.02028 
-10.416 -7.5545 -3.00531 
-10.3707 -7.57802 -3.01919 
-10.3707 -7.57096 -3.01356 
-10.4012 -7.56782 -3.01379 
-10.4117 -7.57905 -3.01111 
-10.4118 -7.57926 -3.01115 
-10.374 -7.61431 -3.02747 
-10.3623 -7.58435 -3.01871 
-10.3673 -7.59008 -3.02329 
-10.3833 -7.57511 -3.01509 
-10.4379 -7.52753 -2.99138 
-10.4772 -7.5486 -2.99155 
-10.4265 -7.55844 -3.00539 
-10.4168 -7.57509 -3.01255 
-10.4254 -7.55997 -3.00516 
-10.3945 -7.58413 -3.00936 
-10.3732 -7.58649 -3.01601 
-10.3731 -7.58646 -3.01601 
-10.3709 -7.5843 -3.01658 
-10.3794 -7.59575 -3.0167 
-10.4152 -7.59968 -3.01968 
-10.4191 -7.54153 -2.99994 
-10.3862 -7.60233 -3.02175 
-10.3648 -7.60068 -3.01861 
-10.3644 -7.60083 -3.01868 
-10.4032 -7.5582 -3.00592 
-10.3907 -7.5787 -3.01541 
-10.3678 -7.60229 -3.02268 
-10.416 -7.55639 -3.00401 
-10.3946 -7.59434 -3.02264 
-10.4578 -7.57678 -3.00142 
-10.5219 -7.58641 -2.99851 
-10.441 -7.59383 -3.01302 
-10.396 -7.61703 -3.02601 
-10.3877 -7.59927 -3.01944 
-10.3699 -7.58434 -3.02181 
-10.4007 -7.58573 -3.01496 
-10.3863 -7.58373 -3.01276 
-10.3776 -7.5914 -3.01607 
-10.3984 -7.58052 -3.01549 
-10.3839 -7.61204 -3.02079 
-10.399 -7.5767 -3.01014 
-10.4364 -7.58111 -3.01597 
-10.398 -7.55613 -3.00772 
-10.398 -7.55603 -3.0077 
-10.3775 -7.60507 -3.02136 
-10.4268 -7.57406 -3.01721 
-10.4107 -7.57621 -3.01265 
-10.4054 -7.64692 -3.0313 
-10.385 -7.61862 -3.01795 
-10.3997 -7.56117 -3.00847 
-10.4573 -7.5559 -3.00057 
-10.5151 -7.56101 -2.99733 
-10.4469 -7.61775 -3.02624 
-10.4405 -7.55505 -2.99992 
-10.4194 -7.58387 -3.02079 
-10.462 -7.5604 -3.00167 
-10.4748 -7.56724 -3.00218 
-10.4301 -7.58973 -3.01246 
-10.3748 -7.61135 -3.02451 
-10.3896 -7.58015 -3.01288 
-10.4125 -7.61748 -3.02246 
-10.3797 -7.5944 -3.01619 
-10.3999 -7.56525 -3.00833 
-10.3998 -7.56536 -3.00835 
-10.41 -7.56879 -3.00874 
-10.3634 -7.63217 -3.02614 
-10.3643 -7.61106 -3.02203 
-10.378 -7.58473 -3.01682 
-10.4431 -7.55647 -3.01005 
-10.4 -7.56033 -3.00641 
-10.4 -7.56037 -3.00641 
-10.3983 -7.63023 -3.0316 
-10.3823 -7.59428 -3.02027 
-10.3782 -7.60481 -3.02035 
-10.4079 -7.55672 -3.00555 
-10.4079 -7.55668 -3.00553 
-10.4047 -7.56593 -3.01297 
-10.3814 -7.5869 -3.01865 
-10.3761 -7.57549 -3.01531 
-10.4408 -7.5816 -3.00871 
-10.3927 -7.58102 -3.01283 
-10.3753 -7.58542 -3.01679 
-10.3869 -7.58306 -3.01583 
