# robot.pose.x robot.pose.y robot.pose.theta 
-10.5465 -7.53433 -3.01733 
-10.5345 -7.56412 -3.0304 
-10.5468 -7.51468 -3.01316 
-10.5008 -7.5557 -3.03341 
-10.5344 -7.56111 -3.02689 
-10.5386 -7.60848 -3.03326 
-10.5089 -7.59184 -3.03666 
-10.4443 -7.6312 -3.05383 
-10.4937 -7.62148 -3.04287 
-10.4634 -7.60439 -3.04979 
-10.4681 -7.56632 -3.04154 
-10.4678 -7.5711 -3.03968 
-10.467 -7.57084 -3.03963 
-10.5388 -7.54298 -3.02422 
-10.4957 -7.56045 -3.03747 
-10.539 -7.54335 -3.02265 
-10.5539 -7.55777 -3.02673 
-10.5199 -7.57823 -3.03509 
-10.5561 -7.54079 -3.02222 
-10.5545 -7.53917 -3.02093 
-10.4948 -7.54076 -3.03397 
-10.5676 -7.5328 -3.01858 
-10.5446 -7.55897 -3.02757 
-10.5079 -7.57101 -3.03664 
-10.4564 -7.58167 -3.04877 
-10.4763 -7.57772 -3.04232 
-10.4764 -7.57778 -3.04239 
-10.4973 -7.5679 -3.03616 
-10.5394 -7.56679 -3.03274 
-10.5332 -7.52633 -3.01626 
-10.5815 -7.54015 -3.01817 
-10.5737 -7.53645 -3.02214 
-10.4872 -7.58919 -3.04677 
-10.5189 -7.59672 -3.04698 
-10.5238 -7.55086 -3.02889 
-10.522 -7.55575 -3.03065 
-10.5013 -7.58183 -3.03644 
-10.5061 -7.54268 -3.03009 
-10.5054 -7.54279 -3.03012 
-10.5053 -7.55104 -3.03212 
-10.5072 -7.53537 -3.0306 
-10.4734 -7.55853 -3.0387 
-10.4773 -7.56246 -3.0379 
-10.4945 -7.55539 -3.03745 
-10.4943 -7.55537 -3.03745 
-10.4996 -7.55168 -3.03461 
-10.5291 -7.54208 -3.02729 
-10.551 -7.57298 -3.03001 
-10.5247 -7.56654 -3.03413 
-10.5547 -7.54945 -3.0239 
-10.4648 -7.5713 -3.04145 
-10.4473 -7.58149 -3.04553 
-10.5071 -7.59316 -3.04028 
-10.5395 -7.55785 -3.02971 
-10.5398 -7.53164 -3.02749 
-10.5343 -7.54206 -3.0221 
-10.4976 -7.56114 -3.0344 
-10.4807 -7.58882 -3.04396 
-10.4826 -7.58919 -3.04394 
-10.5069 -7.57642 -3.03824 
-10.4944 -7.56816 -3.03809 
-10.4766 -7.5782 -3.04203 
-10.5269 -7.53912 -3.02217 
-10.5265 -7.57383 -3.03548 
-10.5272 -7.57385 -3.03548 
-10.5158 -7.58316 -3.0388 
-10.502 -7.56014 -3.03278 
-10.5038 -7.55642 -3.03175 
-10.5444 -7.5691 -3.02952 
-10.4462 -7.57501 -3.04474 
-10.4456 -7.57499 -3.04475 
-10.4488 -7.58343 -3.04664 
-10.5342 -7.55213 -3.02743 
-10.6034 -7.54792 -3.02186 
-10.5779 -7.58409 -3.03429 
-10.5313 -7.57498 -3.04211 
-10.5278 -7.57428 -3.04218 
-10.6266 -7.56294 -3.02639 
-10.6636 -7.53239 -3.01584 
-10.7658 -7.54341 -3.02421 
-10.8021 -7.57937 -3.06696 
-10.8255 -7.53396 -3.10702 
-10.8765 -7.57321 3.10544 
-10.9085 -7.5537 3.03996 
-10.9099 -7.55387 3.04001 
-10.987 -7.49201 3.00191 
-11.0027 -7.49439 2.95132 
-11.0722 -7.46005 2.91975 
-11.1112 -7.44272 2.88241 
-11.1042 -7.4174 2.85485 
-11.105 -7.41097 2.85645 
-11.156 -7.38389 2.8387 
-11.2981 -7.356 2.83672 
-11.3448 -7.34013 2.82198 
-11.3992 -7.31564 2.8158 
-11.4061 -7.33001 2.7985 
-11.4784 -7.3076 2.79594 
-11.4838 -7.27948 2.80096 
-11.4643 -7.24527 2.78302 
-11.553 -7.21388 2.78903 
-11.5696 -7.19428 2.77502 
-11.6642 -7.17247 2.78299 
-11.8665 -7.16085 2.80665 
-11.8751 -7.18647 2.80226 
-11.8288 -7.15272 2.79876 
-11.8436 -7.12359 2.80716 
-11.9736 -7.12571 2.79978 
-11.9547 -7.10978 2.76986 
-12.0106 -7.10154 2.753 
-12.0131 -7.13885 2.74665 
-12.0757 -7.09378 2.751 
-12.1344 -7.06671 2.73548 
-12.1241 -7.02813 2.712 
-12.2434 -6.97917 2.71441 
-12.331 -6.93418 2.71175 
-12.3385 -6.94544 2.68266 
-12.3893 -6.91324 2.68531 
-12.4093 -6.9291 2.68603 
-12.4096 -6.88783 2.67455 
-12.5727 -6.85067 2.68965 
-12.6232 -6.79371 2.69862 
-12.7174 -6.78565 2.69253 
-12.7223 -6.787 2.69303 
-12.7784 -6.74082 2.69555 
-12.7429 -6.74216 2.67254 
-12.8379 -6.66767 2.68784 
-12.9116 -6.68083 2.68733 
-12.9287 -6.69037 2.671 
-12.9271 -6.69427 2.67091 
-12.9174 -6.68385 2.65376 
-12.9691 -6.60881 2.6597 
-13.0912 -6.57727 2.66327 
-13.1133 -6.516 2.65731 
-13.0696 -6.49558 2.62412 
-13.1305 -6.46571 2.60674 
-13.1213 -6.46174 2.60278 
-13.1872 -6.41595 2.58413 
-13.2748 -6.40548 2.55512 
-13.3562 -6.35818 2.55805 
-13.3421 -6.37154 2.53742 
-13.4436 -6.3058 2.56278 
-13.4977 -6.27087 2.55125 
-13.4978 -6.2709 2.55125 
-13.5624 -6.20569 2.53249 
-13.5837 -6.19548 2.4835 
-13.6142 -6.14946 2.44666 
-13.658 -6.13525 2.38873 
-13.7224 -6.02589 2.37656 
-13.7021 -6.00939 2.30965 
-13.6442 -6.03413 2.30187 
-13.74 -5.8913 2.281 
-13.7729 -5.84612 2.247 
-13.8219 -5.79001 2.22067 
-13.8471 -5.77799 2.19213 
-13.8454 -5.777 2.19313 
-13.836 -5.69199 2.16405 
-13.8664 -5.68349 2.13582 
-13.9057 -5.59674 2.11929 
-13.9479 -5.40274 2.12592 
-13.9356 -5.41163 2.13129 
-13.9623 -5.31725 2.10228 
-14.004 -5.34453 2.08507 
-14.0065 -5.36454 2.08374 
-13.9779 -5.27868 2.08073 
-13.9819 -5.28369 2.07524 
-14.0145 -5.20087 2.0821 
-14.0411 -5.19397 2.07643 
-14.1069 -5.10497 2.09427 
-14.1305 -5.12429 2.08363 
-14.1301 -5.12306 2.08421 
-14.1329 -5.06971 2.10045 
-14.1727 -4.99775 2.11111 
-14.2031 -4.97241 2.10189 
-14.2564 -4.91489 2.11286 
-14.3065 -4.84444 2.11898 
-14.3383 -4.79283 2.12074 
-14.3517 -4.70877 2.13647 
-14.396 -4.71045 2.12318 
-14.3508 -4.64994 2.11955 
-14.4256 -4.59738 2.09832 
-14.4349 -4.55061 2.08698 
-14.4345 -4.55113 2.08628 
-14.4815 -4.50113 2.06685 
-14.5004 -4.46279 2.05367 
-14.5435 -4.38788 2.04764 
-14.5427 -4.33376 2.061 
-14.5911 -4.28152 2.0326 
-14.5999 -4.22965 2.02707 
-14.5955 -4.22602 2.02938 
-14.6121 -4.18128 1.99734 
-14.6698 -4.11722 1.96907 
-14.6901 -4.09489 1.95238 
-14.7333 -3.99503 1.96633 
-14.714 -3.95065 1.92574 
-14.7165 -3.95387 1.92572 
-14.7282 -3.83427 1.91119 
-14.7448 -3.82568 1.91181 
-14.7419 -3.74629 1.87863 
-14.7677 -3.72933 1.87592 
-14.7838 -3.67534 1.85501 
-14.7854 -3.61921 1.84778 
-14.8073 -3.55974 1.84889 
-14.8 -3.56983 1.85341 
-14.7848 -3.52467 1.81644 
-14.8225 -3.45231 1.82674 
-14.84 -3.39078 1.82832 
-14.8054 -3.33448 1.80866 
-14.853 -3.28214 1.81227 
-14.8522 -3.2822 1.81295 
-14.8434 -3.19923 1.79787 
-14.8813 -3.10848 1.77523 
-14.8815 -3.13297 1.78633 
-14.8845 -3.06594 1.75232 
-14.8732 -3.04714 1.74776 
-14.8936 -2.97994 1.75627 
-14.9006 -2.93994 1.74419 
-14.8851 -2.89719 1.7273 
-14.9285 -2.84056 1.71915 
-14.9429 -2.78195 1.71119 
-14.9501 -2.72511 1.69676 
-14.9522 -2.65854 1.70106 
-14.9514 -2.62145 1.69805 
-14.9715 -2.56613 1.67696 
-14.9811 -2.50974 1.66383 
-14.9562 -2.4773 1.68705 
-14.9495 -2.38588 1.68519 
-14.9651 -2.39139 1.67157 
-14.9605 -2.33134 1.64932 
-14.9808 -2.26275 1.65905 
-14.9566 -2.20724 1.63808 
-14.9469 -2.13339 1.64641 
-14.9241 -2.05624 1.66024 
-14.9126 -2.00334 1.63053 
-14.9128 -1.99983 1.6308 
-14.9099 -1.97293 1.63209 
-14.9176 -1.90716 1.63733 
-14.878 -1.86519 1.64254 
-14.8855 -1.81663 1.65345 
-14.9036 -1.79327 1.6601 
-14.8842 -1.69881 1.64584 
-14.8878 -1.66294 1.64519 
-14.9235 -1.59851 1.6591 
-14.9014 -1.54388 1.65735 
-14.9451 -1.51422 1.67227 
-14.9435 -1.5285 1.67315 
-14.9559 -1.43767 1.68421 
-14.9699 -1.39181 1.69237 
-14.958 -1.30124 1.67694 
-14.9876 -1.25272 1.67142 
-15.0298 -1.2146 1.68274 
-15.0152 -1.16206 1.68574 
-14.9824 -1.07701 1.67429 
-14.9751 -1.059 1.67556 
-14.9377 -1.0332 1.68762 
-14.9904 -0.987873 1.68157 
-14.9927 -0.953597 1.68793 
-14.979 -0.888413 1.69617 
-14.9913 -0.881228 1.70183 
-14.9844 -0.822704 1.68995 
-14.9866 -0.821767 1.68984 
-15.0034 -0.759141 1.68771 
-15.049 -0.691782 1.69369 
-15.0282 -0.665103 1.70283 
-15.0148 -0.573214 1.70019 
-15.0296 -0.518756 1.69592 
-15.0541 -0.456634 1.69276 
-15.0606 -0.40577 1.68773 
-15.0595 -0.351592 1.6942 
-15.0659 -0.294322 1.69798 
-15.0759 -0.257258 1.69586 
-15.0849 -0.178656 1.6967 
-15.09 -0.128896 1.69554 
-15.087 -0.0625148 1.69895 
-15.1172 -0.00139318 1.68043 
-15.0872 0.0340773 1.68253 
-15.1504 0.084843 1.65619 
-15.0256 0.180596 1.63321 
-15.0173 0.236193 1.60218 
-15.0173 0.234721 1.60278 
-14.9888 0.272587 1.5835 
-15.0958 0.334997 1.5338 
-15.1553 0.36387 1.4995 
-15.2109 0.399852 1.45227 
-15.1699 0.469343 1.40627 
-15.1517 0.468067 1.34316 
-15.1609 0.47622 1.34257 
-15.0923 0.528418 1.25173 
-15.0623 0.570508 1.18594 
-15.0326 0.614343 1.11565 
-15.0016 0.65659 1.04537 
-14.9417 0.671758 0.972712 
-14.9006 0.720342 0.903543 
-14.8581 0.692891 0.904688 
-14.8304 0.758207 0.832484 
-14.7633 0.745877 0.773109 
-14.6829 0.816171 0.715153 
-14.5983 0.831599 0.664393 
-14.5325 0.844276 0.619272 
-14.5258 0.85214 0.616576 
-14.4497 0.905059 0.581546 
-14.4508 0.968518 0.549048 
-14.3754 0.994837 0.544737 
-14.2951 1.02588 0.523396 
-14.2901 1.05006 0.503956 
-14.2236 1.07343 0.480717 
-14.157 1.09003 0.478233 
-14.1568 1.0938 0.464559 
-14.1027 1.13406 0.441164 
-14.0655 1.11671 0.449679 
-14.0712 1.1141 0.446495 
-13.9568 1.13976 0.416689 
-13.9225 1.15196 0.417756 
-13.859 1.16384 0.406406 
-13.7144 1.2242 0.393327 
-13.6732 1.22275 0.395489 
-13.6151 1.22053 0.399381 
-13.5367 1.26248 0.394291 
-13.4084 1.28553 0.39559 
-13.4069 1.28631 0.395565 
-13.3866 1.31085 0.387299 
-13.2932 1.35575 0.386021 
-13.2698 1.39988 0.381778 
-13.2081 1.42143 0.386441 
-13.1587 1.4624 0.378689 
-13.1646 1.47096 0.375934 
-13.0909 1.47986 0.381287 
-13.0525 1.50751 0.378887 
-12.9662 1.51954 0.384982 
-12.9485 1.52374 0.381084 
-12.8621 1.55427 0.381466 
-12.7977 1.55506 0.382759 
-12.7972 1.5547 0.382855 
-12.7363 1.57173 0.384438 
-12.6964 1.60899 0.37931 
-12.6841 1.60897 0.388854 
-12.5872 1.63385 0.387742 
-12.5238 1.64241 0.391896 
-12.5243 1.64204 0.391997 
-12.5038 1.68508 0.377205 
-12.4803 1.71844 0.383168 
-12.4399 1.72558 0.385012 
-12.3798 1.74398 0.385759 
-12.3182 1.78063 0.380531 
-12.2638 1.7782 0.381752 
-12.2637 1.7781 0.381762 
-12.1679 1.81048 0.385526 
-12.1485 1.80762 0.390476 
-12.0135 1.86504 0.384709 
-11.9812 1.90424 0.37692 
-11.9575 1.91142 0.381032 
-11.932 1.92014 0.378471 
-11.8898 1.93586 0.381244 
-11.8761 1.96833 0.378818 
-11.7784 1.97808 0.383774 
-11.7019 2.01913 0.378054 
-11.6435 2.0389 0.376178 
-11.641 2.03595 0.376978 
-11.5931 2.0642 0.373012 
-11.5696 2.09403 0.368087 
-11.5016 2.12373 0.368403 
-11.4428 2.11854 0.380616 
-11.3819 2.13098 0.387987 
-11.3899 2.15439 0.386626 
-11.4051 2.156 0.386002 
-11.3998 2.14979 0.398916 
-11.3701 2.18372 0.39062 
-11.2917 2.22273 0.383586 
-11.2579 2.26642 0.370762 
-11.1895 2.28453 0.365318 
-11.1469 2.28887 0.364886 
-11.0955 2.29447 0.378865 
-11.031 2.3243 0.377682 
-10.9365 2.33957 0.383264 
-10.9074 2.35076 0.391519 
-10.8666 2.38811 0.381662 
-10.8667 2.40654 0.384103 
-10.8446 2.3981 0.390169 
-10.7457 2.42757 0.387165 
-10.6917 2.44236 0.394008 
-10.6877 2.46085 0.387791 
-10.5641 2.47102 0.40374 
-10.5523 2.51637 0.388734 
-10.5571 2.53629 0.38996 
-10.5593 2.53684 0.389933 
-10.452 2.54322 0.393147 
-10.3655 2.58942 0.388328 
-10.3233 2.5938 0.38773 
-10.2745 2.61906 0.384901 
-10.239 2.67191 0.375545 
-10.2511 2.67442 0.37422 
-10.1697 2.68047 0.387397 
-10.1321 2.71662 0.378349 
-10.0656 2.71738 0.395869 
-9.9685 2.75673 0.387213 
-9.93243 2.75783 0.386742 
-9.92471 2.75232 0.39527 
-9.90223 2.79936 0.396566 
-9.85182 2.82593 0.392464 
-9.78482 2.84867 0.388368 
-9.74994 2.86479 0.398868 
-9.68374 2.89286 0.387825 
-9.63824 2.90879 0.393065 
-9.63843 2.90968 0.393049 
-9.58377 2.90776 0.39831 
-9.51238 2.94742 0.394037 
-9.45116 2.97308 0.397655 
-9.39266 3.00779 0.383754 
-9.36779 3.03941 0.385065 
-9.34959 3.04729 0.384311 
-9.30679 3.05448 0.385669 
-9.25604 3.05804 0.387725 
-9.16454 3.10213 0.384482 
-9.13251 3.10543 0.390214 
-9.07485 3.1301 0.390328 
-8.98617 3.18572 0.378046 
-8.98816 3.17027 0.383699 
-8.91773 3.18865 0.381387 
-8.89436 3.22659 0.384176 
-8.82013 3.24947 0.386776 
-8.72658 3.26177 0.391668 
-8.65625 3.29427 0.384153 
-8.63104 3.30913 0.379765 
-8.63629 3.32573 0.389254 
-8.58498 3.34865 0.387067 
-8.54112 3.33637 0.396396 
-8.48766 3.37252 0.386771 
-8.45565 3.38839 0.396681 
-8.42768 3.40052 0.398666 
-8.4267 3.39744 0.398647 
-8.34066 3.40878 0.40259 
-8.29467 3.40368 0.39674 
-8.21913 3.45338 0.398829 
-8.17909 3.47357 0.402548 
-8.11449 3.51227 0.392498 
-8.10919 3.54963 0.390602 
-8.08645 3.55207 0.400974 
-8.02395 3.56405 0.405743 
-7.9475 3.59258 0.403399 
-7.8758 3.6359 0.399008 
-7.84545 3.64402 0.408055 
-7.76319 3.67299 0.40486 
-7.75732 3.67241 0.407697 
-7.72961 3.69846 0.404658 
-7.68493 3.72173 0.400244 
-7.61022 3.74905 0.402509 
-7.56372 3.7748 0.401816 
-7.49924 3.76637 0.400423 
-7.46288 3.8054 0.397291 
-7.4352 3.79549 0.405349 
-7.39013 3.84691 0.39973 
-7.33264 3.87566 0.396409 
-7.29471 3.87896 0.400456 
-7.24361 3.89725 0.402036 
-7.2452 3.92152 0.396239 
-7.19297 3.93171 0.40004 
-7.14429 3.94233 0.40429 
-7.0665 3.97285 0.399736 
-7.01311 4.00139 0.405738 
-6.94525 4.04897 0.393494 
-6.89284 4.08142 0.392387 
-6.89946 4.07209 0.395685 
-6.82449 4.09698 0.39575 
-6.7983 4.13045 0.393049 
-6.76027 4.13189 0.400738 
-6.65908 4.18214 0.390597 
-6.6401 4.17705 0.397572 
-6.59778 4.20353 0.395522 
-6.59878 4.20338 0.395448 
-6.51013 4.24746 0.391539 
-6.45317 4.2739 0.387117 
-6.3748 4.27799 0.39394 
-6.35419 4.29775 0.393482 
-6.2988 4.30108 0.408281 
-6.30257 4.29749 0.408929 
-6.26177 4.33792 0.405604 
-6.23348 4.3305 0.41416 
-6.1561 4.35718 0.407142 
-6.10219 4.39308 0.405378 
-6.0445 4.42684 0.397241 
-6.02992 4.43145 0.394641 
-5.97437 4.4408 0.395264 
-5.89268 4.48799 0.388543 
-5.89532 4.47579 0.392627 
-5.83094 4.5092 0.40537 
-5.76726 4.53763 0.404648 
-5.69485 4.56003 0.398796 
-5.64962 4.56236 0.398817 
-5.65356 4.57178 0.409182 
-5.5806 4.60271 0.407073 
-5.48004 4.62557 0.410487 
-5.46822 4.62497 0.410301 
-5.41355 4.68832 0.404379 
-5.38366 4.69132 0.39926 
-5.35221 4.6964 0.398954 
-5.29031 4.73627 0.406125 
-5.26588 4.7659 0.399582 
-5.20286 4.78703 0.398365 
-5.15878 4.80317 0.401663 
-5.15835 4.80335 0.401644 
-5.09419 4.83252 0.403468 
-5.05969 4.85434 0.400091 
-4.98397 4.85243 0.395952 
-4.93522 4.87921 0.402858 
-4.88934 4.9078 0.399721 
-4.8258 4.92078 0.40042 
-4.80474 4.92317 0.399365 
-4.76061 4.94197 0.391044 
-4.6948 4.97588 0.394172 
-4.65251 4.98541 0.391978 
-4.60847 5.01992 0.401507 
-4.54664 5.04437 0.395194 
-4.48305 5.07833 0.389676 
-4.46588 5.07973 0.38895 
-4.45467 5.07694 0.401155 
-4.38831 5.1036 0.397104 
-4.31937 5.1315 0.394534 
-4.24979 5.16482 0.389412 
-4.20102 5.19108 0.382057 
-4.19442 5.19423 0.379323 
-4.15177 5.21161 0.386628 
-4.11262 5.19682 0.401797 
-4.07635 5.26739 0.379892 
-4.03856 5.25261 0.397249 
-3.97029 5.29039 0.387788 
-3.91215 5.3011 0.381805 
-3.86949 5.3052 0.379826 
-3.78574 5.3335 0.374393 
-3.75239 5.33725 0.379248 
-3.68896 5.37613 0.372841 
-3.62526 5.3959 0.38313 
-3.58099 5.42383 0.394704 
-3.5592 5.42853 0.392474 
-3.49448 5.45602 0.398201 
-3.35464 5.51276 0.397034 
-3.28761 5.53356 0.408677 
-3.15991 5.56364 0.420769 
-3.05045 5.58514 0.435188 
-3.06798 5.5913 0.438212 
-2.95887 5.66215 0.438726 
-2.89749 5.67162 0.467543 
-2.85845 5.70287 0.485276 
-2.79747 5.75048 0.494343 
-2.75002 5.7561 0.520431 
-2.70412 5.8004 0.529636 
-2.70303 5.8002 0.529758 
-2.64114 5.84847 0.534631 
-2.60398 5.86551 0.547527 
-2.5448 5.8926 0.557581 
-2.51976 5.92035 0.566608 
-2.47051 5.96468 0.564305 
-2.42242 5.99763 0.569959 
-2.42225 5.99751 0.569976 
-2.38751 6.01554 0.566417 
-2.38742 6.01562 0.566388 
-2.3225 6.07338 0.568409 
-2.29391 6.11707 0.569 
-2.29395 6.11708 0.569012 
-2.20352 6.16394 0.574409 
