# robot.pose.x robot.pose.y robot.pose.theta 
-1.6092 6.34331 -1.57226 
-1.60866 6.35213 -1.56218 
-1.60774 6.33502 -1.57484 
-1.60665 6.34197 -1.57135 
-1.62109 6.3506 -1.56733 
-1.63179 6.35094 -1.56216 
-1.63171 6.35093 -1.56217 
-1.61583 6.34652 -1.56872 
-1.61453 6.34553 -1.57045 
-1.63143 6.34823 -1.56406 
-1.6299 6.3577 -1.56573 
-1.61213 6.34605 -1.57052 
-1.60378 6.34556 -1.57347 
-1.59073 6.3385 -1.57951 
-1.61514 6.34524 -1.56977 
-1.61809 6.34628 -1.56833 
-1.60345 6.34218 -1.57227 
-1.59205 6.34128 -1.56835 
-1.61197 6.34496 -1.57103 
-1.61193 6.34497 -1.57105 
-1.60108 6.33605 -1.57922 
-1.61385 6.3501 -1.55924 
-1.61374 6.34259 -1.56996 
-1.6242 6.35262 -1.56713 
-1.60822 6.34453 -1.57236 
-1.63171 6.35809 -1.56393 
-1.63172 6.35808 -1.56392 
-1.61791 6.3487 -1.5693 
-1.63977 6.35455 -1.56132 
-1.61271 6.34785 -1.57193 
-1.62131 6.35076 -1.568 
-1.6282 6.3542 -1.56524 
-1.62816 6.35421 -1.56524 
-1.62027 6.35102 -1.56866 
-1.60981 6.34456 -1.57113 
-1.6108 6.34406 -1.57142 
-1.63322 6.35562 -1.56333 
-1.60916 6.34767 -1.57314 
-1.60915 6.34766 -1.57315 
-1.5886 6.3459 -1.56832 
-1.60406 6.33981 -1.57281 
-1.62514 6.36164 -1.56281 
-1.63383 6.36075 -1.56236 
-1.6366 6.36039 -1.56045 
-1.61598 6.34817 -1.57013 
-1.61598 6.34818 -1.57013 
-1.6209 6.35239 -1.56612 
-1.61272 6.3405 -1.57151 
-1.59465 6.33619 -1.57696 
-1.5981 6.34958 -1.56464 
-1.62558 6.35893 -1.56501 
-1.61056 6.34659 -1.57097 
-1.58389 6.34296 -1.57028 
-1.61566 6.36073 -1.5593 
-1.6114 6.34565 -1.57098 
-1.61066 6.35725 -1.57236 
-1.61477 6.35089 -1.57154 
-1.61723 6.35704 -1.56694 
-1.60333 6.34865 -1.57455 
-1.60333 6.34865 -1.57456 
-1.61279 6.35654 -1.56893 
-1.61512 6.35312 -1.57009 
-1.62771 6.36305 -1.56566 
-1.62636 6.35639 -1.56503 
-1.58062 6.32727 -1.58067 
-1.56904 6.3249 -1.58055 
-1.60063 6.35541 -1.56461 
-1.57215 6.34957 -1.57253 
-1.57269 6.32423 -1.58159 
-1.58054 6.34678 -1.57156 
-1.59782 6.34724 -1.57361 
-1.59778 6.34723 -1.57363 
-1.61125 6.35572 -1.56522 
-1.63063 6.36556 -1.55898 
-1.61369 6.35606 -1.5697 
-1.61052 6.35245 -1.57238 
-1.60191 6.34154 -1.57467 
-1.6075 6.35485 -1.57081 
-1.6126 6.34912 -1.57096 
-1.6126 6.34913 -1.57096 
-1.62777 6.3588 -1.56547 
-1.61547 6.35413 -1.56768 
-1.63139 6.36648 -1.56393 
-1.61928 6.35856 -1.5685 
-1.61928 6.35858 -1.5685 
-1.61493 6.3531 -1.56993 
-1.63786 6.3627 -1.56097 
-1.6178 6.35733 -1.56738 
-1.62306 6.35732 -1.56616 
-1.62267 6.35678 -1.56542 
-1.60262 6.34035 -1.57313 
-1.60262 6.34036 -1.57313 
-1.60846 6.35004 -1.57183 
-1.59519 6.34071 -1.57805 
-1.61038 6.34841 -1.57123 
-1.60614 6.35822 -1.57287 
-1.61392 6.35266 -1.57325 
-1.61356 6.35155 -1.57171 
-1.61354 6.35155 -1.57173 
-1.61719 6.35824 -1.56807 
-1.5966 6.34447 -1.57756 
-1.59544 6.34667 -1.56577 
-1.58276 6.34369 -1.57008 
-1.59135 6.33482 -1.57762 
-1.59133 6.33481 -1.57763 
-1.60826 6.34628 -1.57205 
-1.61569 6.35259 -1.56963 
-1.61237 6.34846 -1.57083 
-1.63326 6.35977 -1.56247 
