# robot.pose.x robot.pose.y robot.pose.theta 
-1.67933 6.49327 -1.54218 
-1.72164 6.40475 -1.55205 
-1.72071 6.41419 -1.55329 
-1.72035 6.41731 -1.55366 
-1.77115 6.42391 -1.53985 
-1.73866 6.40883 -1.54379 
-1.65227 6.39362 -1.55214 
-1.68461 6.40194 -1.55087 
-1.7118 6.42883 -1.53888 
-1.72016 6.44817 -1.53621 
-1.66371 6.4143 -1.55053 
-1.67533 6.41356 -1.55366 
-1.62769 6.38689 -1.55563 
-1.68467 6.41399 -1.54829 
-1.68844 6.40794 -1.55133 
-1.68601 6.4164 -1.54861 
-1.68605 6.41635 -1.5485 
-1.72322 6.41766 -1.543 
-1.72308 6.40472 -1.54178 
-1.693 6.39707 -1.55286 
-1.71186 6.41435 -1.54567 
-1.70656 6.41443 -1.54726 
-1.70752 6.41468 -1.54693 
-1.67379 6.3982 -1.55974 
-1.69995 6.40349 -1.54212 
-1.7211 6.4222 -1.54431 
-1.68925 6.39909 -1.55493 
-1.69682 6.39151 -1.54859 
-1.70467 6.41083 -1.54782 
-1.71321 6.41431 -1.54545 
-1.71929 6.41601 -1.54392 
-1.73142 6.42871 -1.53975 
-1.69529 6.40156 -1.55149 
-1.69566 6.407 -1.55101 
-1.7057 6.41378 -1.54999 
-1.70603 6.41392 -1.54999 
-1.69347 6.39123 -1.54863 
-1.68039 6.40937 -1.55242 
-1.66971 6.38633 -1.55475 
-1.65621 6.38238 -1.55864 
-1.66848 6.40277 -1.55502 
-1.66867 6.4029 -1.55505 
-1.66832 6.40397 -1.56152 
-1.66967 6.40626 -1.55623 
-1.67623 6.40244 -1.55291 
-1.66649 6.4024 -1.55662 
-1.67791 6.40087 -1.55165 
-1.67779 6.40095 -1.55167 
-1.68022 6.40118 -1.55298 
-1.67522 6.40329 -1.55313 
-1.67101 6.39831 -1.5553 
-1.659 6.38969 -1.55728 
-1.67447 6.39246 -1.55233 
-1.68566 6.39369 -1.54887 
-1.6852 6.39342 -1.54895 
-1.69832 6.41409 -1.54432 
-1.71515 6.40661 -1.54578 
-1.71503 6.41192 -1.54603 
-1.71928 6.4179 -1.54247 
-1.7255 6.41652 -1.54166 
-1.69061 6.40027 -1.55143 
-1.6705 6.39349 -1.55414 
-1.67603 6.38478 -1.55124 
-1.65909 6.3952 -1.55826 
-1.67814 6.39946 -1.55092 
-1.70792 6.41613 -1.54345 
-1.6959 6.40201 -1.5533 
-1.66656 6.393 -1.55681 
-1.70142 6.40383 -1.53846 
-1.73147 6.4232 -1.53931 
-1.71577 6.41265 -1.54214 
-1.72418 6.41399 -1.54425 
-1.71586 6.41813 -1.54494 
-1.67431 6.40064 -1.55776 
-1.65369 6.39424 -1.56071 
-1.68969 6.40705 -1.54917 
-1.69684 6.41116 -1.54564 
-1.69919 6.39862 -1.54716 
-1.69001 6.39339 -1.54953 
-1.69983 6.41143 -1.54884 
-1.69986 6.41151 -1.54885 
-1.70958 6.40948 -1.54888 
-1.70957 6.40102 -1.54528 
-1.70889 6.40898 -1.54953 
-1.70196 6.40569 -1.54983 
-1.69891 6.40988 -1.54864 
-1.699 6.4099 -1.54866 
-1.68641 6.40483 -1.55308 
-1.66254 6.38592 -1.55413 
-1.65849 6.38238 -1.55441 
-1.69343 6.39954 -1.54596 
-1.67135 6.39759 -1.55314 
-1.67821 6.40217 -1.5532 
-1.67815 6.4022 -1.55321 
-1.69573 6.41187 -1.54458 
-1.70508 6.41185 -1.54566 
-1.7339 6.41546 -1.54137 
-1.71491 6.41974 -1.5464 
-1.68941 6.40035 -1.55689 
-1.67337 6.39808 -1.55219 
-1.67313 6.39799 -1.55221 
-1.69028 6.41554 -1.54794 
-1.69492 6.40708 -1.54782 
-1.66301 6.40304 -1.55805 
-1.65816 6.40691 -1.5603 
-1.6792 6.40464 -1.55134 
-1.67919 6.40467 -1.55134 
-1.67361 6.40802 -1.55166 
-1.63939 6.39183 -1.56375 
-1.73185 6.43263 -1.53647 
-1.71656 6.43072 -1.53981 
-1.71988 6.43203 -1.53997 
-1.70527 6.43397 -1.54203 
-1.70519 6.43396 -1.54201 
-1.6956 6.43478 -1.54368 
-1.68434 6.4072 -1.55625 
-1.69845 6.40942 -1.54598 
-1.73538 6.42234 -1.54183 
-1.69878 6.41548 -1.55064 
-1.69881 6.41549 -1.55066 
-1.71071 6.41484 -1.54594 
-1.73127 6.43257 -1.53943 
-1.69941 6.40017 -1.55206 
-1.68357 6.41121 -1.55149 
-1.67844 6.41076 -1.55079 
-1.67839 6.41082 -1.55078 
-1.69028 6.41077 -1.54733 
-1.67113 6.40583 -1.55381 
-1.70832 6.42315 -1.5406 
-1.73431 6.42376 -1.53958 
-1.69688 6.41247 -1.54918 
-1.68117 6.41387 -1.55334 
-1.68113 6.41387 -1.55334 
-1.68952 6.40999 -1.54899 
-1.64112 6.39181 -1.56178 
-1.70057 6.41218 -1.54537 
-1.73141 6.42181 -1.53908 
-1.68486 6.40969 -1.55477 
-1.65676 6.40356 -1.558 
-1.67592 6.40825 -1.55186 
-1.67674 6.3941 -1.55027 
-1.69429 6.40587 -1.54717 
