# robot.pose.x robot.pose.y robot.pose.theta 
-1.71003 6.513 -1.52659 
-1.63499 6.38294 -1.54384 
-1.66099 6.3843 -1.54235 
-1.65629 6.38333 -1.54371 
-1.62297 6.3742 -1.55114 
-1.64866 6.38627 -1.54476 
-1.66416 6.39248 -1.54171 
-1.64817 6.3763 -1.54349 
-1.62438 6.36802 -1.55404 
-1.63132 6.37184 -1.54771 
-1.63181 6.37096 -1.54753 
-1.62485 6.3711 -1.54124 
-1.63779 6.3732 -1.54826 
-1.64212 6.37473 -1.54616 
-1.63407 6.37208 -1.54733 
-1.65415 6.38375 -1.54236 
-1.65345 6.38372 -1.54247 
-1.62271 6.36006 -1.55336 
-1.64857 6.37607 -1.54525 
-1.63391 6.36603 -1.55029 
-1.64224 6.37552 -1.5443 
-1.61252 6.36681 -1.55557 
-1.62603 6.36765 -1.54842 
-1.62573 6.36758 -1.54861 
-1.63117 6.36558 -1.54754 
-1.64776 6.37655 -1.54342 
-1.61929 6.36715 -1.5551 
-1.61065 6.36976 -1.55478 
-1.61639 6.3636 -1.55418 
-1.6165 6.3638 -1.55424 
-1.62516 6.36493 -1.55169 
-1.62401 6.36392 -1.55167 
-1.60455 6.36572 -1.54909 
-1.60931 6.36158 -1.54734 
-1.64811 6.37305 -1.54155 
-1.6518 6.37823 -1.54227 
-1.65101 6.37831 -1.54243 
-1.64255 6.37666 -1.54333 
-1.61313 6.35812 -1.55634 
-1.63748 6.37049 -1.54589 
-1.64562 6.37254 -1.54212 
-1.6339 6.36735 -1.54655 
-1.6414 6.37184 -1.54203 
-1.64103 6.37171 -1.5421 
-1.62213 6.36334 -1.54933 
-1.60778 6.35563 -1.55591 
-1.62369 6.36938 -1.54851 
-1.62359 6.36572 -1.55221 
-1.65349 6.37851 -1.53932 
-1.6533 6.37847 -1.53936 
-1.62506 6.36472 -1.54958 
-1.6274 6.36494 -1.5505 
-1.62266 6.36348 -1.55022 
-1.62657 6.36187 -1.5496 
-1.6446 6.37865 -1.5423 
-1.6453 6.37874 -1.54229 
-1.60057 6.3487 -1.56046 
-1.62245 6.36733 -1.55003 
-1.6287 6.3641 -1.55044 
-1.6364 6.36934 -1.54542 
-1.59237 6.33988 -1.56741 
-1.60985 6.35394 -1.56501 
-1.62995 6.38106 -1.54831 
-1.65138 6.36341 -1.54989 
-1.60775 6.35439 -1.5578 
-1.60406 6.37406 -1.55722 
-1.62122 6.39271 -1.55394 
-1.60821 6.364 -1.55427 
-1.60826 6.36401 -1.55429 
-1.62204 6.36339 -1.5528 
-1.62102 6.35945 -1.5525 
-1.61198 6.36422 -1.55439 
-1.5998 6.35974 -1.54948 
-1.61508 6.35891 -1.55289 
-1.61964 6.36794 -1.55004 
-1.61967 6.36786 -1.55006 
-1.61797 6.37296 -1.54228 
-1.64154 6.37323 -1.54506 
-1.64084 6.36873 -1.54532 
-1.62049 6.3633 -1.55283 
-1.62589 6.3713 -1.55026 
