# robot.pose.x robot.pose.y robot.pose.theta 
-10.3065 -7.33148 -3.02457 
-10.5297 -7.54819 -3.02156 
-10.5307 -7.54405 -3.01989 
-10.5389 -7.53593 -3.01782 
-9.92595 -7.64057 -3.04307 
-9.92258 -7.74039 -3.06361 
-9.92293 -7.76696 -3.07139 
-9.91847 -7.72408 -3.05509 
-9.91239 -7.73723 -3.06188 
-9.91834 -7.73859 -3.06113 
-9.91685 -7.76212 -3.07185 
-9.88923 -7.76519 -3.07275 
-9.87237 -7.75943 -3.07092 
-9.93754 -7.7308 -3.05779 
-9.93439 -7.7399 -3.06101 
-9.93427 -7.74209 -3.06133 
-9.8937 -7.7541 -3.06882 
-9.86523 -7.75878 -3.07215 
-10.0239 -7.72731 -3.04824 
-9.97496 -7.73583 -3.05618 
-9.9545 -7.71539 -3.04881 
-9.90089 -7.75004 -3.06657 
-9.9008 -7.7503 -3.06661 
-9.97801 -7.74593 -3.05681 
-9.95084 -7.72567 -3.05304 
-9.98132 -7.73242 -3.051 
-10.0158 -7.72555 -3.0486 
-9.99291 -7.71847 -3.04585 
-9.99248 -7.71792 -3.04596 
-9.89241 -7.74486 -3.0641 
-9.95166 -7.72582 -3.0495 
-9.94696 -7.7229 -3.05025 
-9.99899 -7.71429 -3.04651 
-10.0044 -7.73055 -3.05026 
-9.89209 -7.7691 -3.07148 
-9.89158 -7.76914 -3.07151 
-9.92741 -7.74903 -3.06272 
-9.95267 -7.72155 -3.04948 
-10.0079 -7.70928 -3.04546 
-9.94408 -7.75113 -3.06201 
-9.95306 -7.75195 -3.0599 
-9.95309 -7.75226 -3.05997 
-10.0163 -7.76584 -3.0618 
-9.92926 -7.77501 -3.07053 
-9.9897 -7.73688 -3.05064 
-9.94572 -7.76404 -3.06588 
-9.96358 -7.75663 -3.06114 
-9.96371 -7.75686 -3.06122 
-9.99513 -7.73314 -3.05063 
-9.94955 -7.73453 -3.05662 
-9.92518 -7.75097 -3.06411 
-9.96316 -7.71974 -3.04847 
-9.94319 -7.73554 -3.05664 
-9.96483 -7.73303 -3.05178 
-9.95831 -7.7607 -3.06126 
-9.95964 -7.76052 -3.06111 
-9.92147 -7.75431 -3.06412 
-9.92975 -7.74412 -3.06038 
-9.94102 -7.76972 -3.06728 
-9.96087 -7.75001 -3.05952 
-9.95712 -7.73604 -3.05472 
-9.95731 -7.73614 -3.05471 
-9.94676 -7.76691 -3.06602 
-9.96051 -7.72612 -3.04934 
-9.93156 -7.70551 -3.04469 
-9.96221 -7.73251 -3.05367 
-9.93031 -7.75568 -3.06258 
-9.93032 -7.75669 -3.06304 
-9.93671 -7.73998 -3.05854 
-9.96612 -7.73223 -3.05079 
-9.98148 -7.72204 -3.0472 
-10.004 -7.72649 -3.04755 
-9.99305 -7.78844 -3.07236 
-9.98241 -7.79682 -3.07537 
-10.0219 -7.73573 -3.0514 
-9.98437 -7.74686 -3.05392 
-9.95458 -7.75735 -3.0615 
-9.90504 -7.7704 -3.06865 
-9.91118 -7.77135 -3.06603 
-9.96969 -7.71764 -3.04653 
-10.0201 -7.74369 -3.05067 
-10.0448 -7.74536 -3.05099 
-9.95505 -7.77212 -3.06934 
-9.9699 -7.72282 -3.04775 
-9.92022 -7.75597 -3.06487 
-9.92752 -7.7429 -3.05925 
-9.92732 -7.74307 -3.05928 
-9.9477 -7.70001 -3.03768 
-9.94644 -7.73823 -3.0611 
-9.99596 -7.68556 -3.04097 
-10.0049 -7.70556 -3.04434 
-9.91756 -7.75211 -3.06322 
-9.91903 -7.75323 -3.06407 
-9.94627 -7.72544 -3.05532 
-10.0202 -7.6919 -3.03592 
-10.0153 -7.75885 -3.05346 
-9.95424 -7.74747 -3.0605 
-9.93541 -7.73475 -3.05951 
-10.0004 -7.69484 -3.03966 
-10.0015 -7.69352 -3.03927 
-9.97646 -7.74274 -3.05618 
-9.99217 -7.71638 -3.04957 
-9.99104 -7.72026 -3.04847 
-10.0119 -7.72327 -3.04867 
-9.97207 -7.73831 -3.05558 
-9.93863 -7.73006 -3.05732 
-9.93832 -7.72999 -3.05734 
-9.92457 -7.75098 -3.06323 
-9.95872 -7.7265 -3.05236 
-10.0039 -7.71762 -3.04419 
-9.95578 -7.76077 -3.06846 
-9.91784 -7.7667 -3.06633 
-9.97195 -7.72486 -3.04877 
-9.99436 -7.72921 -3.04764 
-10.006 -7.73702 -3.05006 
-9.93368 -7.74665 -3.06095 
-9.96172 -7.72253 -3.04632 
-9.9552 -7.70173 -3.04425 
-9.93223 -7.73921 -3.05903 
-9.93722 -7.74521 -3.05838 
-9.96708 -7.7745 -3.07567 
-9.98698 -7.74609 -3.05774 
-9.99285 -7.72167 -3.04814 
-9.95088 -7.76022 -3.06679 
-9.95218 -7.76688 -3.06727 
-9.95215 -7.76424 -3.06631 
-9.95169 -7.74157 -3.05703 
-9.99874 -7.73357 -3.04638 
-9.966 -7.72923 -3.05298 
-9.96903 -7.71752 -3.04723 
-9.97092 -7.74316 -3.05625 
-10.0245 -7.73315 -3.04619 
-10.0446 -7.73406 -3.04513 
-9.97256 -7.76005 -3.06349 
-9.93471 -7.75209 -3.06156 
-9.93154 -7.76209 -3.06355 
-9.95558 -7.74365 -3.05688 
-10.0095 -7.71162 -3.03948 
-9.997 -7.71364 -3.03519 
-9.95388 -7.7254 -3.04231 
-9.98954 -7.73531 -3.05095 
-9.98125 -7.7449 -3.04715 
-9.95855 -7.77256 -3.05978 
-9.9882 -7.71036 -3.04228 
-9.97665 -7.73339 -3.04973 
-9.97244 -7.72441 -3.05114 
-9.9787 -7.74163 -3.05307 
-9.95565 -7.74899 -3.05778 
-9.94248 -7.78535 -3.06877 
-9.92125 -7.7563 -3.06416 
-9.99308 -7.74327 -3.05135 
-9.99014 -7.73284 -3.05104 
-9.9839 -7.75184 -3.05414 
-9.97084 -7.7447 -3.05553 
-9.95123 -7.76935 -3.06578 
-9.96493 -7.72651 -3.05084 
-9.94393 -7.77068 -3.06487 
