Elapsed Time: 8.98 seconds | Position: x=0.15, y=-0.00
Elapsed Time: 9.08 seconds | Position: x=0.17, y=-0.00
Elapsed Time: 9.18 seconds | Position: x=0.19, y=-0.00
Elapsed Time: 9.29 seconds | Position: x=0.22, y=-0.00
Elapsed Time: 9.38 seconds | Position: x=0.24, y=-0.00
Elapsed Time: 9.48 seconds | Position: x=0.26, y=-0.00
Elapsed Time: 9.59 seconds | Position: x=0.29, y=-0.00
Elapsed Time: 9.69 seconds | Position: x=0.31, y=-0.00
Elapsed Time: 9.78 seconds | Position: x=0.33, y=-0.00
Elapsed Time: 9.89 seconds | Position: x=0.36, y=-0.00
Elapsed Time: 9.98 seconds | Position: x=0.38, y=-0.00
Elapsed Time: 10.09 seconds | Position: x=0.41, y=-0.00
Elapsed Time: 10.19 seconds | Position: x=0.43, y=-0.00
Elapsed Time: 10.29 seconds | Position: x=0.46, y=-0.00
Elapsed Time: 10.39 seconds | Position: x=0.49, y=-0.00
Elapsed Time: 10.49 seconds | Position: x=0.52, y=-0.00
Elapsed Time: 10.59 seconds | Position: x=0.54, y=-0.00
Elapsed Time: 10.69 seconds | Position: x=0.57, y=-0.00
Elapsed Time: 10.78 seconds | Position: x=0.60, y=-0.00
Elapsed Time: 10.88 seconds | Position: x=0.62, y=-0.00
Elapsed Time: 10.98 seconds | Position: x=0.65, y=-0.00
Elapsed Time: 11.08 seconds | Position: x=0.68, y=-0.00
Elapsed Time: 11.18 seconds | Position: x=0.71, y=-0.00
Elapsed Time: 11.29 seconds | Position: x=0.73, y=-0.00
Elapsed Time: 11.39 seconds | Position: x=0.76, y=-0.00
Elapsed Time: 11.48 seconds | Position: x=0.79, y=-0.00
Elapsed Time: 11.58 seconds | Position: x=0.82, y=-0.00
Elapsed Time: 11.69 seconds | Position: x=0.84, y=-0.01
Elapsed Time: 11.78 seconds | Position: x=0.87, y=-0.01
Elapsed Time: 11.89 seconds | Position: x=0.90, y=-0.01
Elapsed Time: 11.98 seconds | Position: x=0.93, y=-0.01
Elapsed Time: 12.11 seconds | Position: x=0.95, y=-0.01
Elapsed Time: 12.20 seconds | Position: x=0.98, y=-0.01
Elapsed Time: 12.29 seconds | Position: x=1.01, y=-0.01
Elapsed Time: 12.39 seconds | Position: x=1.04, y=-0.01
Elapsed Time: 12.49 seconds | Position: x=1.06, y=-0.01
