Elapsed Time: 33.32 seconds | Position: x=-9.76, y=9.08
Elapsed Time: 33.63 seconds | Position: x=-9.76, y=8.92
Elapsed Time: 33.84 seconds | Position: x=-9.76, y=8.78
Elapsed Time: 34.12 seconds | Position: x=-9.74, y=8.66
Elapsed Time: 34.31 seconds | Position: x=-9.73, y=8.54
Elapsed Time: 34.62 seconds | Position: x=-9.70, y=8.41
Elapsed Time: 35.12 seconds | Position: x=-9.66, y=8.29
Elapsed Time: 35.13 seconds | Position: x=-9.63, y=8.16
Elapsed Time: 35.32 seconds | Position: x=-9.60, y=8.06
Elapsed Time: 35.51 seconds | Position: x=-9.57, y=7.95
Elapsed Time: 35.72 seconds | Position: x=-9.55, y=7.85
Elapsed Time: 36.02 seconds | Position: x=-9.50, y=7.70
Elapsed Time: 36.22 seconds | Position: x=-9.45, y=7.56
Elapsed Time: 36.44 seconds | Position: x=-9.40, y=7.45
Elapsed Time: 36.71 seconds | Position: x=-9.38, y=7.33
Elapsed Time: 37.25 seconds | Position: x=-9.35, y=7.22
Elapsed Time: 37.25 seconds | Position: x=-9.32, y=7.09
Elapsed Time: 37.41 seconds | Position: x=-9.28, y=6.98
Elapsed Time: 37.64 seconds | Position: x=-9.26, y=6.83
Elapsed Time: 37.91 seconds | Position: x=-9.23, y=6.71
Elapsed Time: 38.12 seconds | Position: x=-9.21, y=6.59
Elapsed Time: 38.33 seconds | Position: x=-9.19, y=6.45
Elapsed Time: 38.61 seconds | Position: x=-9.16, y=6.32
Elapsed Time: 38.80 seconds | Position: x=-9.14, y=6.22
Elapsed Time: 39.34 seconds | Position: x=-9.12, y=6.10
Elapsed Time: 39.34 seconds | Position: x=-9.09, y=5.97
Elapsed Time: 39.52 seconds | Position: x=-9.06, y=5.85
Elapsed Time: 39.82 seconds | Position: x=-9.03, y=5.72
Elapsed Time: 40.02 seconds | Position: x=-9.00, y=5.61
Elapsed Time: 40.23 seconds | Position: x=-8.97, y=5.50
Elapsed Time: 40.51 seconds | Position: x=-8.95, y=5.40
Elapsed Time: 40.72 seconds | Position: x=-8.92, y=5.27
Elapsed Time: 40.94 seconds | Position: x=-8.90, y=5.17
Elapsed Time: 41.53 seconds | Position: x=-8.88, y=5.08
Elapsed Time: 41.53 seconds | Position: x=-8.85, y=4.96
Elapsed Time: 41.72 seconds | Position: x=-8.83, y=4.87
Elapsed Time: 41.91 seconds | Position: x=-8.81, y=4.77
Elapsed Time: 42.12 seconds | Position: x=-8.79, y=4.66
Elapsed Time: 42.41 seconds | Position: x=-8.76, y=4.53
Elapsed Time: 42.61 seconds | Position: x=-8.73, y=4.43
Elapsed Time: 42.82 seconds | Position: x=-8.70, y=4.32
Elapsed Time: 43.12 seconds | Position: x=-8.67, y=4.21
Elapsed Time: 43.61 seconds | Position: x=-8.64, y=4.08
Elapsed Time: 43.62 seconds | Position: x=-8.60, y=3.95
Elapsed Time: 43.83 seconds | Position: x=-8.57, y=3.83
Elapsed Time: 44.02 seconds | Position: x=-8.53, y=3.69
Elapsed Time: 44.31 seconds | Position: x=-8.48, y=3.57
Elapsed Time: 44.52 seconds | Position: x=-8.44, y=3.44
Elapsed Time: 44.72 seconds | Position: x=-8.39, y=3.29
Elapsed Time: 45.02 seconds | Position: x=-8.35, y=3.17
Elapsed Time: 45.21 seconds | Position: x=-8.30, y=3.06
Elapsed Time: 45.72 seconds | Position: x=-8.25, y=2.96
Elapsed Time: 45.73 seconds | Position: x=-8.21, y=2.86
Elapsed Time: 45.91 seconds | Position: x=-8.16, y=2.76
Elapsed Time: 46.14 seconds | Position: x=-8.11, y=2.64
Elapsed Time: 46.41 seconds | Position: x=-8.06, y=2.53
Elapsed Time: 46.61 seconds | Position: x=-8.00, y=2.42
Elapsed Time: 46.91 seconds | Position: x=-7.94, y=2.29
Elapsed Time: 47.13 seconds | Position: x=-7.90, y=2.20
Elapsed Time: 47.32 seconds | Position: x=-7.84, y=2.10
Elapsed Time: 47.85 seconds | Position: x=-7.79, y=1.99
Elapsed Time: 47.85 seconds | Position: x=-7.74, y=1.86
Elapsed Time: 48.03 seconds | Position: x=-7.70, y=1.76
Elapsed Time: 48.32 seconds | Position: x=-7.67, y=1.66
Elapsed Time: 48.52 seconds | Position: x=-7.62, y=1.53
Elapsed Time: 48.75 seconds | Position: x=-7.57, y=1.42
Elapsed Time: 49.02 seconds | Position: x=-7.52, y=1.28
Elapsed Time: 49.22 seconds | Position: x=-7.48, y=1.18
Elapsed Time: 49.51 seconds | Position: x=-7.44, y=1.06
Elapsed Time: 50.01 seconds | Position: x=-7.39, y=0.94
Elapsed Time: 50.02 seconds | Position: x=-7.34, y=0.81
Elapsed Time: 50.22 seconds | Position: x=-7.31, y=0.72
Elapsed Time: 50.42 seconds | Position: x=-7.27, y=0.62
Elapsed Time: 50.64 seconds | Position: x=-7.20, y=0.49
Elapsed Time: 50.92 seconds | Position: x=-7.16, y=0.40
Elapsed Time: 51.12 seconds | Position: x=-7.12, y=0.29
Elapsed Time: 51.41 seconds | Position: x=-7.06, y=0.20
Elapsed Time: 51.61 seconds | Position: x=-7.03, y=0.12
Elapsed Time: 52.23 seconds | Position: x=-6.99, y=0.03
Elapsed Time: 52.23 seconds | Position: x=-6.95, y=-0.04
Elapsed Time: 52.31 seconds | Position: x=-6.89, y=-0.14
Elapsed Time: 52.53 seconds | Position: x=-6.83, y=-0.22
Elapsed Time: 52.83 seconds | Position: x=-6.80, y=-0.28
Elapsed Time: 53.01 seconds | Position: x=-6.75, y=-0.37
Elapsed Time: 53.24 seconds | Position: x=-6.68, y=-0.47
Elapsed Time: 53.53 seconds | Position: x=-6.64, y=-0.55
Elapsed Time: 53.72 seconds | Position: x=-6.58, y=-0.65
Elapsed Time: 54.27 seconds | Position: x=-6.51, y=-0.72
Elapsed Time: 54.27 seconds | Position: x=-6.43, y=-0.81
Elapsed Time: 54.42 seconds | Position: x=-6.35, y=-0.91
Elapsed Time: 54.73 seconds | Position: x=-6.27, y=-0.97
Elapsed Time: 54.91 seconds | Position: x=-6.20, y=-1.04
Elapsed Time: 55.13 seconds | Position: x=-6.11, y=-1.10
Elapsed Time: 55.42 seconds | Position: x=-6.00, y=-1.15
Elapsed Time: 55.62 seconds | Position: x=-5.88, y=-1.22
Elapsed Time: 55.85 seconds | Position: x=-5.77, y=-1.27
Elapsed Time: 56.44 seconds | Position: x=-5.63, y=-1.33
Elapsed Time: 56.62 seconds | Position: x=-5.46, y=-1.38
Elapsed Time: 56.93 seconds | Position: x=-5.28, y=-1.41
Elapsed Time: 57.32 seconds | Position: x=-5.12, y=-1.43
Elapsed Time: 57.62 seconds | Position: x=-4.95, y=-1.45
Elapsed Time: 58.02 seconds | Position: x=-4.78, y=-1.45
Elapsed Time: 58.53 seconds | Position: x=-4.60, y=-1.42
Elapsed Time: 58.63 seconds | Position: x=-4.48, y=-1.39
Elapsed Time: 58.82 seconds | Position: x=-4.36, y=-1.37
Elapsed Time: 59.03 seconds | Position: x=-4.22, y=-1.34
Elapsed Time: 59.32 seconds | Position: x=-4.11, y=-1.31
Elapsed Time: 59.52 seconds | Position: x=-4.00, y=-1.28
Elapsed Time: 59.74 seconds | Position: x=-3.89, y=-1.23
Elapsed Time: 60.03 seconds | Position: x=-3.78, y=-1.20
Elapsed Time: 60.53 seconds | Position: x=-3.68, y=-1.15
Elapsed Time: 60.53 seconds | Position: x=-3.56, y=-1.10
Elapsed Time: 60.73 seconds | Position: x=-3.46, y=-1.06
Elapsed Time: 60.92 seconds | Position: x=-3.34, y=-1.01
Elapsed Time: 61.22 seconds | Position: x=-3.23, y=-0.97
Elapsed Time: 61.42 seconds | Position: x=-3.12, y=-0.94
