Elapsed Time: 28.77 seconds | Position: x=-9.66, y=10.82
Elapsed Time: 29.29 seconds | Position: x=-9.68, y=10.95
Elapsed Time: 29.29 seconds | Position: x=-9.71, y=11.07
Elapsed Time: 29.48 seconds | Position: x=-9.74, y=11.18
Elapsed Time: 29.78 seconds | Position: x=-9.76, y=11.29
Elapsed Time: 29.97 seconds | Position: x=-9.79, y=11.42
Elapsed Time: 30.18 seconds | Position: x=-9.81, y=11.53
Elapsed Time: 30.47 seconds | Position: x=-9.84, y=11.67
Elapsed Time: 30.68 seconds | Position: x=-9.87, y=11.78
Elapsed Time: 30.88 seconds | Position: x=-9.89, y=11.89
Elapsed Time: 31.52 seconds | Position: x=-9.92, y=12.00
Elapsed Time: 31.53 seconds | Position: x=-9.94, y=12.11
Elapsed Time: 31.61 seconds | Position: x=-9.96, y=12.21
Elapsed Time: 31.87 seconds | Position: x=-9.98, y=12.33
Elapsed Time: 32.07 seconds | Position: x=-10.01, y=12.45
Elapsed Time: 32.37 seconds | Position: x=-10.02, y=12.58
Elapsed Time: 32.57 seconds | Position: x=-10.04, y=12.69
Elapsed Time: 32.78 seconds | Position: x=-10.07, y=12.80
Elapsed Time: 33.07 seconds | Position: x=-10.09, y=12.91
Elapsed Time: 33.60 seconds | Position: x=-10.11, y=13.03
Elapsed Time: 33.60 seconds | Position: x=-10.12, y=13.14
Elapsed Time: 33.78 seconds | Position: x=-10.14, y=13.27
Elapsed Time: 33.98 seconds | Position: x=-10.15, y=13.40
Elapsed Time: 34.19 seconds | Position: x=-10.17, y=13.52
Elapsed Time: 34.48 seconds | Position: x=-10.19, y=13.62
Elapsed Time: 34.67 seconds | Position: x=-10.21, y=13.74
Elapsed Time: 34.98 seconds | Position: x=-10.24, y=13.86
Elapsed Time: 35.17 seconds | Position: x=-10.27, y=13.97
Elapsed Time: 35.71 seconds | Position: x=-10.31, y=14.09
Elapsed Time: 35.71 seconds | Position: x=-10.34, y=14.21
Elapsed Time: 35.88 seconds | Position: x=-10.39, y=14.32
Elapsed Time: 36.08 seconds | Position: x=-10.42, y=14.43
Elapsed Time: 36.38 seconds | Position: x=-10.45, y=14.54
Elapsed Time: 36.59 seconds | Position: x=-10.48, y=14.66
Elapsed Time: 36.79 seconds | Position: x=-10.50, y=14.78
Elapsed Time: 37.07 seconds | Position: x=-10.53, y=14.90
Elapsed Time: 37.28 seconds | Position: x=-10.53, y=15.03
Elapsed Time: 37.79 seconds | Position: x=-10.54, y=15.16
Elapsed Time: 37.79 seconds | Position: x=-10.52, y=15.28
Elapsed Time: 37.98 seconds | Position: x=-10.51, y=15.38
Elapsed Time: 38.38 seconds | Position: x=-10.46, y=15.54
Elapsed Time: 38.68 seconds | Position: x=-10.38, y=15.71
Elapsed Time: 39.07 seconds | Position: x=-10.29, y=15.88
Elapsed Time: 39.40 seconds | Position: x=-10.18, y=16.02
Elapsed Time: 39.96 seconds | Position: x=-10.08, y=16.12
Elapsed Time: 40.48 seconds | Position: x=-10.00, y=16.19
Elapsed Time: 41.40 seconds | Position: x=-9.94, y=16.27
Elapsed Time: 42.00 seconds | Position: x=-9.85, y=16.39
Elapsed Time: 42.38 seconds | Position: x=-9.78, y=16.52
Elapsed Time: 42.70 seconds | Position: x=-9.69, y=16.66
Elapsed Time: 43.08 seconds | Position: x=-9.58, y=16.80
Elapsed Time: 43.28 seconds | Position: x=-9.50, y=16.88
Elapsed Time: 43.57 seconds | Position: x=-9.44, y=16.96
Elapsed Time: 44.09 seconds | Position: x=-9.35, y=17.04
Elapsed Time: 44.09 seconds | Position: x=-9.25, y=17.12
Elapsed Time: 44.28 seconds | Position: x=-9.14, y=17.20
Elapsed Time: 44.48 seconds | Position: x=-9.06, y=17.26
Elapsed Time: 44.78 seconds | Position: x=-8.93, y=17.33
Elapsed Time: 44.98 seconds | Position: x=-8.82, y=17.39
Elapsed Time: 45.18 seconds | Position: x=-8.72, y=17.44
Elapsed Time: 45.50 seconds | Position: x=-8.59, y=17.49
Elapsed Time: 45.68 seconds | Position: x=-8.48, y=17.54
Elapsed Time: 46.20 seconds | Position: x=-8.38, y=17.58
Elapsed Time: 46.21 seconds | Position: x=-8.28, y=17.61
Elapsed Time: 46.48 seconds | Position: x=-8.15, y=17.64
Elapsed Time: 46.88 seconds | Position: x=-8.02, y=17.69
Elapsed Time: 47.48 seconds | Position: x=-7.90, y=17.72
