# time.localization time.act 
0 0.081171 
0 0.054628 
0 0.06417 
0 0.05167 
0 0.049669 
0 0.052045 
0 0.051669 
0 0.050628 
0 0.051628 
0 0.054795 
0 0.054378 
0 0.066337 
0 0.066337 
0 0.05192 
0 0.049627 
0 0.054253 
0 0.049253 
0 0.052294 
0 0.052211 
0 0.052087 
0 0.049378 
0 0.053544 
0 0.050378 
0 0.051669 
0 0.056211 
0 0.052503 
0 0.054669 
0 0.054628 
0 0.057253 
0 0.044627 
0 0.054669 
0 0.053086 
0 0.049961 
0 0.051253 
0 0.053087 
0 0.060504 
0 0.066253 
0 0.052545 
0 0.050378 
0 0.048752 
0 0.055086 
0 0.051961 
0 0.052544 
0 0.054586 
0 0.065128 
0 0.052711 
0 0.054794 
0 0.050628 
0 0.051002 
0 0.05292 
0 0.044627 
0 0.051877 
0 0.067712 
0 0.045586 
0 0.049336 
0 0.06842 
0 0.054462 
0 0.057294 
0 0.051545 
0 0.054461 
0 0.051711 
0 0.051044 
0 0.055461 
0 0.053461 
0 0.051628 
0 0.068504 
0 0.058503 
0 0.05117 
0 0.051794 
0 0.065295 
0 0.051586 
0 0.046169 
0 0.05742 
0 0.053044 
0 0.050502 
0 0.046336 
0 0.077379 
0 0.074754 
0 0.082588 
0 0.07467 
0 0.094464 
0 0.08913 
0 0.07392 
0 0.058295 
0 0.085505 
0 0.068795 
0 0.073504 
0 0.076463 
0 0.093922 
0 0.079421 
0 0.075337 
0 0.064087 
0 0.074087 
0 0.078587 
0 0.088254 
0 0.076504 
0 0.075921 
0 0.064337 
1.56504 0.053794 
18.0376 0.070879 
1.88393 0.083171 
6.54613 0.067754 
6.77514 0.048628 
8.17713 0.06867 
7.1947 0.073629 
16.81 0.06842 
5.19968 0.085713 
12.478 0.069795 
11.4094 0.044586 
8.65344 0.085921 
15.5409 0.067212 
13.3775 0.066003 
15.0688 0.067295 
15.8523 0.063295 
15.6325 0.06742 
15.0964 0.044794 
17.5829 0.067087 
27.5286 0.066087 
15.4897 0.065837 
15.9292 0.064004 
0.327392 0.067254 
0.33435 0.043961 
0.42423 0.072171 
0.35356 0.06867 
0.408438 0.073587 
0.310891 0.081171 
0.334018 0.068837 
0.393728 0.068212 
0.401979 0.048002 
0.323392 0.084421 
0.310682 0.072462 
0.362852 0.072004 
0.294098 0.068171 
0.308058 0.065212 
0.335184 0.045836 
0.392895 0.071421 
0.489067 0.069921 
0.379102 0.072712 
0.425355 0.068462 
0.365144 0.066587 
0.457523 0.070879 
0.449731 0.04717 
0.353268 0.072004 
0.381228 0.06892 
0.437522 0.076503 
0.366061 0.069962 
0.373727 0.06642 
0.36031 0.066379 
0.420438 0.070503 
0.36331 0.071587 
0.506984 0.068421 
0.45819 0.069336 
0.451564 0.068587 
0.331142 0.064711 
0.372644 0.068129 
0.33185 0.068921 
0.353102 0.06967 
0.401437 0.068378 
0.386395 0.068128 
0.398396 0.068003 
0.384019 0.064003 
0.351143 0.067337 
0.376603 0.06717 
0.389894 0.067337 
0.316683 0.064962 
0.455356 0.075046 
0.45194 0.049794 
0.418187 0.072753 
0.441772 0.069587 
0.435981 0.06967 
0.497775 0.069753 
0.39827 0.066878 
0.470565 0.071712 
0.462315 0.046669 
0.480607 0.064795 
0.420938 0.067545 
0.382727 0.07142 
0.376436 0.070337 
0.374894 0.066504 
0.382978 0.070378 
0.383477 0.045253 
0.371894 0.07142 
0.392145 0.06942 
0.462064 0.068003 
0.404229 0.070962 
0.409813 0.065212 
0.445981 0.040211 
0.415146 0.06842 
0.405479 0.071878 
0.424271 0.063504 
0.389728 0.06117 
0.370644 0.067254 
0.405979 0.066379 
0.435855 0.065253 
0.467232 0.065712 
0.447523 0.067503 
0.463481 0.065503 
0.372519 0.06567 
0.456857 0.065129 
0.40652 0.052252 
0.390686 0.064878 
0.474108 0.072587 
0.360393 0.067337 
0.405062 0.066045 
0.416438 0.070629 
0.435855 0.07017 
0.380144 0.044502 
0.415937 0.065545 
0.425605 0.064045 
0.380311 0.065003 
0.408437 0.06692 
0.310016 0.065295 
0.299265 0.040752 
0.234678 0.06692 
0.330683 0.064795 
0.299057 0.070962 
0.409979 0.066045 
0.288223 0.064045 
0.297098 0.03971 
0.289723 0.078254 
0.345101 0.064379 
0.321433 0.065129 
0.377769 0.068879 
0.303099 0.079046 
0.262054 0.064045 
0.282764 0.03996 
0.380769 0.067504 
0.377893 0.068878 
0.412437 0.079254 
0.341225 0.078546 
0.304848 0.066128 
0.29189 0.038544 
0.332475 0.101297 
0.289723 0.066462 
0.298431 0.069712 
0.381602 0.06817 
0.339184 0.066461 
0.359893 0.082796 
0.345767 0.037668 
0.339058 0.06192 
0.3356 0.064336 
0.408812 0.063462 
0.338476 0.074754 
0.375352 0.067711 
0.352643 0.065795 
0.298723 0.062212 
0.416104 0.060545 
0.410021 0.067462 
0.307223 0.064836 
0.371977 0.064378 
0.430438 0.063628 
0.398103 0.06567 
0.400436 0.062837 
0.494858 0.065378 
0.388103 0.068836 
0.304306 0.066504 
0.401062 0.066962 
0.479274 0.066961 
0.431647 0.044586 
0.462898 0.06367 
0.391644 0.067003 
0.46844 0.068712 
0.392936 0.069712 
0.362185 0.063586 
0.368352 0.043127 
0.437021 0.069586 
0.386936 0.065628 
0.363934 0.068837 
0.444605 0.071337 
0.428605 0.067461 
0.445314 0.072045 
0.437564 0.045168 
0.453939 0.06617 
0.48369 0.066462 
0.47394 0.07267 
0.422646 0.079171 
0.387852 0.069003 
0.465606 0.041627 
0.499775 0.06992 
0.427563 0.064169 
0.462773 0.063629 
0.422354 0.06867 
0.495899 0.063086 
0.397436 0.06392 
0.432104 0.039377 
0.458022 0.069045 
0.352809 0.06492 
0.447105 0.06392 
0.411062 0.082796 
0.521567 0.069295 
0.455731 0.041002 
0.451773 0.070211 
0.47444 0.07067 
0.374269 0.068711 
0.31014 0.067336 
0.487066 0.072504 
0.48669 0.050794 
0.409187 0.074962 
0.502275 0.073129 
0.358851 0.073629 
0.3386 0.070378 
0.256637 0.069503 
0.43023 0.06692 
0.432188 0.073546 
0.276514 0.06917 
0.358726 0.099838 
0.311932 0.081379 
0.23397 0.077754 
0.415228 0.079879 
0.337725 0.077379 
0.363852 0.048669 
0.334391 0.078504 
0.342058 0.081588 
0.342891 0.075795 
0.338225 0.076337 
0.402603 0.046169 
0.265305 0.075712 
0.275097 0.048628 
0.304098 0.075712 
0.319016 0.081587 
0.35485 0.085088 
0.27518 0.077587 
0.336267 0.110297 
0.317307 0.050211 
0.30989 0.082462 
0.390936 0.079795 
0.375727 0.076713 
0.422353 0.07592 
0.329766 0.074962 
0.419812 0.077671 
0.401103 0.047003 
0.315807 0.081171 
0.383144 0.074004 
0.350476 0.077713 
0.359184 0.088963 
0.305182 0.082963 
0.349558 0.047335 
0.353267 0.084212 
0.416562 0.082796 
0.358226 0.079712 
0.294473 0.090463 
0.332683 0.079045 
0.303974 0.048252 
0.351392 0.077337 
0.287806 0.07817 
0.325141 0.086962 
0.330974 0.076754 
0.229761 0.077671 
0.275471 0.078754 
0.253387 0.053919 
0.266429 0.078837 
0.263346 0.085379 
0.295639 0.085213 
0.232137 0.083629 
0.270638 0.079503 
0.252346 0.086338 
0.206969 0.048169 
0.294139 0.078629 
0.295181 0.080545 
0.288931 0.085671 
0.224594 0.078712 
0.278722 0.077295 
0.272138 0.048085 
0.24447 0.078962 
0.236262 0.077421 
0.317599 0.084379 
0.232803 0.085338 
0.199343 0.083962 
0.211011 0.078796 
0.207093 0.048502 
0.187759 0.077296 
0.23097 0.095047 
0.231887 0.077753 
0.291722 0.077004 
0.234678 0.075129 
0.25947 0.046211 
0.268846 0.075087 
0.179592 0.075379 
0.260513 0.095588 
0.290639 0.07242 
0.318807 0.078796 
0.305223 0.051753 
0.435604 0.073753 
0.271013 0.072045 
0.232428 0.069336 
0.268971 0.071045 
0.279846 0.072545 
0.317891 0.072128 
0.287972 0.07292 
0.250512 0.073795 
0.34085 0.07142 
0.252387 0.069129 
0.295472 0.074086 
0.355267 0.079587 
0.331349 0.080546 
0.307182 0.049169 
0.308056 0.070378 
0.327682 0.077253 
0.231136 0.071337 
0.283056 0.072336 
0.356809 0.068962 
0.378643 0.04121 
0.297056 0.075212 
0.322932 0.072462 
0.350642 0.073337 
0.302473 0.074129 
0.295973 0.071629 
0.319766 0.043544 
0.361184 0.092046 
0.303931 0.07392 
0.318349 0.077921 
0.341016 0.077504 
0.294306 0.074379 
0.347808 0.072253 
0.331474 0.04096 
0.31139 0.072504 
0.391185 0.073962 
0.303056 0.072711 
0.408687 0.075337 
0.352184 0.073087 
0.347933 0.07142 
0.357559 0.05417 
0.366143 0.07442 
0.308848 0.092005 
