Elapsed Time: 0.00 seconds | Position: x=-15.23, y=8.92
Elapsed Time: 5.56 seconds | Position: x=-15.11, y=8.96
Elapsed Time: 6.21 seconds | Position: x=-14.97, y=9.00
Elapsed Time: 6.36 seconds | Position: x=-14.85, y=9.01
Elapsed Time: 6.64 seconds | Position: x=-14.76, y=9.00
Elapsed Time: 6.85 seconds | Position: x=-14.59, y=8.97
Elapsed Time: 7.06 seconds | Position: x=-14.50, y=8.95
Elapsed Time: 7.37 seconds | Position: x=-14.41, y=8.91
Elapsed Time: 7.54 seconds | Position: x=-14.32, y=8.85
Elapsed Time: 7.87 seconds | Position: x=-14.22, y=8.79
Elapsed Time: 8.39 seconds | Position: x=-14.15, y=8.72
Elapsed Time: 8.40 seconds | Position: x=-14.07, y=8.65
Elapsed Time: 8.55 seconds | Position: x=-13.98, y=8.57
Elapsed Time: 8.74 seconds | Position: x=-13.89, y=8.49
Elapsed Time: 8.97 seconds | Position: x=-13.79, y=8.41
Elapsed Time: 9.26 seconds | Position: x=-13.72, y=8.33
Elapsed Time: 9.45 seconds | Position: x=-13.62, y=8.27
Elapsed Time: 9.68 seconds | Position: x=-13.52, y=8.21
Elapsed Time: 9.94 seconds | Position: x=-13.43, y=8.15
Elapsed Time: 10.46 seconds | Position: x=-13.33, y=8.09
Elapsed Time: 10.47 seconds | Position: x=-13.22, y=8.02
Elapsed Time: 10.64 seconds | Position: x=-13.11, y=7.95
Elapsed Time: 10.85 seconds | Position: x=-13.02, y=7.90
Elapsed Time: 11.15 seconds | Position: x=-12.89, y=7.85
Elapsed Time: 11.35 seconds | Position: x=-12.78, y=7.80
Elapsed Time: 11.55 seconds | Position: x=-12.66, y=7.74
Elapsed Time: 11.84 seconds | Position: x=-12.55, y=7.69
Elapsed Time: 12.04 seconds | Position: x=-12.44, y=7.63
Elapsed Time: 12.59 seconds | Position: x=-12.35, y=7.57
Elapsed Time: 12.59 seconds | Position: x=-12.24, y=7.50
Elapsed Time: 12.74 seconds | Position: x=-12.16, y=7.45
Elapsed Time: 13.04 seconds | Position: x=-12.07, y=7.38
Elapsed Time: 13.24 seconds | Position: x=-11.96, y=7.29
Elapsed Time: 13.50 seconds | Position: x=-11.87, y=7.21
Elapsed Time: 13.74 seconds | Position: x=-11.80, y=7.13
Elapsed Time: 13.94 seconds | Position: x=-11.73, y=7.06
Elapsed Time: 14.14 seconds | Position: x=-11.64, y=6.97
Elapsed Time: 14.68 seconds | Position: x=-11.58, y=6.90
Elapsed Time: 14.68 seconds | Position: x=-11.49, y=6.80
Elapsed Time: 14.85 seconds | Position: x=-11.42, y=6.71
Elapsed Time: 15.14 seconds | Position: x=-11.36, y=6.62
Elapsed Time: 15.34 seconds | Position: x=-11.29, y=6.53
Elapsed Time: 15.57 seconds | Position: x=-11.22, y=6.42
Elapsed Time: 15.85 seconds | Position: x=-11.15, y=6.33
Elapsed Time: 16.04 seconds | Position: x=-11.07, y=6.22
Elapsed Time: 16.34 seconds | Position: x=-11.02, y=6.13
Elapsed Time: 16.88 seconds | Position: x=-10.92, y=5.99
Elapsed Time: 16.88 seconds | Position: x=-10.85, y=5.88
Elapsed Time: 17.14 seconds | Position: x=-10.78, y=5.78
Elapsed Time: 17.35 seconds | Position: x=-10.71, y=5.67
Elapsed Time: 17.74 seconds | Position: x=-10.61, y=5.54
Elapsed Time: 17.93 seconds | Position: x=-10.53, y=5.43
Elapsed Time: 18.16 seconds | Position: x=-10.45, y=5.32
Elapsed Time: 18.44 seconds | Position: x=-10.37, y=5.21
Elapsed Time: 18.98 seconds | Position: x=-10.25, y=5.05
Elapsed Time: 19.14 seconds | Position: x=-10.15, y=4.89
Elapsed Time: 19.45 seconds | Position: x=-10.04, y=4.73
Elapsed Time: 19.74 seconds | Position: x=-9.96, y=4.61
Elapsed Time: 19.94 seconds | Position: x=-9.88, y=4.50
Elapsed Time: 20.24 seconds | Position: x=-9.80, y=4.38
Elapsed Time: 20.44 seconds | Position: x=-9.74, y=4.28
Elapsed Time: 20.64 seconds | Position: x=-9.67, y=4.19
Elapsed Time: 21.19 seconds | Position: x=-9.59, y=4.10
Elapsed Time: 21.19 seconds | Position: x=-9.52, y=4.01
Elapsed Time: 21.45 seconds | Position: x=-9.43, y=3.90
Elapsed Time: 21.65 seconds | Position: x=-9.35, y=3.80
Elapsed Time: 21.83 seconds | Position: x=-9.29, y=3.72
Elapsed Time: 22.06 seconds | Position: x=-9.21, y=3.62
Elapsed Time: 22.35 seconds | Position: x=-9.14, y=3.52
Elapsed Time: 22.54 seconds | Position: x=-9.07, y=3.42
Elapsed Time: 22.77 seconds | Position: x=-9.00, y=3.33
Elapsed Time: 23.39 seconds | Position: x=-8.94, y=3.24
Elapsed Time: 23.39 seconds | Position: x=-8.87, y=3.15
Elapsed Time: 23.54 seconds | Position: x=-8.80, y=3.07
Elapsed Time: 23.74 seconds | Position: x=-8.75, y=3.00
Elapsed Time: 24.06 seconds | Position: x=-8.65, y=2.86
Elapsed Time: 24.44 seconds | Position: x=-8.56, y=2.72
Elapsed Time: 24.83 seconds | Position: x=-8.47, y=2.58
Elapsed Time: 25.45 seconds | Position: x=-8.37, y=2.43
Elapsed Time: 25.53 seconds | Position: x=-8.28, y=2.27
Elapsed Time: 25.86 seconds | Position: x=-8.19, y=2.12
Elapsed Time: 26.24 seconds | Position: x=-8.09, y=1.97
Elapsed Time: 26.54 seconds | Position: x=-8.01, y=1.83
Elapsed Time: 26.95 seconds | Position: x=-7.93, y=1.67
Elapsed Time: 27.59 seconds | Position: x=-7.85, y=1.51
Elapsed Time: 27.75 seconds | Position: x=-7.77, y=1.34
Elapsed Time: 27.98 seconds | Position: x=-7.68, y=1.20
Elapsed Time: 28.34 seconds | Position: x=-7.59, y=1.04
