Elapsed Time: 0.00 seconds | Position: x=1.13, y=5.80
Elapsed Time: 12.62 seconds | Position: x=1.17, y=5.65
Elapsed Time: 13.44 seconds | Position: x=1.20, y=5.50
Elapsed Time: 13.51 seconds | Position: x=1.24, y=5.33
Elapsed Time: 13.81 seconds | Position: x=1.27, y=5.16
Elapsed Time: 14.27 seconds | Position: x=1.28, y=5.00
Elapsed Time: 14.51 seconds | Position: x=1.30, y=4.82
Elapsed Time: 14.93 seconds | Position: x=1.30, y=4.60
Elapsed Time: 15.59 seconds | Position: x=1.31, y=4.50
Elapsed Time: 15.61 seconds | Position: x=1.31, y=4.33
Elapsed Time: 15.95 seconds | Position: x=1.31, y=4.15
Elapsed Time: 16.31 seconds | Position: x=1.28, y=4.00
Elapsed Time: 16.63 seconds | Position: x=1.26, y=3.85
Elapsed Time: 17.00 seconds | Position: x=1.25, y=3.71
Elapsed Time: 17.23 seconds | Position: x=1.24, y=3.63
Elapsed Time: 17.96 seconds | Position: x=1.21, y=3.53
Elapsed Time: 17.99 seconds | Position: x=1.21, y=3.45
Elapsed Time: 18.01 seconds | Position: x=1.20, y=3.36
Elapsed Time: 18.21 seconds | Position: x=1.17, y=3.29
Elapsed Time: 18.42 seconds | Position: x=1.15, y=3.21
Elapsed Time: 18.71 seconds | Position: x=1.12, y=3.12
Elapsed Time: 18.91 seconds | Position: x=1.08, y=3.01
Elapsed Time: 19.15 seconds | Position: x=1.04, y=2.91
Elapsed Time: 19.41 seconds | Position: x=1.00, y=2.81
Elapsed Time: 19.96 seconds | Position: x=0.94, y=2.70
Elapsed Time: 19.98 seconds | Position: x=0.89, y=2.62
Elapsed Time: 20.10 seconds | Position: x=0.85, y=2.52
Elapsed Time: 20.31 seconds | Position: x=0.80, y=2.42
Elapsed Time: 20.59 seconds | Position: x=0.75, y=2.31
Elapsed Time: 20.80 seconds | Position: x=0.70, y=2.22
Elapsed Time: 21.01 seconds | Position: x=0.65, y=2.10
Elapsed Time: 21.30 seconds | Position: x=0.58, y=2.00
Elapsed Time: 21.51 seconds | Position: x=0.54, y=1.87
Elapsed Time: 22.03 seconds | Position: x=0.50, y=1.74
Elapsed Time: 22.05 seconds | Position: x=0.43, y=1.62
Elapsed Time: 22.21 seconds | Position: x=0.40, y=1.46
Elapsed Time: 22.41 seconds | Position: x=0.33, y=1.31
Elapsed Time: 22.70 seconds | Position: x=0.28, y=1.16
Elapsed Time: 22.90 seconds | Position: x=0.23, y=1.01
Elapsed Time: 23.12 seconds | Position: x=0.19, y=0.86
Elapsed Time: 23.40 seconds | Position: x=0.14, y=0.72
Elapsed Time: 23.60 seconds | Position: x=0.09, y=0.58
Elapsed Time: 24.17 seconds | Position: x=0.02, y=0.44
Elapsed Time: 24.18 seconds | Position: x=-0.06, y=0.31
Elapsed Time: 24.31 seconds | Position: x=-0.13, y=0.20
Elapsed Time: 24.61 seconds | Position: x=-0.21, y=0.10
Elapsed Time: 24.80 seconds | Position: x=-0.31, y=0.01
Elapsed Time: 25.00 seconds | Position: x=-0.40, y=-0.07
Elapsed Time: 25.31 seconds | Position: x=-0.50, y=-0.15
Elapsed Time: 25.60 seconds | Position: x=-0.66, y=-0.23
Elapsed Time: 26.19 seconds | Position: x=-0.81, y=-0.31
Elapsed Time: 26.31 seconds | Position: x=-0.97, y=-0.39
Elapsed Time: 26.70 seconds | Position: x=-1.15, y=-0.44
Elapsed Time: 27.00 seconds | Position: x=-1.32, y=-0.50
Elapsed Time: 27.40 seconds | Position: x=-1.50, y=-0.55
Elapsed Time: 27.73 seconds | Position: x=-1.67, y=-0.60
Elapsed Time: 28.40 seconds | Position: x=-1.84, y=-0.64
Elapsed Time: 28.50 seconds | Position: x=-2.02, y=-0.69
Elapsed Time: 28.79 seconds | Position: x=-2.18, y=-0.75
Elapsed Time: 29.21 seconds | Position: x=-2.33, y=-0.81
Elapsed Time: 29.56 seconds | Position: x=-2.49, y=-0.86
Elapsed Time: 29.90 seconds | Position: x=-2.66, y=-0.92
Elapsed Time: 30.40 seconds | Position: x=-2.84, y=-0.98
Elapsed Time: 30.60 seconds | Position: x=-3.01, y=-1.03
Elapsed Time: 30.93 seconds | Position: x=-3.17, y=-1.09
Elapsed Time: 31.30 seconds | Position: x=-3.33, y=-1.16
Elapsed Time: 31.63 seconds | Position: x=-3.49, y=-1.24
Elapsed Time: 32.00 seconds | Position: x=-3.65, y=-1.31
Elapsed Time: 32.52 seconds | Position: x=-3.82, y=-1.37
Elapsed Time: 32.71 seconds | Position: x=-3.98, y=-1.44
Elapsed Time: 33.10 seconds | Position: x=-4.15, y=-1.49
Elapsed Time: 33.40 seconds | Position: x=-4.32, y=-1.54
Elapsed Time: 33.80 seconds | Position: x=-4.49, y=-1.57
Elapsed Time: 34.10 seconds | Position: x=-4.66, y=-1.57
Elapsed Time: 34.64 seconds | Position: x=-4.79, y=-1.56
Elapsed Time: 34.65 seconds | Position: x=-4.89, y=-1.52
Elapsed Time: 34.81 seconds | Position: x=-5.01, y=-1.50
Elapsed Time: 35.10 seconds | Position: x=-5.13, y=-1.46
Elapsed Time: 35.30 seconds | Position: x=-5.24, y=-1.42
Elapsed Time: 35.52 seconds | Position: x=-5.34, y=-1.38
Elapsed Time: 35.80 seconds | Position: x=-5.46, y=-1.31
Elapsed Time: 35.99 seconds | Position: x=-5.58, y=-1.26
Elapsed Time: 36.22 seconds | Position: x=-5.67, y=-1.19
Elapsed Time: 36.84 seconds | Position: x=-5.76, y=-1.13
Elapsed Time: 36.85 seconds | Position: x=-5.87, y=-1.06
Elapsed Time: 37.00 seconds | Position: x=-5.98, y=-0.98
Elapsed Time: 37.21 seconds | Position: x=-6.07, y=-0.89
Elapsed Time: 37.41 seconds | Position: x=-6.17, y=-0.80
Elapsed Time: 37.73 seconds | Position: x=-6.25, y=-0.72
Elapsed Time: 37.89 seconds | Position: x=-6.34, y=-0.63
Elapsed Time: 38.10 seconds | Position: x=-6.43, y=-0.54
Elapsed Time: 38.42 seconds | Position: x=-6.51, y=-0.46
Elapsed Time: 38.96 seconds | Position: x=-6.58, y=-0.38
Elapsed Time: 38.97 seconds | Position: x=-6.66, y=-0.29
Elapsed Time: 39.10 seconds | Position: x=-6.73, y=-0.19
Elapsed Time: 39.29 seconds | Position: x=-6.80, y=-0.09
Elapsed Time: 39.60 seconds | Position: x=-6.86, y=-0.00
Elapsed Time: 39.79 seconds | Position: x=-6.93, y=0.09
Elapsed Time: 39.99 seconds | Position: x=-6.98, y=0.17
Elapsed Time: 40.29 seconds | Position: x=-7.04, y=0.25
Elapsed Time: 40.50 seconds | Position: x=-7.10, y=0.35
Elapsed Time: 41.03 seconds | Position: x=-7.15, y=0.43
Elapsed Time: 41.04 seconds | Position: x=-7.20, y=0.52
Elapsed Time: 41.20 seconds | Position: x=-7.27, y=0.64
Elapsed Time: 41.42 seconds | Position: x=-7.33, y=0.74
Elapsed Time: 41.71 seconds | Position: x=-7.39, y=0.85
Elapsed Time: 41.89 seconds | Position: x=-7.45, y=0.95
Elapsed Time: 42.20 seconds | Position: x=-7.51, y=1.06
Elapsed Time: 42.39 seconds | Position: x=-7.58, y=1.16
Elapsed Time: 42.61 seconds | Position: x=-7.65, y=1.28
Elapsed Time: 43.15 seconds | Position: x=-7.71, y=1.39
Elapsed Time: 43.15 seconds | Position: x=-7.76, y=1.50
Elapsed Time: 43.30 seconds | Position: x=-7.82, y=1.60
Elapsed Time: 43.59 seconds | Position: x=-7.88, y=1.70
Elapsed Time: 43.80 seconds | Position: x=-7.93, y=1.80
Elapsed Time: 44.01 seconds | Position: x=-7.98, y=1.88
Elapsed Time: 44.30 seconds | Position: x=-8.04, y=1.99
Elapsed Time: 44.50 seconds | Position: x=-8.10, y=2.10
Elapsed Time: 44.72 seconds | Position: x=-8.17, y=2.22
Elapsed Time: 45.37 seconds | Position: x=-8.23, y=2.32
Elapsed Time: 45.37 seconds | Position: x=-8.29, y=2.42
Elapsed Time: 45.49 seconds | Position: x=-8.34, y=2.52
Elapsed Time: 45.70 seconds | Position: x=-8.40, y=2.62
Elapsed Time: 45.90 seconds | Position: x=-8.46, y=2.71
Elapsed Time: 46.19 seconds | Position: x=-8.52, y=2.80
Elapsed Time: 46.40 seconds | Position: x=-8.58, y=2.91
Elapsed Time: 46.61 seconds | Position: x=-8.65, y=3.02
Elapsed Time: 46.89 seconds | Position: x=-8.71, y=3.12
Elapsed Time: 47.42 seconds | Position: x=-8.77, y=3.20
Elapsed Time: 47.43 seconds | Position: x=-8.84, y=3.28
Elapsed Time: 47.59 seconds | Position: x=-8.90, y=3.39
Elapsed Time: 47.79 seconds | Position: x=-8.98, y=3.48
Elapsed Time: 48.09 seconds | Position: x=-9.05, y=3.56
Elapsed Time: 48.29 seconds | Position: x=-9.11, y=3.65
Elapsed Time: 48.51 seconds | Position: x=-9.19, y=3.74
Elapsed Time: 48.80 seconds | Position: x=-9.27, y=3.84
Elapsed Time: 48.99 seconds | Position: x=-9.34, y=3.94
Elapsed Time: 49.55 seconds | Position: x=-9.41, y=4.04
Elapsed Time: 49.56 seconds | Position: x=-9.47, y=4.13
Elapsed Time: 49.70 seconds | Position: x=-9.53, y=4.22
Elapsed Time: 49.91 seconds | Position: x=-9.59, y=4.31
Elapsed Time: 50.19 seconds | Position: x=-9.65, y=4.41
Elapsed Time: 50.39 seconds | Position: x=-9.72, y=4.51
Elapsed Time: 50.69 seconds | Position: x=-9.77, y=4.59
Elapsed Time: 50.90 seconds | Position: x=-9.83, y=4.68
Elapsed Time: 51.09 seconds | Position: x=-9.89, y=4.78
Elapsed Time: 51.61 seconds | Position: x=-9.97, y=4.89
Elapsed Time: 51.61 seconds | Position: x=-10.04, y=4.98
Elapsed Time: 51.80 seconds | Position: x=-10.11, y=5.07
Elapsed Time: 52.10 seconds | Position: x=-10.19, y=5.17
Elapsed Time: 52.30 seconds | Position: x=-10.26, y=5.26
Elapsed Time: 52.51 seconds | Position: x=-10.33, y=5.36
Elapsed Time: 52.79 seconds | Position: x=-10.43, y=5.47
Elapsed Time: 53.00 seconds | Position: x=-10.50, y=5.58
Elapsed Time: 53.21 seconds | Position: x=-10.58, y=5.68
Elapsed Time: 53.78 seconds | Position: x=-10.65, y=5.78
Elapsed Time: 53.78 seconds | Position: x=-10.72, y=5.89
Elapsed Time: 54.03 seconds | Position: x=-10.79, y=6.00
Elapsed Time: 54.20 seconds | Position: x=-10.85, y=6.09
Elapsed Time: 54.41 seconds | Position: x=-10.92, y=6.19
Elapsed Time: 54.70 seconds | Position: x=-10.98, y=6.28
Elapsed Time: 54.90 seconds | Position: x=-11.06, y=6.38
Elapsed Time: 55.11 seconds | Position: x=-11.12, y=6.46
Elapsed Time: 55.39 seconds | Position: x=-11.20, y=6.56
Elapsed Time: 55.91 seconds | Position: x=-11.28, y=6.67
Elapsed Time: 55.92 seconds | Position: x=-11.37, y=6.77
Elapsed Time: 56.09 seconds | Position: x=-11.45, y=6.86
Elapsed Time: 56.29 seconds | Position: x=-11.54, y=6.95
Elapsed Time: 56.60 seconds | Position: x=-11.63, y=7.05
Elapsed Time: 56.81 seconds | Position: x=-11.71, y=7.14
