Elapsed Time: 0.00 seconds | Position: x=-15.22, y=9.16
Elapsed Time: 6.07 seconds | Position: x=-15.11, y=9.22
Elapsed Time: 6.57 seconds | Position: x=-14.95, y=9.26
Elapsed Time: 6.87 seconds | Position: x=-14.80, y=9.28
Elapsed Time: 7.10 seconds | Position: x=-14.69, y=9.28
Elapsed Time: 7.36 seconds | Position: x=-14.58, y=9.27
Elapsed Time: 7.56 seconds | Position: x=-14.44, y=9.21
Elapsed Time: 8.08 seconds | Position: x=-14.32, y=9.17
Elapsed Time: 8.08 seconds | Position: x=-14.21, y=9.12
Elapsed Time: 8.27 seconds | Position: x=-14.13, y=9.05
Elapsed Time: 8.56 seconds | Position: x=-14.06, y=8.98
Elapsed Time: 8.78 seconds | Position: x=-13.98, y=8.90
Elapsed Time: 8.97 seconds | Position: x=-13.90, y=8.82
Elapsed Time: 9.27 seconds | Position: x=-13.81, y=8.73
Elapsed Time: 9.64 seconds | Position: x=-13.73, y=8.65
Elapsed Time: 10.14 seconds | Position: x=-13.64, y=8.57
Elapsed Time: 10.14 seconds | Position: x=-13.57, y=8.50
Elapsed Time: 10.21 seconds | Position: x=-13.50, y=8.43
Elapsed Time: 10.46 seconds | Position: x=-13.43, y=8.37
Elapsed Time: 10.65 seconds | Position: x=-13.35, y=8.30
Elapsed Time: 10.86 seconds | Position: x=-13.26, y=8.23
Elapsed Time: 11.16 seconds | Position: x=-13.15, y=8.16
Elapsed Time: 11.36 seconds | Position: x=-13.04, y=8.09
Elapsed Time: 11.58 seconds | Position: x=-12.93, y=8.03
Elapsed Time: 12.19 seconds | Position: x=-12.83, y=7.96
Elapsed Time: 12.19 seconds | Position: x=-12.73, y=7.89
Elapsed Time: 12.28 seconds | Position: x=-12.62, y=7.82
Elapsed Time: 12.56 seconds | Position: x=-12.53, y=7.76
Elapsed Time: 12.75 seconds | Position: x=-12.43, y=7.68
Elapsed Time: 13.09 seconds | Position: x=-12.33, y=7.61
Elapsed Time: 13.25 seconds | Position: x=-12.23, y=7.54
Elapsed Time: 13.46 seconds | Position: x=-12.15, y=7.47
Elapsed Time: 13.76 seconds | Position: x=-12.05, y=7.39
Elapsed Time: 14.29 seconds | Position: x=-11.94, y=7.31
Elapsed Time: 14.30 seconds | Position: x=-11.85, y=7.21
Elapsed Time: 14.46 seconds | Position: x=-11.77, y=7.14
Elapsed Time: 14.66 seconds | Position: x=-11.68, y=7.03
Elapsed Time: 14.89 seconds | Position: x=-11.59, y=6.93
Elapsed Time: 15.17 seconds | Position: x=-11.51, y=6.84
Elapsed Time: 15.36 seconds | Position: x=-11.42, y=6.72
Elapsed Time: 15.67 seconds | Position: x=-11.33, y=6.61
Elapsed Time: 15.85 seconds | Position: x=-11.27, y=6.54
Elapsed Time: 16.39 seconds | Position: x=-11.20, y=6.43
Elapsed Time: 16.39 seconds | Position: x=-11.15, y=6.36
Elapsed Time: 16.56 seconds | Position: x=-11.08, y=6.26
Elapsed Time: 16.78 seconds | Position: x=-11.00, y=6.15
Elapsed Time: 17.06 seconds | Position: x=-10.96, y=6.07
Elapsed Time: 17.27 seconds | Position: x=-10.89, y=6.03
Elapsed Time: 17.49 seconds | Position: x=-10.82, y=5.87
Elapsed Time: 17.76 seconds | Position: x=-10.75, y=5.81
Elapsed Time: 17.96 seconds | Position: x=-10.68, y=5.70
Elapsed Time: 18.52 seconds | Position: x=-10.63, y=5.60
Elapsed Time: 18.53 seconds | Position: x=-10.55, y=5.48
Elapsed Time: 18.66 seconds | Position: x=-10.48, y=5.40
Elapsed Time: 18.96 seconds | Position: x=-10.41, y=5.29
Elapsed Time: 19.16 seconds | Position: x=-10.33, y=5.18
Elapsed Time: 19.38 seconds | Position: x=-10.26, y=5.09
Elapsed Time: 19.66 seconds | Position: x=-10.19, y=4.99
Elapsed Time: 19.86 seconds | Position: x=-10.11, y=4.87
Elapsed Time: 20.08 seconds | Position: x=-10.02, y=4.76
Elapsed Time: 20.69 seconds | Position: x=-9.94, y=4.67
Elapsed Time: 20.69 seconds | Position: x=-9.87, y=4.58
Elapsed Time: 20.86 seconds | Position: x=-9.80, y=4.49
Elapsed Time: 21.05 seconds | Position: x=-9.73, y=4.39
Elapsed Time: 21.26 seconds | Position: x=-9.66, y=4.31
Elapsed Time: 21.55 seconds | Position: x=-9.59, y=4.22
Elapsed Time: 21.77 seconds | Position: x=-9.51, y=4.11
Elapsed Time: 21.96 seconds | Position: x=-9.44, y=4.03
Elapsed Time: 22.25 seconds | Position: x=-9.38, y=3.94
Elapsed Time: 22.83 seconds | Position: x=-9.30, y=3.84
Elapsed Time: 22.83 seconds | Position: x=-9.24, y=3.74
Elapsed Time: 22.95 seconds | Position: x=-9.18, y=3.65
Elapsed Time: 23.16 seconds | Position: x=-9.11, y=3.56
Elapsed Time: 23.47 seconds | Position: x=-9.04, y=3.46
Elapsed Time: 23.66 seconds | Position: x=-8.97, y=3.36
Elapsed Time: 23.91 seconds | Position: x=-8.91, y=3.28
Elapsed Time: 24.18 seconds | Position: x=-8.86, y=3.19
Elapsed Time: 24.36 seconds | Position: x=-8.79, y=3.11
Elapsed Time: 24.86 seconds | Position: x=-8.73, y=3.01
Elapsed Time: 24.87 seconds | Position: x=-8.66, y=2.90
Elapsed Time: 25.06 seconds | Position: x=-8.60, y=2.80
Elapsed Time: 25.27 seconds | Position: x=-8.54, y=2.70
Elapsed Time: 25.55 seconds | Position: x=-8.47, y=2.60
Elapsed Time: 25.77 seconds | Position: x=-8.40, y=2.49
Elapsed Time: 25.97 seconds | Position: x=-8.34, y=2.40
Elapsed Time: 26.27 seconds | Position: x=-8.30, y=2.32
Elapsed Time: 26.46 seconds | Position: x=-8.24, y=2.21
Elapsed Time: 27.04 seconds | Position: x=-8.17, y=2.09
Elapsed Time: 27.04 seconds | Position: x=-8.12, y=1.99
Elapsed Time: 27.16 seconds | Position: x=-8.07, y=1.91
Elapsed Time: 27.47 seconds | Position: x=-8.00, y=1.79
Elapsed Time: 27.67 seconds | Position: x=-7.93, y=1.66
Elapsed Time: 27.92 seconds | Position: x=-7.87, y=1.56
Elapsed Time: 28.17 seconds | Position: x=-7.81, y=1.45
Elapsed Time: 28.44 seconds | Position: x=-7.75, y=1.35
Elapsed Time: 28.59 seconds | Position: x=-7.68, y=1.25
Elapsed Time: 29.19 seconds | Position: x=-7.63, y=1.17
Elapsed Time: 29.20 seconds | Position: x=-7.59, y=1.09
Elapsed Time: 29.36 seconds | Position: x=-7.53, y=0.99
Elapsed Time: 29.56 seconds | Position: x=-7.46, y=0.87
Elapsed Time: 29.75 seconds | Position: x=-7.41, y=0.74
Elapsed Time: 30.06 seconds | Position: x=-7.35, y=0.62
Elapsed Time: 30.26 seconds | Position: x=-7.28, y=0.51
Elapsed Time: 30.47 seconds | Position: x=-7.22, y=0.40
Elapsed Time: 30.76 seconds | Position: x=-7.16, y=0.29
Elapsed Time: 31.28 seconds | Position: x=-7.09, y=0.18
Elapsed Time: 31.29 seconds | Position: x=-7.03, y=0.08
Elapsed Time: 31.54 seconds | Position: x=-6.97, y=-0.02
Elapsed Time: 31.74 seconds | Position: x=-6.90, y=-0.12
Elapsed Time: 31.96 seconds | Position: x=-6.84, y=-0.23
Elapsed Time: 32.16 seconds | Position: x=-6.78, y=-0.33
Elapsed Time: 32.37 seconds | Position: x=-6.71, y=-0.42
Elapsed Time: 32.71 seconds | Position: x=-6.65, y=-0.52
Elapsed Time: 32.86 seconds | Position: x=-6.57, y=-0.60
Elapsed Time: 33.37 seconds | Position: x=-6.50, y=-0.69
Elapsed Time: 33.37 seconds | Position: x=-6.42, y=-0.78
Elapsed Time: 33.56 seconds | Position: x=-6.32, y=-0.87
Elapsed Time: 33.78 seconds | Position: x=-6.23, y=-0.96
Elapsed Time: 34.06 seconds | Position: x=-6.14, y=-1.01
Elapsed Time: 34.25 seconds | Position: x=-6.04, y=-1.08
Elapsed Time: 34.48 seconds | Position: x=-5.94, y=-1.13
Elapsed Time: 34.76 seconds | Position: x=-5.84, y=-1.19
Elapsed Time: 34.98 seconds | Position: x=-5.73, y=-1.24
