Elapsed Time: 0.00 seconds | Position: x=1.07, y=5.68
Elapsed Time: 7.99 seconds | Position: x=1.12, y=5.55
Elapsed Time: 8.27 seconds | Position: x=1.15, y=5.42
Elapsed Time: 8.56 seconds | Position: x=1.18, y=5.30
Elapsed Time: 8.77 seconds | Position: x=1.19, y=5.18
Elapsed Time: 9.31 seconds | Position: x=1.20, y=5.07
Elapsed Time: 9.32 seconds | Position: x=1.20, y=4.95
Elapsed Time: 9.46 seconds | Position: x=1.21, y=4.84
Elapsed Time: 9.75 seconds | Position: x=1.22, y=4.72
Elapsed Time: 9.96 seconds | Position: x=1.23, y=4.62
Elapsed Time: 10.16 seconds | Position: x=1.24, y=4.50
Elapsed Time: 10.45 seconds | Position: x=1.25, y=4.38
Elapsed Time: 10.65 seconds | Position: x=1.25, y=4.27
Elapsed Time: 10.87 seconds | Position: x=1.25, y=4.15
Elapsed Time: 11.46 seconds | Position: x=1.27, y=4.04
Elapsed Time: 11.47 seconds | Position: x=1.27, y=3.93
Elapsed Time: 11.57 seconds | Position: x=1.28, y=3.80
Elapsed Time: 11.85 seconds | Position: x=1.29, y=3.71
Elapsed Time: 12.05 seconds | Position: x=1.30, y=3.61
Elapsed Time: 12.35 seconds | Position: x=1.29, y=3.51
Elapsed Time: 12.56 seconds | Position: x=1.28, y=3.43
Elapsed Time: 12.76 seconds | Position: x=1.26, y=3.32
Elapsed Time: 13.06 seconds | Position: x=1.24, y=3.23
Elapsed Time: 13.58 seconds | Position: x=1.21, y=3.14
Elapsed Time: 13.59 seconds | Position: x=1.16, y=3.04
Elapsed Time: 13.81 seconds | Position: x=1.12, y=2.96
Elapsed Time: 13.96 seconds | Position: x=1.11, y=2.95
Elapsed Time: 14.18 seconds | Position: x=1.05, y=2.77
Elapsed Time: 14.47 seconds | Position: x=1.00, y=2.69
Elapsed Time: 14.68 seconds | Position: x=0.94, y=2.59
Elapsed Time: 14.98 seconds | Position: x=0.89, y=2.51
Elapsed Time: 15.26 seconds | Position: x=0.88, y=2.53
Elapsed Time: 15.75 seconds | Position: x=0.79, y=2.34
Elapsed Time: 15.77 seconds | Position: x=0.78, y=2.32
Elapsed Time: 15.86 seconds | Position: x=0.73, y=2.20
Elapsed Time: 16.07 seconds | Position: x=0.71, y=2.10
Elapsed Time: 16.35 seconds | Position: x=0.68, y=2.01
Elapsed Time: 16.55 seconds | Position: x=0.52, y=1.77
