# robot.pose.x robot.pose.y 
-3.67936 -0.407995 
-3.54316 -0.478427 
-3.53004 -0.451315 
-3.51889 -0.45874 
-3.5331 -0.472373 
-3.53404 -0.486491 
-3.5395 -0.495381 
-3.54103 -0.496089 
-3.54625 -0.494535 
-3.5351 -0.475499 
-3.5354 -0.482153 
-3.54018 -0.488158 
-3.52277 -0.470543 
-3.54833 -0.496204 
-3.5481 -0.496938 
-3.53574 -0.480737 
-3.54048 -0.473685 
-3.54397 -0.493801 
-3.53699 -0.478164 
-3.539 -0.488588 
-3.55035 -0.499544 
-3.53911 -0.483585 
-3.53913 -0.483646 
-3.53193 -0.471666 
-3.54166 -0.484881 
-3.55103 -0.489509 
-3.54758 -0.493263 
-3.54867 -0.490519 
-3.5487 -0.490527 
-3.53512 -0.489997 
-3.5481 -0.491434 
-3.54757 -0.496918 
-3.54474 -0.48975 
-3.5447 -0.489643 
-3.53809 -0.475596 
-3.54493 -0.499424 
-3.5359 -0.475917 
-3.54206 -0.48717 
-3.54203 -0.487119 
-3.54883 -0.495382 
-3.54593 -0.494464 
-3.54252 -0.4848 
-3.52595 -0.469233 
-3.52603 -0.469343 
-3.53998 -0.477298 
-3.53484 -0.462508 
-3.5383 -0.48096 
-3.53247 -0.485126 
-3.54039 -0.486845 
-3.54295 -0.488121 
-3.54275 -0.487896 
-3.54705 -0.501862 
-3.53864 -0.48614 
-3.54422 -0.485537 
-3.5554 -0.50019 
-3.52279 -0.481999 
-3.52271 -0.482002 
-3.53846 -0.485845 
-3.53434 -0.484935 
-3.54626 -0.493584 
-3.54009 -0.477963 
-3.53959 -0.476075 
-3.54788 -0.483619 
-3.54773 -0.49029 
-3.54772 -0.490251 
-3.54285 -0.475934 
-3.5484 -0.493441 
-3.53406 -0.469117 
-3.54442 -0.486626 
-3.52632 -0.475237 
-3.5465 -0.492583 
-3.53629 -0.500088 
-3.5334 -0.493331 
-3.53323 -0.493291 
-3.52797 -0.461174 
-3.54096 -0.497554 
-3.52929 -0.481145 
-3.55323 -0.502247 
-3.54181 -0.477822 
-3.54859 -0.500211 
-3.55338 -0.496662 
-3.5424 -0.489291 
-3.53886 -0.469932 
-3.55175 -0.495794 
