# robot.pose.x robot.pose.y 
-3.6685 -0.327059 
-3.47306 -0.444134 
-3.46836 -0.421041 
-3.47379 -0.43856 
-3.47537 -0.461547 
-3.47378 -0.457077 
-3.47047 -0.426113 
-3.47747 -0.453835 
-3.47469 -0.445257 
-3.47444 -0.44586 
-3.47912 -0.444109 
-3.4809 -0.437225 
-3.47458 -0.440257 
-3.46557 -0.435322 
-3.46618 -0.437934 
-3.47242 -0.442978 
-3.47231 -0.44287 
-3.47282 -0.456322 
-3.47331 -0.437284 
-3.47021 -0.422945 
-3.46633 -0.428246 
-3.46574 -0.442347 
-3.46584 -0.442438 
-3.48365 -0.452769 
-3.47401 -0.430379 
-3.48065 -0.419019 
-3.47565 -0.439132 
-3.47009 -0.453324 
-3.4698 -0.454014 
-3.47583 -0.432971 
-3.47421 -0.445907 
-3.47617 -0.449261 
-3.46801 -0.430463 
-3.46999 -0.432074 
-3.47301 -0.441788 
-3.47297 -0.441806 
-3.47086 -0.439221 
-3.4752 -0.435498 
-3.46424 -0.424285 
-3.46778 -0.424139 
-3.47125 -0.443177 
-3.46796 -0.440931 
-3.46813 -0.440994 
-3.47178 -0.439743 
-3.46569 -0.423167 
-3.47013 -0.42826 
-3.4714 -0.43021 
-3.47102 -0.434528 
-3.47059 -0.43837 
-3.47064 -0.438451 
-3.47574 -0.437971 
-3.47808 -0.443777 
-3.47158 -0.435511 
-3.47772 -0.425106 
-3.47301 -0.421157 
-3.47309 -0.421099 
-3.47217 -0.42914 
-3.48156 -0.442367 
-3.47214 -0.441656 
-3.47665 -0.430201 
-3.46636 -0.435271 
-3.4664 -0.435322 
-3.46711 -0.4369 
-3.47779 -0.450235 
-3.47685 -0.435397 
-3.47593 -0.435824 
-3.475 -0.435007 
-3.49038 -0.454547 
-3.47095 -0.434201 
-3.47104 -0.43428 
-3.47772 -0.425239 
-3.47325 -0.430954 
-3.46586 -0.425616 
-3.47237 -0.429042 
-3.46157 -0.406521 
-3.46179 -0.408544 
-3.46189 -0.408514 
-3.48404 -0.429746 
-3.48445 -0.426918 
-3.47416 -0.42493 
-3.47418 -0.432695 
-3.49261 -0.43649 
-3.47911 -0.440353 
-3.46865 -0.414367 
-3.49013 -0.449641 
-3.47682 -0.44121 
-3.47839 -0.420819 
-3.47839 -0.420686 
-3.48011 -0.44323 
-3.48544 -0.45059 
-3.47766 -0.428235 
-3.46642 -0.417236 
-3.47304 -0.433245 
-3.47311 -0.433182 
-3.47647 -0.433073 
-3.47374 -0.419337 
-3.47762 -0.437767 
-3.47841 -0.434944 
-3.48367 -0.425724 
-3.48467 -0.431471 
-3.48465 -0.431394 
-3.47107 -0.41639 
-3.49162 -0.440182 
-3.47082 -0.425926 
-3.47264 -0.413762 
-3.46951 -0.421013 
-3.4666 -0.402993 
-3.47021 -0.408415 
-3.47066 -0.433934 
-3.48662 -0.440015 
-3.47326 -0.427379 
-3.47209 -0.428024 
-3.47646 -0.434063 
-3.46909 -0.436035 
-3.46917 -0.436075 
-3.47258 -0.436807 
-3.47566 -0.422297 
-3.48076 -0.44253 
-3.47321 -0.434887 
-3.45381 -0.418526 
-3.46973 -0.437972 
-3.47384 -0.426265 
-3.46368 -0.416531 
-3.47737 -0.428888 
-3.47559 -0.418126 
-3.48522 -0.447375 
-3.48963 -0.451601 
-3.46793 -0.416086 
-3.47796 -0.426373 
-3.47346 -0.43649 
-3.47583 -0.423728 
-3.47584 -0.42365 
-3.4684 -0.433846 
-3.47133 -0.416504 
-3.46671 -0.414673 
-3.47011 -0.424812 
-3.47732 -0.429883 
-3.47958 -0.447402 
-3.47243 -0.4405 
-3.47552 -0.422209 
-3.47992 -0.425323 
-3.47547 -0.422846 
-3.48893 -0.439383 
-3.49909 -0.438229 
-3.4992 -0.43828 
-3.47112 -0.441092 
-3.48265 -0.451116 
-3.46993 -0.42036 
-3.47909 -0.43535 
-3.46976 -0.433435 
-3.47837 -0.439308 
-3.47837 -0.439317 
-3.47544 -0.433891 
-3.46854 -0.412837 
-3.47173 -0.432021 
-3.46876 -0.431178 
-3.47952 -0.4225 
-3.47955 -0.422478 
-3.47693 -0.427748 
-3.46356 -0.400809 
-3.47325 -0.414229 
-3.47962 -0.418996 
-3.47239 -0.426524 
-3.46194 -0.416805 
-3.46285 -0.417353 
-3.47123 -0.41804 
-3.4779 -0.437439 
-3.49162 -0.42453 
-3.48168 -0.438216 
-3.48169 -0.43822 
-3.48465 -0.439906 
-3.48384 -0.429514 
-3.47197 -0.433273 
-3.46648 -0.40892 
-3.48123 -0.433726 
-3.48144 -0.439988 
-3.48145 -0.44002 
-3.47494 -0.416922 
-3.4763 -0.433739 
-3.4793 -0.439548 
-3.47876 -0.419483 
-3.48758 -0.453892 
-3.4741 -0.429406 
-3.47333 -0.42924 
-3.47601 -0.43134 
-3.48323 -0.452885 
-3.47852 -0.42759 
-3.47001 -0.428739 
-3.47 -0.428724 
-3.48822 -0.440136 
-3.48733 -0.445632 
-3.47669 -0.426281 
-3.46657 -0.412346 
-3.47828 -0.424487 
-3.47401 -0.413828 
-3.47504 -0.413735 
-3.47852 -0.450049 
-3.48063 -0.427916 
-3.47849 -0.439017 
-3.48099 -0.441428 
-3.47401 -0.399595 
-3.47341 -0.399394 
-3.4677 -0.38421 
-3.43565 -0.352739 
-3.42917 -0.321893 
-3.38811 -0.29842 
-3.3668 -0.286128 
-3.35798 -0.253457 
-3.32042 -0.225393 
-3.28918 -0.200556 
-3.21187 -0.16972 
-3.16821 -0.140428 
