# robot.pose.x robot.pose.y 
-3.64368 -0.4651 
-3.45778 -0.487481 
-3.46338 -0.436828 
-3.47157 -0.484099 
-3.47698 -0.44885 
-3.46478 -0.47782 
-3.46571 -0.47586 
-3.45881 -0.470722 
-3.45881 -0.470722 
-3.4681 -0.475837 
-3.45531 -0.474038 
-3.46762 -0.454827 
-3.45949 -0.478963 
-3.45968 -0.477204 
-3.46703 -0.483031 
-3.46703 -0.483031 
-3.45423 -0.45874 
-3.46912 -0.481922 
-3.46141 -0.475455 
-3.45974 -0.47528 
-3.4605 -0.482722 
-3.45972 -0.468739 
-3.46153 -0.445718 
-3.4541 -0.476625 
-3.46127 -0.475411 
-3.46607 -0.476959 
-3.45825 -0.47587 
-3.46591 -0.44511 
-3.46591 -0.44511 
-3.4572 -0.477522 
-3.45186 -0.480486 
-3.44885 -0.483241 
-3.45674 -0.458256 
-3.45808 -0.478929 
-3.45808 -0.478929 
-3.46773 -0.476301 
-3.47004 -0.458415 
-3.46213 -0.483131 
-3.45993 -0.478684 
-3.45881 -0.482832 
-3.45608 -0.507534 
-3.45608 -0.507534 
-3.45203 -0.480463 
-3.46821 -0.480624 
-3.46381 -0.47434 
-3.4656 -0.474094 
-3.46206 -0.476953 
-3.45762 -0.480802 
-3.4602 -0.479487 
-3.464 -0.480568 
-3.4709 -0.48169 
-3.47708 -0.478977 
-3.45073 -0.427791 
-3.46354 -0.477248 
-3.46354 -0.477248 
-3.47069 -0.506993 
-3.45017 -0.511434 
-3.47492 -0.478218 
-3.46757 -0.482796 
-3.45835 -0.4797 
-3.45835 -0.4797 
-3.45838 -0.477029 
-3.46866 -0.479028 
-3.46079 -0.483617 
-3.45447 -0.477553 
-3.46172 -0.482424 
-3.45754 -0.478092 
-3.46658 -0.478204 
-3.47092 -0.477583 
-3.45592 -0.477034 
-3.46274 -0.478757 
-3.46711 -0.480307 
-3.46083 -0.47797 
-3.46807 -0.481159 
-3.46807 -0.481159 
-3.45999 -0.457469 
-3.47076 -0.476174 
-3.45943 -0.478209 
-3.46023 -0.482166 
-3.46382 -0.48261 
-3.46608 -0.477159 
-3.46608 -0.477159 
-3.45914 -0.474616 
-3.46591 -0.478613 
-3.46775 -0.454359 
-3.46268 -0.471317 
-3.46257 -0.47986 
-3.46257 -0.47986 
-3.46806 -0.481032 
-3.45998 -0.481498 
-3.46081 -0.473865 
-3.47261 -0.475063 
-3.45813 -0.475904 
-3.45577 -0.476045 
-3.4559 -0.47595 
-3.46657 -0.480821 
-3.44901 -0.451974 
-3.46359 -0.452958 
-3.46158 -0.478868 
-3.46372 -0.449353 
-3.46372 -0.449353 
-3.45736 -0.478968 
-3.47626 -0.461939 
-3.46297 -0.478867 
-3.48045 -0.483232 
-3.47335 -0.473579 
-3.4759 -0.485845 
-3.4759 -0.485845 
-3.46157 -0.478907 
-3.47423 -0.47592 
-3.45702 -0.477774 
-3.45854 -0.452223 
-3.45774 -0.45777 
-3.45774 -0.45777 
-3.45818 -0.475719 
-3.46027 -0.482639 
-3.472 -0.497146 
-3.46126 -0.484203 
-3.45748 -0.484098 
-3.45843 -0.472486 
-3.45843 -0.472486 
-3.45944 -0.483348 
-3.46407 -0.475767 
-3.4701 -0.473847 
-3.45629 -0.479849 
-3.4608 -0.486163 
-3.4608 -0.486163 
-3.4611 -0.479639 
-3.45847 -0.480802 
-3.46423 -0.455812 
-3.46383 -0.48489 
-3.45662 -0.478905 
-3.47306 -0.473672 
-3.47306 -0.473672 
-3.4648 -0.477432 
-3.45414 -0.481522 
-3.47101 -0.475348 
-3.46105 -0.479475 
-3.47089 -0.479793 
-3.47089 -0.479793 
-3.46824 -0.482843 
-3.45377 -0.479726 
-3.47499 -0.478703 
-3.46413 -0.480344 
-3.48622 -0.481703 
-3.48622 -0.481703 
-3.44964 -0.485742 
-3.47324 -0.481096 
-3.46531 -0.482291 
-3.4595 -0.479231 
-3.46245 -0.457952 
-3.45228 -0.477379 
-3.45228 -0.477379 
-3.46418 -0.476335 
-3.4532 -0.479637 
-3.47048 -0.446528 
-3.46701 -0.46877 
-3.45363 -0.477644 
-3.45363 -0.477644 
-3.45511 -0.455489 
-3.46523 -0.480371 
-3.45333 -0.484192 
-3.45972 -0.478309 
-3.45853 -0.478911 
-3.46077 -0.469316 
-3.46077 -0.469316 
-3.4644 -0.452847 
-3.45443 -0.438584 
-3.46005 -0.420658 
-3.46597 -0.392672 
-3.46864 -0.357003 
-3.46672 -0.318897 
-3.46672 -0.318897 
-3.48944 -0.266948 
-3.49258 -0.204362 
-3.54602 -0.16567 
-3.57865 -0.135782 
-3.62187 -0.0897907 
-3.62493 -0.0916203 
-3.64345 -0.0274484 
-3.69942 0.00767173 
-3.68283 0.0459607 
-3.72317 0.100825 
-3.86905 0.0988509 
-3.82666 0.238332 
-3.84074 0.253411 
-3.90109 0.233881 
-4.01922 0.310254 
-4.1086 0.275944 
-4.16193 0.347039 
-4.22611 0.312859 
-4.22611 0.312859 
-4.29145 0.348337 
-4.32622 0.398231 
-4.36903 0.434984 
-4.47551 0.505136 
-4.51438 0.476002 
-4.57115 0.482046 
-4.58127 0.466448 
-4.59728 0.558308 
-4.63401 0.576618 
-4.75176 0.587374 
-4.77919 0.646314 
-4.76379 0.602307 
-4.88079 0.602115 
-4.87918 0.621906 
-4.92274 0.655321 
-5.01906 0.706457 
-5.03287 0.73328 
-5.04474 0.808423 
-5.19105 0.759567 
-5.25629 0.822907 
-5.25629 0.822907 
-5.2688 0.86666 
-5.34661 0.846623 
-5.51534 0.834798 
-5.44776 0.877706 
-5.47566 0.91469 
-5.62326 0.965953 
-5.6165 0.977398 
-5.65739 0.990516 
-5.75577 1.02705 
-5.80882 1.06361 
-5.87893 1.10837 
-5.82329 1.05308 
-5.97103 1.14494 
-6.02984 1.16948 
-6.14008 1.21607 
-6.07508 1.23268 
-6.18468 1.35903 
-6.1985 1.35673 
-6.14231 1.35978 
-6.24799 1.32046 
-6.27675 1.29476 
-6.33879 1.29887 
-6.44932 1.28271 
-6.43596 1.27925 
-6.43596 1.27925 
-6.52787 1.33357 
-6.52163 1.35103 
-6.58131 1.46598 
-6.70514 1.39863 
-6.78678 1.57874 
-6.69016 1.65467 
-6.7339 1.64191 
-6.81413 1.65749 
-6.88746 1.67484 
-6.9759 1.68376 
-7.03914 1.68871 
-7.18201 1.66412 
-7.29647 1.66286 
-7.28831 1.67533 
-7.37515 1.66883 
-7.42943 1.67238 
