# robot.pose.x robot.pose.y 
-3.52717 -0.32784 
-3.45595 -0.498229 
-3.44103 -0.484532 
-3.45167 -0.505706 
-3.4464 -0.483433 
-3.44187 -0.498775 
-3.44187 -0.498775 
-3.45515 -0.498924 
-3.44884 -0.506683 
-3.44937 -0.503339 
-3.44131 -0.502365 
-3.45182 -0.497227 
-3.43962 -0.497708 
-3.44653 -0.480876 
-3.44653 -0.480876 
-3.44125 -0.482333 
-3.45435 -0.50423 
-3.44964 -0.478164 
-3.44071 -0.500271 
-3.45541 -0.502525 
-3.45541 -0.502525 
-3.43464 -0.500448 
-3.44175 -0.500274 
-3.4483 -0.494476 
-3.44282 -0.492605 
-3.44284 -0.501695 
-3.44284 -0.501695 
-3.43981 -0.494608 
-3.44537 -0.49879 
-3.43757 -0.496735 
-3.44332 -0.503214 
-3.44755 -0.493115 
-3.45412 -0.500844 
-3.45412 -0.500844 
-3.43635 -0.499657 
-3.44242 -0.501319 
-3.42802 -0.501952 
-3.44271 -0.507899 
-3.44618 -0.499252 
-3.44792 -0.506874 
-3.44792 -0.506874 
-3.44447 -0.506375 
-3.44465 -0.493495 
-3.42982 -0.490326 
-3.44577 -0.50032 
-3.43594 -0.497079 
-3.45318 -0.495611 
-3.45318 -0.495611 
-3.44214 -0.499588 
-3.45048 -0.501983 
-3.45449 -0.499827 
-3.43765 -0.497528 
-3.43765 -0.497528 
-3.42419 -0.494472 
-3.45189 -0.501064 
-3.4375 -0.499292 
-3.45418 -0.483481 
-3.43181 -0.502957 
-3.45022 -0.4963 
-3.44078 -0.504917 
-3.44078 -0.504917 
-3.4515 -0.495662 
-3.44765 -0.504585 
-3.45892 -0.507102 
-3.43845 -0.504316 
-3.43859 -0.502825 
-3.43859 -0.502825 
-3.44531 -0.503311 
-3.44507 -0.497319 
-3.44605 -0.500622 
-3.45716 -0.508359 
-3.45326 -0.507352 
-3.45326 -0.507352 
-3.4392 -0.495898 
-3.44785 -0.500566 
-3.44357 -0.504454 
-3.45884 -0.508193 
-3.46036 -0.502126 
-3.44676 -0.503581 
-3.44676 -0.503581 
-3.44517 -0.501835 
-3.44218 -0.504697 
-3.43017 -0.498253 
-3.43823 -0.498001 
-3.44524 -0.506297 
-3.4493 -0.496697 
-3.4493 -0.496697 
-3.44529 -0.503712 
-3.44874 -0.500139 
-3.45404 -0.481797 
-3.44057 -0.501518 
