# robot.pose.x robot.pose.y 
-3.5652 -0.405119 
-3.49783 -0.474369 
-3.46344 -0.481638 
-3.45857 -0.480791 
-3.46327 -0.478113 
-3.46327 -0.478113 
-3.46536 -0.475014 
-3.46051 -0.456923 
-3.46624 -0.483608 
-3.47336 -0.453966 
-3.47096 -0.477496 
-3.45667 -0.483961 
-3.45667 -0.483961 
-3.46499 -0.483181 
-3.47267 -0.478371 
-3.4627 -0.485702 
-3.46537 -0.458234 
-3.47885 -0.483614 
-3.45835 -0.478688 
-3.46514 -0.477233 
-3.46514 -0.477233 
-3.47113 -0.471989 
-3.45768 -0.483856 
-3.4741 -0.483307 
-3.46148 -0.483001 
-3.46481 -0.474931 
-3.46481 -0.474931 
-3.45949 -0.478227 
-3.46133 -0.455212 
-3.46853 -0.475523 
-3.46893 -0.47571 
-3.45117 -0.485196 
-3.46554 -0.480277 
-3.46554 -0.480277 
-3.46475 -0.478652 
-3.4479 -0.485852 
-3.45587 -0.475925 
-3.46066 -0.45736 
-3.47008 -0.475261 
-3.47008 -0.475261 
-3.45626 -0.480027 
-3.44349 -0.4861 
-3.46125 -0.486305 
-3.46438 -0.480488 
-3.45699 -0.484009 
-3.46514 -0.481765 
-3.46514 -0.481765 
-3.45687 -0.4806 
-3.46696 -0.473261 
-3.45857 -0.480151 
-3.45819 -0.468445 
-3.47844 -0.479234 
-3.47844 -0.479234 
-3.4651 -0.485465 
-3.4522 -0.483473 
-3.4577 -0.481836 
-3.47034 -0.482489 
-3.46096 -0.484288 
-3.45825 -0.482782 
-3.45825 -0.482782 
-3.46277 -0.481965 
-3.48821 -0.482691 
-3.45433 -0.456506 
-3.45926 -0.479366 
-3.45926 -0.479366 
-3.44154 -0.480954 
-3.46743 -0.482556 
-3.46698 -0.479893 
-3.45205 -0.48271 
-3.46075 -0.479782 
-3.47236 -0.480959 
-3.47236 -0.480959 
-3.45854 -0.484106 
-3.45835 -0.481651 
-3.45759 -0.48061 
-3.46287 -0.482927 
-3.46762 -0.483626 
-3.46659 -0.477566 
-3.46659 -0.477566 
-3.45157 -0.488379 
-3.47844 -0.473925 
-3.46248 -0.481681 
-3.46395 -0.479235 
-3.45429 -0.481186 
-3.45611 -0.478529 
-3.46891 -0.480756 
-3.45474 -0.479511 
-3.45949 -0.478594 
-3.44527 -0.481126 
-3.45894 -0.477097 
-3.47942 -0.482306 
-3.47942 -0.482306 
-3.4613 -0.476094 
-3.46225 -0.48096 
-3.47787 -0.475278 
-3.45623 -0.476805 
-3.45349 -0.479537 
-3.46464 -0.475737 
-3.46464 -0.475737 
-3.46691 -0.47542 
-3.46123 -0.47994 
-3.42558 -0.48663 
-3.46173 -0.456681 
-3.4653 -0.474608 
-3.4653 -0.474608 
-3.46301 -0.473918 
-3.46167 -0.475556 
-3.46662 -0.48243 
-3.49199 -0.484429 
-3.46745 -0.481317 
-3.46506 -0.477038 
-3.46506 -0.477038 
-3.46144 -0.478413 
-3.46284 -0.479106 
-3.47293 -0.456848 
-3.45702 -0.485168 
-3.46774 -0.483273 
-3.4499 -0.480568 
-3.4499 -0.480568 
-3.45933 -0.482857 
-3.47119 -0.474157 
-3.46199 -0.482421 
