# robot.pose.x robot.pose.y 
-3.72566 -0.356493 
-3.50582 -0.447474 
-3.49017 -0.436728 
-3.49761 -0.438584 
-3.49446 -0.441926 
-3.50992 -0.446349 
-3.50546 -0.43601 
-3.49879 -0.436124 
-3.5034 -0.438143 
-3.51131 -0.446476 
-3.51011 -0.442696 
-3.5084 -0.454277 
-3.51192 -0.453618 
-3.50977 -0.45091 
-3.51254 -0.448244 
-3.51281 -0.448347 
-3.50617 -0.436034 
-3.50685 -0.440012 
-3.52284 -0.462499 
-3.49257 -0.462344 
-3.50961 -0.459737 
-3.50987 -0.460246 
-3.50501 -0.446673 
-3.51416 -0.448294 
-3.51241 -0.451897 
-3.52129 -0.462288 
-3.52712 -0.450054 
-3.5254 -0.452803 
-3.50334 -0.442611 
-3.52087 -0.459209 
-3.51146 -0.444058 
-3.51161 -0.444144 
-3.5182 -0.465035 
-3.5079 -0.441968 
-3.50802 -0.442052 
-3.50791 -0.448652 
-3.49661 -0.44275 
-3.50641 -0.44207 
-3.51117 -0.453803 
-3.50781 -0.444565 
-3.50783 -0.444681 
-3.51186 -0.446865 
-3.51505 -0.452674 
-3.52212 -0.454075 
-3.49898 -0.441167 
-3.50089 -0.448886 
-3.50683 -0.449806 
-3.49619 -0.438041 
-3.52153 -0.456046 
-3.52166 -0.456095 
-3.52124 -0.453146 
-3.5342 -0.451805 
-3.53196 -0.459532 
-3.49813 -0.442848 
-3.5116 -0.45788 
-3.5072 -0.447609 
-3.5085 -0.447612 
-3.52393 -0.452899 
-3.49539 -0.431663 
-3.51082 -0.454809 
-3.51078 -0.45489 
-3.51222 -0.44778 
-3.51195 -0.446306 
-3.50614 -0.447513 
-3.5196 -0.456902 
-3.52105 -0.456376 
-3.52101 -0.456401 
-3.52346 -0.461962 
-3.53205 -0.462162 
-3.51566 -0.451595 
-3.52764 -0.468761 
-3.51183 -0.442632 
-3.51196 -0.447844 
-3.51202 -0.447963 
-3.50865 -0.45703 
-3.51865 -0.451969 
-3.5203 -0.455822 
-3.51468 -0.453863 
-3.5225 -0.461208 
-3.5366 -0.459322 
-3.51793 -0.453508 
-3.51544 -0.454243 
-3.51021 -0.45077 
-3.52331 -0.459565 
-3.52747 -0.461389 
-3.51588 -0.449308 
-3.51587 -0.449328 
-3.5165 -0.452299 
-3.52228 -0.448953 
-3.51181 -0.448854 
-3.52269 -0.456535 
-3.52155 -0.455038 
-3.52154 -0.455063 
-3.51715 -0.458361 
-3.51398 -0.455745 
-3.51512 -0.443308 
-3.50176 -0.437322 
-3.51294 -0.454099 
-3.52319 -0.466966 
-3.52325 -0.467003 
-3.5177 -0.468597 
-3.51226 -0.459409 
