# robot.pose.x robot.pose.y 
-3.54251 -0.356557 
-3.47946 -0.469014 
-3.47946 -0.469014 
-3.48571 -0.466892 
-3.48104 -0.468098 
-3.48438 -0.461949 
-3.48438 -0.461949 
-3.47058 -0.463341 
-3.47518 -0.470878 
-3.48007 -0.46558 
-3.48913 -0.463776 
-3.48977 -0.465817 
-3.48547 -0.468025 
-3.48547 -0.468025 
-3.46083 -0.475143 
-3.48089 -0.447885 
-3.46837 -0.471824 
-3.47968 -0.468159 
-3.48092 -0.464842 
-3.48092 -0.464842 
-3.46452 -0.469687 
-3.46377 -0.46908 
-3.48174 -0.462548 
-3.46154 -0.468983 
-3.49435 -0.466876 
-3.48522 -0.466769 
-3.48522 -0.466769 
-3.48063 -0.44522 
-3.48456 -0.470393 
-3.4868 -0.464317 
-3.48188 -0.468617 
-3.47985 -0.469273 
-3.48636 -0.467993 
-3.48636 -0.467993 
-3.46459 -0.468416 
-3.4867 -0.465254 
-3.47145 -0.468316 
-3.48828 -0.445799 
-3.46713 -0.475113 
-3.46713 -0.475113 
-3.48276 -0.468818 
-3.47894 -0.467756 
-3.47496 -0.472453 
-3.48312 -0.472164 
-3.46813 -0.467115 
-3.47395 -0.472744 
-3.47395 -0.472744 
-3.48327 -0.463831 
-3.48321 -0.463907 
-3.47333 -0.471268 
-3.47793 -0.471474 
-3.49406 -0.465527 
-3.49406 -0.465527 
-3.48018 -0.474537 
-3.48495 -0.468742 
-3.47731 -0.462602 
-3.49295 -0.466572 
-3.48095 -0.472158 
-3.4807 -0.461042 
-3.4807 -0.461042 
-3.48656 -0.465492 
-3.48181 -0.467929 
-3.48596 -0.465265 
-3.45914 -0.464997 
-3.47237 -0.467458 
-3.49047 -0.470736 
-3.49047 -0.470736 
-3.48155 -0.473359 
-3.48551 -0.465425 
-3.48027 -0.473834 
-3.47586 -0.463179 
-3.47203 -0.473235 
-3.47203 -0.473235 
-3.47079 -0.469712 
-3.47851 -0.47281 
-3.48567 -0.464492 
-3.4835 -0.473867 
-3.49003 -0.471067 
-3.49003 -0.471067 
-3.48541 -0.467668 
-3.47489 -0.473123 
-3.48234 -0.467678 
-3.48046 -0.468258 
-3.48593 -0.464565 
-3.48593 -0.464565 
-3.49019 -0.463246 
-3.47319 -0.476105 
-3.48822 -0.470286 
-3.48124 -0.472783 
-3.48117 -0.463866 
-3.49069 -0.467158 
-3.49069 -0.467158 
-3.48385 -0.469649 
-3.48645 -0.472786 
-3.47764 -0.474632 
