# robot.pose.x robot.pose.y 
-3.50462 -0.334087 
-3.44635 -0.489864 
-3.46455 -0.497866 
-3.44513 -0.499605 
-3.46245 -0.518123 
-3.46507 -0.499681 
-3.47091 -0.506209 
-3.47073 -0.506175 
-3.4753 -0.514066 
-3.47079 -0.499799 
-3.46938 -0.509775 
-3.47396 -0.509006 
-3.45861 -0.494766 
-3.46431 -0.47976 
-3.46399 -0.48123 
-3.46599 -0.494828 
-3.47724 -0.496576 
-3.47685 -0.51969 
-3.46741 -0.515937 
-3.47783 -0.514316 
-3.47443 -0.513511 
-3.47443 -0.513511 
-3.46669 -0.491945 
-3.47585 -0.509534 
-3.46606 -0.50777 
-3.47757 -0.50971 
-3.47757 -0.50971 
-3.49009 -0.493828 
-3.46978 -0.495039 
-3.46599 -0.503821 
-3.46744 -0.499499 
-3.47552 -0.48947 
-3.47139 -0.499227 
-3.47348 -0.496544 
-3.47348 -0.496544 
-3.47256 -0.507353 
-3.47049 -0.502052 
-3.46998 -0.512671 
-3.46463 -0.492947 
-3.46512 -0.498289 
-3.4633 -0.490491 
-3.46846 -0.485979 
-3.47403 -0.507466 
-3.46516 -0.506205 
-3.47355 -0.491065 
-3.47355 -0.491065 
-3.4652 -0.491731 
-3.48288 -0.509325 
-3.47176 -0.517548 
-3.46249 -0.500717 
-3.47127 -0.514017 
-3.46997 -0.495909 
-3.46997 -0.495909 
-3.47193 -0.493212 
-3.46951 -0.485057 
-3.47211 -0.492172 
-3.47406 -0.50604 
-3.47816 -0.51347 
-3.46626 -0.500597 
-3.47714 -0.507805 
-3.47486 -0.503464 
-3.47058 -0.507783 
-3.46792 -0.477218 
-3.46792 -0.477218 
-3.47328 -0.491287 
-3.47554 -0.505769 
-3.46296 -0.506138 
-3.46618 -0.504759 
-3.46762 -0.503745 
-3.4727 -0.497534 
-3.46153 -0.485386 
-3.46153 -0.485386 
-3.47789 -0.510248 
-3.46836 -0.499308 
-3.46905 -0.506978 
-3.46726 -0.494622 
-3.46726 -0.494622 
-3.47894 -0.522686 
-3.47113 -0.485801 
-3.47043 -0.501992 
-3.47507 -0.521137 
-3.4747 -0.510987 
-3.4864 -0.502664 
-3.48851 -0.506202 
-3.46896 -0.506969 
-3.46475 -0.505515 
-3.4781 -0.509484 
-3.47052 -0.506993 
-3.4702 -0.50086 
-3.4702 -0.50086 
-3.48104 -0.505849 
-3.46151 -0.506991 
-3.46805 -0.49313 
-3.46935 -0.513464 
-3.46101 -0.499426 
-3.4702 -0.5027 
-3.47128 -0.50762 
-3.46282 -0.507367 
-3.47067 -0.516276 
-3.47101 -0.507496 
-3.47101 -0.507496 
-3.46984 -0.504893 
-3.47471 -0.502379 
-3.46763 -0.49725 
-3.4624 -0.506882 
-3.46407 -0.508674 
-3.47846 -0.510816 
-3.47402 -0.486066 
-3.47402 -0.486066 
-3.47643 -0.493848 
-3.47269 -0.506825 
-3.46741 -0.49057 
-3.47306 -0.49031 
-3.46222 -0.501488 
-3.46576 -0.501265 
-3.47006 -0.494193 
-3.45847 -0.491705 
-3.45847 -0.491705 
-3.47293 -0.514465 
-3.48304 -0.504661 
-3.47107 -0.489647 
-3.47375 -0.507593 
-3.47375 -0.507593 
-3.45958 -0.495786 
-3.47693 -0.506807 
-3.46937 -0.505799 
-3.47979 -0.52158 
-3.46232 -0.501457 
-3.46232 -0.501457 
-3.47144 -0.504161 
-3.46458 -0.505117 
-3.46005 -0.495465 
-3.48623 -0.514371 
-3.46926 -0.502273 
-3.46849 -0.513255 
-3.46271 -0.501287 
-3.45966 -0.492122 
-3.4688 -0.496996 
-3.47173 -0.499479 
-3.46613 -0.498034 
-3.46735 -0.499423 
-3.46735 -0.499423 
-3.46959 -0.497374 
-3.45881 -0.500505 
-3.47316 -0.505133 
-3.4696 -0.50763 
-3.45856 -0.500578 
-3.45856 -0.500578 
-3.46931 -0.504521 
-3.46722 -0.507623 
-3.46156 -0.501957 
-3.46905 -0.483412 
-3.46325 -0.486043 
-3.4696 -0.483427 
-3.4696 -0.483427 
-3.47307 -0.494841 
-3.47543 -0.521667 
-3.46956 -0.504838 
-3.47954 -0.5097 
-3.48103 -0.503829 
-3.47069 -0.491578 
-3.47069 -0.491578 
-3.47164 -0.486628 
-3.47768 -0.498896 
-3.47073 -0.489922 
-3.47636 -0.489308 
-3.47405 -0.519351 
-3.47405 -0.519351 
-3.46628 -0.503713 
-3.46502 -0.505182 
-3.47504 -0.502799 
-3.46728 -0.507203 
-3.47975 -0.505203 
-3.46937 -0.502332 
-3.47161 -0.510274 
-3.46394 -0.504539 
-3.464 -0.484871 
-3.4685 -0.506076 
-3.46887 -0.494948 
-3.47107 -0.491027 
-3.47511 -0.508857 
-3.47724 -0.509501 
-3.47724 -0.509501 
-3.47397 -0.500394 
-3.46962 -0.511745 
-3.47003 -0.50669 
-3.47178 -0.498238 
-3.47168 -0.499277 
-3.47463 -0.506983 
-3.46736 -0.50622 
-3.47905 -0.517722 
-3.46577 -0.504741 
-3.47141 -0.504575 
-3.45938 -0.507202 
-3.45938 -0.507202 
-3.45881 -0.499356 
-3.46939 -0.485527 
-3.46614 -0.503747 
-3.46614 -0.503747 
-3.46103 -0.490086 
-3.47012 -0.497041 
-3.47316 -0.512044 
-3.46291 -0.502705 
-3.46497 -0.500323 
-3.46351 -0.495795 
-3.46443 -0.477044 
-3.47384 -0.483156 
-3.47411 -0.456898 
-3.46763 -0.408045 
-3.46831 -0.370816 
-3.48773 -0.338467 
-3.48786 -0.34525 
-3.50024 -0.285106 
-3.52552 -0.245602 
-3.5704 -0.187977 
-3.60024 -0.115488 
-3.6576 -0.102674 
-3.68908 -0.0572365 
-3.68908 -0.0572365 
-3.74396 -0.0248871 
-3.80958 0.000475494 
-3.84178 0.0241484 
-3.92967 0.0227357 
-3.96981 0.0702464 
-3.96981 0.0702464 
-4.05377 0.0536762 
-4.05801 0.143495 
-4.13139 0.140329 
-4.20861 0.153 
-4.23298 0.202935 
-4.29309 0.219489 
-4.29309 0.219489 
-4.37792 0.229846 
-4.4409 0.239907 
-4.48184 0.284549 
-4.52778 0.314889 
-4.55894 0.361849 
-4.55894 0.361849 
-4.60659 0.391908 
-4.67479 0.416839 
-4.71718 0.435231 
-4.76331 0.484099 
-4.89333 0.523723 
-4.90473 0.535117 
-4.9972 0.561942 
-5.03118 0.537188 
-5.06037 0.526238 
-5.10285 0.587591 
-5.19284 0.609917 
-5.22389 0.652247 
-5.22601 0.687026 
-5.28773 0.69016 
-5.35129 0.722978 
-5.39383 0.751769 
-5.45991 0.751219 
-5.50307 0.812524 
-5.56776 0.820077 
-5.55613 0.829948 
-5.60994 0.868171 
-5.66005 0.870225 
-5.65827 0.899166 
-5.70681 0.914058 
-5.79898 0.95383 
-5.92535 1.02155 
-5.95216 1.01034 
-5.97467 1.03 
-6.04789 1.05044 
-6.10753 1.07496 
-6.1537 1.14045 
-6.15659 1.13672 
-6.15659 1.13672 
-6.25788 1.14755 
-6.31034 1.1973 
-6.37634 1.20365 
-6.44004 1.25546 
-6.46532 1.27358 
-6.49583 1.3266 
-6.49461 1.34939 
-6.59236 1.34052 
-6.65893 1.35163 
-6.69347 1.38657 
-6.75713 1.42965 
-6.79972 1.48245 
-6.79972 1.48245 
-6.8529 1.49414 
-6.90594 1.53711 
-6.92525 1.48747 
-6.97769 1.49602 
-7.07821 1.58262 
-7.05828 1.53333 
-7.09063 1.55096 
-7.17835 1.61932 
-7.25346 1.60412 
-7.27727 1.66312 
-7.36561 1.71398 
-7.42804 1.62725 
-7.46147 1.57144 
-7.45163 1.61211 
-7.70002 1.61808 
-7.79767 1.68698 
-7.8833 1.69833 
-7.92166 1.68677 
-7.91334 1.64991 
-7.91334 1.64991 
-8.05081 1.65003 
-8.13209 1.65916 
-8.12922 1.72189 
-8.21471 1.71201 
