# robot.pose.x robot.pose.y 
-3.52242 -0.377318 
-3.46622 -0.475331 
-3.46025 -0.460861 
-3.47544 -0.46214 
-3.46465 -0.476339 
-3.45592 -0.471338 
-3.45147 -0.462703 
-3.45079 -0.465854 
-3.45053 -0.448719 
-3.45009 -0.465127 
-3.44991 -0.46659 
-3.4384 -0.450344 
-3.43867 -0.450471 
-3.44173 -0.455643 
-3.45293 -0.459233 
-3.44446 -0.455183 
-3.44932 -0.458687 
-3.44822 -0.455951 
-3.4563 -0.47302 
-3.4595 -0.465828 
-3.4533 -0.462227 
-3.45784 -0.463994 
-3.45683 -0.464413 
-3.44992 -0.459962 
-3.44988 -0.46023 
-3.44688 -0.459534 
-3.44514 -0.453512 
-3.44601 -0.462122 
-3.45736 -0.466208 
-3.451 -0.461605 
-3.45511 -0.467531 
-3.45509 -0.467551 
-3.45872 -0.469777 
-3.45132 -0.46066 
-3.44912 -0.449649 
-3.45139 -0.457286 
-3.44967 -0.4512 
-3.44967 -0.45123 
-3.4512 -0.461735 
-3.45258 -0.46209 
-3.45598 -0.459404 
-3.4489 -0.466717 
-3.44675 -0.448592 
-3.44427 -0.453426 
-3.45327 -0.462794 
-3.44734 -0.450267 
-3.46423 -0.466439 
-3.44203 -0.458547 
-3.44959 -0.459444 
-3.44473 -0.455401 
-3.44466 -0.455372 
-3.45503 -0.45777 
-3.45132 -0.461964 
-3.44993 -0.459255 
-3.4511 -0.456788 
-3.44172 -0.452737 
-3.44204 -0.452642 
-3.46677 -0.465899 
-3.45316 -0.462022 
-3.45668 -0.465844 
-3.45081 -0.455085 
-3.45082 -0.455059 
-3.44816 -0.457994 
-3.45467 -0.464752 
-3.45097 -0.461336 
-3.44758 -0.460266 
-3.45291 -0.46054 
-3.45004 -0.457252 
-3.44555 -0.458681 
-3.44453 -0.452179 
-3.44455 -0.452164 
-3.44282 -0.454595 
-3.44817 -0.460739 
-3.44774 -0.460959 
-3.4495 -0.452635 
-3.45172 -0.469582 
-3.46063 -0.463211 
-3.45332 -0.467816 
-3.44481 -0.456193 
-3.4599 -0.465784 
-3.45257 -0.458014 
-3.45021 -0.463722 
-3.45018 -0.46376 
-3.44391 -0.450494 
-3.44848 -0.453176 
-3.451 -0.457913 
-3.44695 -0.46097 
-3.45721 -0.469902 
-3.45689 -0.460256 
-3.46571 -0.471557 
-3.46564 -0.471499 
-3.44567 -0.458068 
-3.45045 -0.458574 
-3.44421 -0.451424 
-3.4307 -0.424488 
-3.45386 -0.458667 
-3.45202 -0.455911 
-3.45465 -0.460356 
-3.45471 -0.460361 
-3.45279 -0.470272 
-3.46542 -0.464441 
-3.44623 -0.458824 
-3.44309 -0.451157 
-3.46404 -0.465436 
-3.44902 -0.460341 
-3.449 -0.460294 
-3.44739 -0.456196 
-3.45095 -0.460772 
-3.45097 -0.460761 
-3.44624 -0.456423 
-3.43449 -0.442212 
-3.45781 -0.460761 
-3.45781 -0.460781 
-3.44996 -0.459816 
-3.45373 -0.459263 
-3.44721 -0.456372 
-3.4519 -0.459623 
-3.4507 -0.457933 
-3.45293 -0.461368 
-3.45236 -0.463201 
-3.45861 -0.466777 
-3.45399 -0.463724 
